time,A,B,P12,P23
0.0,0.0,0.0,0.0,0.0
0.017,0.0,0.0,0.0,0.0
0.033,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.067,0.0,0.0,0.0,0.0
0.083,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.117,0.0,0.0,0.0,0.0
0.133,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0
0.167,0.0,0.0,0.0,0.0
0.183,0.0,0.0,0.15,0.0
0.2,0.0,0.0,1.65,0.0
0.217,0.0,0.0,3.15,0.0
0.233,0.0,0.0,4.65,0.0
0.25,0.0,0.0,6.15,0.0
0.267,0.0,0.0,7.65,0.0
0.283,0.0,0.0,9.15,1.0
0.3,0.0,0.0,10.65,2.5
0.317,0.0,0.0,12.15,4.0
0.333,0.0,0.0,13.65,5.5
0.35,0.0,0.0,15.15,7.0
0.367,0.0,0.0,16.65,8.5
0.383,0.0,0.0,18.15,10.0
0.4,0.7,0.0,19.65,11.5
0.417,2.2,0.0,21.15,13.0
0.433,3.7,0.0,22.65,14.5
0.45,5.2,0.0,24.15,16.0
0.467,6.7,0.05,25.65,17.5
0.483,8.2,1.55,27.15,19.0
0.5,9.7,3.05,28.65,20.5
0.517,10.725,4.55,30.15,22.0
0.533,12.225,6.05,31.65,23.5
0.55,13.725,7.55,33.15,25.0
0.567,15.225,9.05,34.65,26.5
0.583,16.725,9.925,36.15,28.0
0.6,18.225,10.85,37.65,29.5
0.617,19.725,12.35,39.15,31.0
0.633,21.225,13.85,40.65,32.5
0.65,22.725,15.35,42.15,34.0
0.667,24.225,16.85,43.65,35.5
0.683,25.725,18.35,45.15,37.0
0.7,27.225,19.85,46.65,38.5
0.717,28.725,21.35,48.15,40.0
0.733,29.825,22.85,49.65,41.5
0.75,29.825,24.35,51.15,43.0
0.767,29.825,25.85,52.65,44.5
0.783,29.825,27.35,54.15,46.0
0.8,29.825,28.85,55.65,47.5
0.817,29.825,30.35,57.15,49.0
0.833,29.825,31.85,58.65,49.75
0.85,29.825,33.35,60.15,49.75
0.867,29.825,34.85,61.65,49.75
0.883,29.825,36.35,63.15,49.75
0.9,31.15,37.85,64.65,49.75
0.917,32.65,39.35,66.15,51.175
0.933,34.15,39.775,67.65,52.675
0.95,35.65,39.775,69.15,54.175
0.967,37.15,39.775,70.65,55.675
0.983,38.65,39.775,72.15,57.175
1.0,40.15,40.475,73.65,58.675
1.017,41.65,41.975,75.15,60.175
1.033,43.15,43.475,76.65,61.675
1.05,44.65,44.975,78.15,63.175
1.067,46.15,46.475,79.65,64.675
1.083,47.65,47.975,81.15,66.175
1.1,49.15,49.475,82.65,67.675
1.117,49.725,50.975,84.15,69.175
1.133,49.725,52.475,85.65,70.675
1.15,49.725,53.975,87.15,72.175
1.167,49.725,55.475,88.65,73.675
1.183,49.725,56.975,90.15,75.175
1.2,49.725,58.475,91.65,76.675
1.217,49.725,59.675,93.15,78.175
1.233,49.725,59.675,94.65,79.6
1.25,49.85,59.675,96.15,79.6
1.267,51.35,59.675,97.65,81.05
1.283,52.85,59.75,99.15,82.55
1.3,54.35,61.25,99.5,84.05
1.317,55.85,62.75,99.5,85.55
1.333,57.35,64.25,99.5,87.05
1.35,58.85,65.75,99.5,88.55
1.367,60.35,67.25,99.5,89.55
1.383,61.85,68.75,100.15,89.55
1.4,63.35,69.625,101.65,89.55
1.417,64.85,69.625,103.15,89.55
1.433,66.35,69.625,104.65,90.05
1.45,67.85,70.725,106.15,91.55
1.467,69.35,72.225,107.65,93.05
1.483,70.85,73.725,109.15,94.55
1.5,72.35,75.225,110.65,96.05
1.517,73.85,76.725,112.15,97.55
1.533,75.35,78.225,113.65,99.05
1.55,76.85,79.725,115.15,99.5
1.567,78.35,81.225,116.65,99.5
1.583,79.575,82.725,118.15,99.575
1.6,79.575,84.225,119.65,101.075
1.617,79.575,85.725,121.15,102.575
1.633,79.925,87.225,122.65,104.075
1.65,81.425,88.725,124.15,105.575
1.667,82.925,89.525,125.65,107.075
1.683,84.425,90.475,127.15,108.575
1.7,85.925,91.975,128.65,109.45
1.717,87.425,93.475,129.875,110.225
1.733,88.925,94.975,131.375,111.725
1.75,89.525,96.475,132.875,113.225
1.767,89.825,97.975,134.375,114.725
1.783,91.325,99.475,135.875,116.225
1.8,92.825,100.1,137.375,117.725
1.817,94.325,101.6,138.875,119.225
1.833,95.825,103.1,139.3,120.725
1.85,97.325,104.6,139.3,122.225
1.867,98.825,106.1,140.025,123.725
1.883,99.475,107.6,141.525,125.225
1.9,99.475,109.1,143.025,126.725
1.917,99.475,109.425,144.525,128.225
1.933,100.875,110.7,146.025,129.35
1.95,102.375,112.2,147.525,129.35
1.967,103.875,113.7,149.025,130.6
1.983,105.375,115.2,149.25,132.1
2.0,106.875,116.7,149.25,133.6
2.017,108.375,118.2,149.25,135.1
2.033,109.875,119.375,149.25,136.6
