time	A	B	P12	P23
0.0	0.0	0.0	0.0	0.0
1.0	66.625	55.625	77.1	66.9
2.0	156.625	145.625	167.1	156.9
3.0	246.625	235.625	257.1	246.9
4.0	336.625	325.625	347.1	336.9
5.0	426.625	415.625	437.1	426.9
6.0	516.625	505.625	527.1	516.9
7.0	606.625	595.625	617.1	606.9
8.0	696.625	685.625	707.1	696.9
9.0	786.625	775.625	797.1	786.9
10.0	876.625	865.625	887.1	876.9
11.0	966.625	955.625	977.1	966.9
12.0	1056.625	1045.625	1067.1	1056.9
13.0	1146.625	1135.625	1157.1	1146.9
14.0	1236.625	1225.625	1247.1	1236.9
15.0	1326.625	1315.625	1337.1	1326.9
16.0	1416.625	1405.625	1427.1	1416.9
17.0	1506.625	1495.625	1517.1	1506.9
18.0	1596.625	1585.625	1607.1	1596.9
19.0	1686.625	1675.625	1697.1	1686.9
20.0	1776.625	1765.625	1787.1	1776.9
21.0	1866.625	1855.625	1877.1	1866.9
22.0	1956.625	1945.625	1967.1	1956.9
23.0	2046.625	2035.625	2057.1	2046.9
24.0	2136.625	2125.625	2147.1	2136.9
25.0	2226.625	2215.625	2237.1	2226.9
26.0	2316.625	2305.625	2327.1	2316.9
27.0	2406.625	2395.625	2417.1	2406.9
28.0	2496.625	2485.625	2507.1	2496.9
29.0	2586.625	2575.625	2597.1	2586.9
30.0	2676.625	2665.625	2687.1	2676.9
31.0	2766.625	2755.625	2777.1	2766.9
32.0	2856.625	2845.625	2867.1	2856.9
33.0	2946.625	2935.625	2957.1	2946.9
34.0	3036.625	3025.625	3047.1	3036.9
35.0	3126.625	3115.625	3137.1	3126.9
