time,lorry id,MDP,state
601.0,lorry_1,4,maintenance
1202.0,lorry_1,0,recover after maintenance
9901.0,lorry_1,4,maintenance
9901.0,lorry_11,5,maintenance
10502.0,lorry_1,0,recover after maintenance
15997.0,lorry_0,8,broken
16202.0,lorry_11,0,recover after maintenance
17401.0,lorry_6,5,maintenance
20101.0,lorry_9,4,maintenance
20102.0,lorry_6,0,recover after maintenance
20702.0,lorry_9,0,recover after maintenance
21901.0,lorry_6,4,maintenance
23101.0,lorry_2,7,maintenance
24602.0,lorry_2,2,recover after maintenance
26401.0,lorry_7,4,maintenance
27592.0,lorry_4,8,broken
27601.0,lorry_9,4,maintenance
30302.0,lorry_6,0,recover after maintenance
30601.0,lorry_2,6,maintenance
31201.0,lorry_11,4,maintenance
31501.0,lorry_10,5,maintenance
33902.0,lorry_9,0,recover after maintenance
33902.0,lorry_11,0,recover after maintenance
34202.0,lorry_10,0,recover after maintenance
38102.0,lorry_7,0,recover after maintenance
39001.0,lorry_10,4,maintenance
42002.0,lorry_10,0,recover after maintenance
49201.0,lorry_8,4,maintenance
53401.0,lorry_10,4,maintenance
54602.0,lorry_10,0,recover after maintenance
57301.0,lorry_1,5,maintenance
60302.0,lorry_8,0,recover after maintenance
63301.0,lorry_8,4,maintenance
63601.0,lorry_11,5,maintenance
65701.0,lorry_6,4,maintenance
66302.0,lorry_6,0,recover after maintenance
66602.0,lorry_8,0,recover after maintenance
67465.0,lorry_3,8,broken
68402.0,lorry_2,1,recover after maintenance
71402.0,lorry_1,0,recover after maintenance
72301.0,lorry_2,5,maintenance
75302.0,lorry_11,0,recover after maintenance
75601.0,lorry_5,5,maintenance
75601.0,lorry_7,5,maintenance
84902.0,lorry_5,0,recover after maintenance
84902.0,lorry_7,0,recover after maintenance
88201.0,lorry_1,4,maintenance
88801.0,lorry_7,4,maintenance
91202.0,lorry_2,0,recover after maintenance
98101.0,lorry_2,4,maintenance
99302.0,lorry_2,0,recover after maintenance
101702.0,lorry_7,0,recover after maintenance
104401.0,lorry_2,4,maintenance
105566.0,lorry_3,0,recover after broken
107402.0,lorry_2,0,recover after maintenance
108901.0,lorry_5,6,maintenance
111002.0,lorry_1,0,recover after maintenance
115201.0,lorry_7,4,maintenance
117601.0,lorry_3,5,maintenance
