step,reward,cumulate reward
0.25,1.0,9.5
0.333,4.0,13.5
0.417,2.5,16.0
0.5,1.5,17.5
0.583,3.5,21.0
0.667,2.5,23.5
0.75,2.0,25.5
0.833,4.0,29.5
0.917,3.5,33.0
1.0,1.5,34.5
1.083,4.0,38.5
1.167,2.5,41.0
1.25,3.5,44.5
1.333,3.5,48.0
1.417,2.0,50.0
1.5,3.5,53.5
1.583,4.5,58.0
1.667,2.0,60.0
1.75,3.0,63.0
1.833,3.0,66.0
1.917,3.0,69.0
2.0,3.5,72.5
2.083,2.5,75.0
2.167,3.0,78.0
2.25,3.5,81.5
2.333,4.0,85.5
2.417,4.0,89.5
2.5,1.0,90.5
2.583,3.5,94.0
2.667,4.5,98.5
2.75,0.5,99.0
2.833,2.0,101.0
2.917,2.5,103.5
3.0,1.0,104.5
3.083,1.0,105.5
3.167,0.5,106.0
3.25,4.0,110.0
3.333,1.0,111.0
3.417,2.0,113.0
3.5,1.0,114.0
3.583,2.0,116.0
3.667,2.5,118.5
3.75,1.5,120.0
3.833,2.5,122.5
3.917,1.0,123.5
4.0,1.0,124.5
4.083,1.0,125.5
4.167,1.5,127.0
4.25,2.0,129.0
4.333,1.0,130.0
4.417,2.0,132.0
4.5,1.0,133.0
4.583,4.0,137.0
4.667,4.0,141.0
4.75,2.5,143.5
4.833,1.5,145.0
4.917,4.0,149.0
5.0,2.0,151.0
5.083,2.5,153.5
5.167,4.0,157.5
5.25,0.5,158.0
5.333,2.0,160.0
5.417,4.0,164.0
5.5,1.5,165.5
5.583,2.0,167.5
5.667,3.0,170.5
5.75,2.5,173.0
5.833,4.0,177.0
5.917,3.0,180.0
6.0,1.0,181.0
6.083,4.0,185.0
6.167,2.5,187.5
6.25,3.5,191.0
6.333,2.5,193.5
6.417,1.5,195.0
6.5,2.0,197.0
6.583,2.5,199.5
6.667,3.5,203.0
6.75,1.0,204.0
6.833,3.0,207.0
6.917,2.0,209.0
7.0,3.0,212.0
7.083,4.0,216.0
7.167,1.0,217.0
7.25,2.5,219.5
7.333,2.0,221.5
7.417,2.0,223.5
7.5,2.5,226.0
7.583,2.0,228.0
7.667,2.0,230.0
7.75,2.0,232.0
7.833,2.5,234.5
7.917,1.5,236.0
8.0,1.0,237.0
8.083,3.0,240.0
8.167,1.5,241.5
8.25,2.5,244.0
8.333,1.5,245.5
8.417,1.5,247.0
8.5,1.5,248.5
8.583,2.5,251.0
8.667,2.0,253.0
8.75,1.5,254.5
8.833,0.0,254.5
8.917,1.0,255.5
9.0,1.0,256.5
9.083,1.5,258.0
9.167,1.0,259.0
9.25,1.0,260.0
9.333,0.5,260.5
9.417,1.0,261.5
9.5,2.0,263.5
9.583,2.5,266.0
9.667,3.0,269.0
9.75,1.5,270.5
9.833,2.0,272.5
9.917,1.5,274.0
10.0,2.5,276.5
10.083,3.0,279.5
10.167,2.0,281.5
10.25,1.0,282.5
10.333,2.5,285.0
10.417,2.5,287.5
10.5,3.0,290.5
10.583,1.5,292.0
10.667,1.0,293.0
10.75,3.5,296.5
10.833,1.5,298.0
10.917,2.5,300.5
11.0,2.5,303.0
11.083,1.5,304.5
11.167,1.5,306.0
11.25,3.0,309.0
11.333,2.0,311.0
11.417,2.0,313.0
11.5,1.5,314.5
11.583,2.0,316.5
11.667,1.5,318.0
11.75,2.5,320.5
11.833,2.0,322.5
11.917,4.0,326.5
12.0,1.5,328.0
12.083,1.5,329.5
12.167,1.5,331.0
12.25,3.5,334.5
12.333,2.5,337.0
12.417,1.5,338.5
12.5,4.0,342.5
12.583,1.5,344.0
12.667,1.0,345.0
12.75,3.5,348.5
12.833,2.5,351.0
12.917,2.0,353.0
