time,lorry id,MDP,state
4801.0,lorry_11,4,maintenance
8102.0,lorry_11,0,recover after maintenance
8701.0,lorry_7,5,maintenance
9001.0,lorry_6,4,maintenance
12301.0,lorry_4,4,maintenance
15002.0,lorry_4,0,recover after maintenance
15301.0,lorry_1,6,maintenance
16201.0,lorry_5,6,maintenance
19502.0,lorry_1,1,recover after maintenance
21602.0,lorry_7,0,recover after maintenance
27002.0,lorry_6,0,recover after maintenance
27601.0,lorry_2,4,maintenance
34501.0,lorry_0,5,maintenance
34802.0,lorry_2,0,recover after maintenance
36002.0,lorry_0,0,recover after maintenance
38101.0,lorry_3,5,maintenance
45301.0,lorry_11,5,maintenance
46202.0,lorry_11,0,recover after maintenance
50058.0,lorry_8,8,broken
51001.0,lorry_9,6,maintenance
56101.0,lorry_10,5,maintenance
57301.0,lorry_6,4,maintenance
58501.0,lorry_2,5,maintenance
59702.0,lorry_6,0,recover after maintenance
62102.0,lorry_3,0,recover after maintenance
62702.0,lorry_10,0,recover after maintenance
63302.0,lorry_5,1,recover after maintenance
68101.0,lorry_11,4,maintenance
74401.0,lorry_0,5,maintenance
75301.0,lorry_10,5,maintenance
79202.0,lorry_11,0,recover after maintenance
79801.0,lorry_3,5,maintenance
79801.0,lorry_4,7,maintenance
79802.0,lorry_4,2,recover after maintenance
80701.0,lorry_7,7,maintenance
81001.0,lorry_5,5,maintenance
81001.0,lorry_11,4,maintenance
81848.0,lorry_6,9,broken
83401.0,lorry_4,6,maintenance
87302.0,lorry_4,1,recover after maintenance
88202.0,lorry_2,0,recover after maintenance
88502.0,lorry_11,0,recover after maintenance
90001.0,lorry_4,5,maintenance
90602.0,lorry_4,0,recover after maintenance
97202.0,lorry_5,0,recover after maintenance
98402.0,lorry_7,2,recover after maintenance
100501.0,lorry_1,7,maintenance
102001.0,lorry_11,5,maintenance
102302.0,lorry_0,0,recover after maintenance
103501.0,lorry_5,4,maintenance
111002.0,lorry_9,1,recover after maintenance
112502.0,lorry_1,2,recover after maintenance
113102.0,lorry_10,0,recover after maintenance
113402.0,lorry_11,0,recover after maintenance
114001.0,lorry_11,4,maintenance
115201.0,lorry_1,6,maintenance
118501.0,lorry_4,4,maintenance
119402.0,lorry_1,1,recover after maintenance
123002.0,lorry_4,0,recover after maintenance
123601.0,lorry_0,4,maintenance
124501.0,lorry_10,4,maintenance
