time,A,B,P12,P23,current_lorry
0.25,0.0,0.0,2.5,0.0,12
0.333,0.0,0.0,2.5,2.5,12
0.417,0.0,2.5,5.0,2.5,12
0.5,0.0,2.5,5.0,2.5,11
0.583,0.0,2.5,5.0,5.0,11
0.667,2.5,2.5,7.5,5.0,11
0.75,2.5,2.5,7.5,5.0,10
0.833,2.5,2.5,7.5,7.5,10
0.917,2.5,5.0,10.0,7.5,10
1.0,2.5,7.5,10.0,10.0,10
1.083,2.5,7.5,10.0,10.0,10
1.167,2.5,7.5,10.0,10.0,10
1.25,2.5,7.5,12.5,12.5,10
1.333,2.5,10.0,12.5,12.5,10
1.417,5.0,12.5,12.5,12.5,10
1.5,5.0,12.5,12.5,15.0,10
1.583,5.0,12.5,12.5,15.0,9
1.667,5.0,12.5,15.0,15.0,9
1.75,7.5,15.0,15.0,17.5,9
1.833,7.5,15.0,15.0,17.5,9
1.917,7.5,17.5,17.5,17.5,9
2.0,10.0,17.5,17.5,17.5,9
2.083,10.0,17.5,17.5,17.5,8
2.167,10.0,17.5,17.5,17.5,8
2.25,12.5,17.5,17.5,20.0,8
2.333,12.5,17.5,20.0,20.0,9
2.417,12.5,20.0,20.0,20.0,9
2.5,12.5,20.0,20.0,20.0,6
2.583,12.5,20.0,20.0,20.0,6
2.667,12.5,20.0,20.0,20.0,6
2.75,12.5,20.0,20.0,22.5,6
2.833,12.5,20.0,22.5,22.5,6
2.917,12.5,20.0,22.5,22.5,6
3.0,12.5,22.5,22.5,22.5,6
3.083,12.5,22.5,22.5,22.5,6
3.167,12.5,22.5,22.5,25.0,7
3.25,12.5,22.5,22.5,25.0,7
3.333,12.5,25.0,25.0,25.0,7
3.417,12.5,25.0,25.0,25.0,7
3.5,12.5,25.0,25.0,27.5,7
3.583,12.5,25.0,25.0,27.5,8
3.667,12.5,27.5,25.0,27.5,8
3.75,12.5,27.5,25.0,30.0,7
3.833,12.5,27.5,27.5,30.0,7
3.917,12.5,30.0,27.5,30.0,7
4.0,12.5,30.0,27.5,32.5,7
4.083,15.0,30.0,27.5,32.5,6
4.167,15.0,32.5,27.5,32.5,6
4.25,15.0,32.5,27.5,32.5,6
4.333,15.0,32.5,27.5,32.5,5
4.417,15.0,32.5,27.5,32.5,5
4.5,15.0,35.0,27.5,32.5,5
4.583,15.0,35.0,27.5,32.5,5
4.667,17.5,35.0,27.5,32.5,5
4.75,17.5,35.0,30.0,35.0,6
4.833,17.5,35.0,30.0,35.0,6
4.917,17.5,35.0,30.0,35.0,6
5.0,17.5,37.5,30.0,35.0,6
5.083,17.5,37.5,30.0,35.0,6
5.167,17.5,37.5,30.0,35.0,6
5.25,20.0,37.5,30.0,35.0,6
5.333,20.0,37.5,30.0,35.0,6
5.417,22.5,37.5,32.5,35.0,6
5.5,22.5,37.5,32.5,35.0,6
5.583,22.5,37.5,32.5,37.5,6
5.667,22.5,37.5,32.5,37.5,6
5.75,22.5,37.5,32.5,37.5,6
5.833,22.5,37.5,35.0,40.0,8
5.917,22.5,40.0,35.0,40.0,7
6.0,22.5,40.0,35.0,40.0,8
6.083,22.5,40.0,35.0,40.0,9
6.167,22.5,40.0,35.0,40.0,9
6.25,25.0,40.0,35.0,42.5,10
6.333,25.0,40.0,37.5,42.5,10
6.417,25.0,40.0,37.5,42.5,10
6.5,25.0,40.0,37.5,42.5,10
6.583,25.0,40.0,37.5,42.5,10
6.667,25.0,42.5,37.5,42.5,9
6.75,25.0,42.5,37.5,42.5,9
6.833,25.0,42.5,37.5,42.5,9
6.917,25.0,42.5,37.5,45.0,9
7.0,25.0,42.5,37.5,45.0,9
7.083,25.0,45.0,37.5,45.0,8
7.167,25.0,45.0,37.5,45.0,8
7.25,25.0,45.0,37.5,45.0,9
7.333,25.0,45.0,37.5,47.5,9
7.417,27.5,45.0,40.0,47.5,9
7.5,27.5,45.0,40.0,47.5,9
7.583,27.5,45.0,40.0,47.5,9
7.667,27.5,45.0,40.0,47.5,9
7.75,27.5,45.0,40.0,47.5,9
7.833,27.5,47.5,40.0,47.5,10
7.917,27.5,47.5,40.0,47.5,10
8.0,27.5,47.5,40.0,50.0,10
8.083,27.5,47.5,40.0,50.0,10
8.167,27.5,50.0,40.0,50.0,10
8.25,27.5,50.0,40.0,50.0,10
8.333,27.5,50.0,40.0,52.5,10
8.417,27.5,50.0,40.0,52.5,10
8.5,27.5,50.0,40.0,52.5,9
8.583,27.5,50.0,40.0,52.5,9
8.667,27.5,50.0,42.5,52.5,9
8.75,27.5,50.0,42.5,52.5,9
8.833,27.5,50.0,42.5,52.5,9
8.917,27.5,52.5,42.5,52.5,9
9.0,30.0,52.5,42.5,52.5,9
9.083,30.0,52.5,42.5,52.5,9
9.167,30.0,52.5,42.5,52.5,9
9.25,30.0,52.5,45.0,52.5,9
9.333,30.0,55.0,45.0,52.5,9
9.417,30.0,55.0,45.0,52.5,9
9.5,32.5,55.0,45.0,52.5,9
9.583,32.5,55.0,45.0,52.5,9
9.667,32.5,55.0,45.0,52.5,9
9.75,35.0,55.0,47.5,52.5,9
9.833,35.0,55.0,47.5,55.0,9
9.917,35.0,55.0,47.5,55.0,9
10.0,35.0,55.0,47.5,55.0,9
10.083,35.0,55.0,47.5,55.0,9
10.167,35.0,55.0,47.5,55.0,9
10.25,35.0,55.0,47.5,55.0,8
10.333,35.0,55.0,47.5,55.0,8
10.417,35.0,55.0,47.5,55.0,8
10.5,35.0,55.0,47.5,55.0,8
10.583,35.0,55.0,47.5,55.0,8
10.667,35.0,55.0,47.5,55.0,8
10.75,35.0,57.5,47.5,57.5,8
10.833,35.0,57.5,47.5,57.5,8
10.917,35.0,57.5,47.5,57.5,8
11.0,35.0,57.5,47.5,57.5,9
11.083,35.0,57.5,47.5,60.0,9
11.167,37.5,57.5,50.0,60.0,9
11.25,37.5,57.5,50.0,60.0,9
11.333,37.5,57.5,50.0,60.0,9
11.417,37.5,60.0,50.0,60.0,9
11.5,37.5,60.0,50.0,60.0,10
11.583,37.5,60.0,50.0,60.0,9
11.667,37.5,62.5,50.0,60.0,9
11.75,40.0,62.5,50.0,60.0,9
11.833,40.0,62.5,52.5,60.0,9
11.917,40.0,62.5,52.5,60.0,9
12.0,42.5,62.5,52.5,62.5,8
