step,reward,cumulate reward
0.25,1.0,10.0
0.333,4.0,14.0
0.417,2.5,16.5
0.5,0.5,17.0
0.583,4.5,21.5
0.667,3.0,24.5
0.75,1.5,26.0
0.833,2.5,28.5
0.917,2.0,30.5
1.0,2.0,32.5
1.083,3.0,35.5
1.167,1.5,37.0
1.25,2.0,39.0
1.333,2.5,41.5
1.417,1.0,42.5
1.5,0.0,42.5
1.583,0.5,43.0
1.667,1.0,44.0
1.75,1.5,45.5
1.833,0.5,46.0
1.917,0.0,46.0
2.0,0.0,46.0
2.083,1.0,47.0
2.167,1.0,48.0
2.25,0.5,48.5
2.333,0.0,48.5
2.417,0.5,49.0
2.5,1.5,50.5
2.583,0.0,50.5
2.667,0.5,51.0
2.75,0.0,51.0
2.833,0.5,51.5
2.917,1.0,52.5
3.0,0.5,53.0
3.083,0.0,53.0
3.167,0.0,53.0
3.25,0.0,53.0
3.333,0.5,53.5
3.417,0.0,53.5
3.5,0.5,54.0
3.583,0.0,54.0
3.667,0.5,54.5
3.75,0.5,55.0
3.833,0.5,55.5
3.917,0.5,56.0
4.0,2.5,58.5
4.083,0.5,59.0
4.167,3.5,62.5
4.25,2.0,64.5
4.333,2.0,66.5
4.417,2.5,69.0
4.5,2.0,71.0
4.583,1.5,72.5
4.667,2.0,74.5
4.75,3.0,77.5
4.833,2.0,79.5
4.917,1.0,80.5
5.0,2.5,83.0
5.083,2.0,85.0
5.167,1.5,86.5
5.25,2.0,88.5
5.333,2.0,90.5
5.417,2.5,93.0
5.5,2.0,95.0
5.583,2.0,97.0
5.667,1.5,98.5
5.75,3.5,102.0
5.833,1.5,103.5
5.917,1.0,104.5
6.0,1.5,106.0
6.083,2.0,108.0
6.167,3.0,111.0
6.25,1.0,112.0
6.333,1.5,113.5
6.417,2.0,115.5
6.5,1.0,116.5
6.583,1.5,118.0
6.667,3.0,121.0
6.75,1.0,122.0
6.833,1.5,123.5
6.917,3.0,126.5
7.0,1.0,127.5
7.083,3.5,131.0
7.167,2.0,133.0
7.25,1.5,134.5
7.333,2.0,136.5
7.417,1.5,138.0
7.5,2.5,140.5
7.583,2.0,142.5
7.667,1.5,144.0
7.75,2.0,146.0
7.833,3.5,149.5
7.917,2.5,152.0
8.0,2.0,154.0
8.083,1.5,155.5
8.167,2.5,158.0
8.25,1.5,159.5
8.333,2.0,161.5
8.417,3.0,164.5
8.5,2.0,166.5
8.583,1.0,167.5
8.667,1.5,169.0
8.75,2.5,171.5
8.833,2.0,173.5
8.917,1.5,175.0
9.0,1.5,176.5
9.083,2.5,179.0
9.167,2.0,181.0
9.25,2.0,183.0
9.333,0.5,183.5
9.417,3.0,186.5
9.5,2.0,188.5
9.583,1.5,190.0
9.667,1.0,191.0
9.75,1.5,192.5
9.833,2.0,194.5
9.917,1.5,196.0
10.0,1.5,197.5
10.083,2.0,199.5
10.167,1.5,201.0
10.25,3.0,204.0
10.333,1.0,205.0
10.417,1.0,206.0
10.5,1.0,207.0
10.583,1.5,208.5
10.667,2.0,210.5
10.75,2.0,212.5
10.833,1.5,214.0
10.917,1.0,215.0
11.0,1.0,216.0
11.083,1.0,217.0
11.167,1.5,218.5
11.25,1.0,219.5
11.333,1.5,221.0
11.417,0.5,221.5
11.5,2.5,224.0
11.583,1.0,225.0
11.667,1.0,226.0
11.75,0.0,226.0
11.833,1.5,227.5
11.917,0.5,228.0
12.0,1.0,229.0
12.083,1.5,230.5
12.167,0.5,231.0
12.25,0.5,231.5
12.333,0.5,232.0
12.417,1.0,233.0
12.5,1.0,234.0
12.583,0.5,234.5
12.667,0.0,234.5
12.75,1.5,236.0
12.833,1.0,237.0
12.917,0.5,237.5
13.0,0.5,238.0
13.083,0.0,238.0
13.167,0.5,238.5
13.25,0.5,239.0
13.333,0.0,239.0
13.417,0.5,239.5
13.5,0.5,240.0
13.583,1.0,241.0
13.667,1.0,242.0
13.75,0.5,242.5
13.833,0.5,243.0
13.917,1.0,244.0
14.0,1.0,245.0
14.083,0.5,245.5
14.167,1.5,247.0
14.25,0.5,247.5
14.333,0.5,248.0
14.417,2.0,250.0
14.5,1.0,251.0
14.583,1.0,252.0
14.667,0.0,252.0
14.75,1.5,253.5
14.833,1.0,254.5
14.917,1.5,256.0
15.0,1.5,257.5
15.083,0.5,258.0
15.167,0.0,258.0
15.25,1.0,259.0
15.333,1.0,260.0
15.417,0.0,260.0
15.5,1.5,261.5
15.583,1.5,263.0
15.667,0.0,263.0
15.75,1.0,264.0
15.833,1.5,265.5
15.917,0.5,266.0
16.0,0.5,266.5
16.083,2.0,268.5
16.167,1.5,270.0
16.25,1.5,271.5
16.333,0.5,272.0
16.417,1.0,273.0
16.5,1.5,274.5
16.583,3.5,278.0
16.667,2.5,280.5
16.75,1.0,281.5
16.833,2.0,283.5
16.917,0.5,284.0
17.0,2.0,286.0
17.083,2.0,288.0
17.167,1.5,289.5
17.25,1.0,290.5
17.333,3.0,293.5
17.417,1.5,295.0
17.5,2.0,297.0
17.583,2.0,299.0
17.667,2.5,301.5
17.75,1.0,302.5
17.833,1.5,304.0
17.917,2.5,306.5
18.0,1.5,308.0
18.083,0.0,308.0
18.167,1.5,309.5
18.25,1.5,311.0
18.333,2.5,313.5
18.417,0.5,314.0
18.5,2.0,316.0
18.583,2.0,318.0
18.667,2.5,320.5
18.75,1.5,322.0
18.833,2.5,324.5
18.917,1.5,326.0
19.0,1.5,327.5
19.083,1.5,329.0
19.167,1.5,330.5
19.25,1.5,332.0
19.333,3.0,335.0
19.417,1.0,336.0
19.5,1.5,337.5
19.583,1.5,339.0
19.667,2.0,341.0
19.75,2.0,343.0
19.833,2.0,345.0
19.917,1.5,346.5
20.0,2.0,348.5
20.083,2.0,350.5
20.167,2.5,353.0
20.25,1.5,354.5
20.333,2.5,357.0
20.417,1.5,358.5
20.5,2.0,360.5
20.583,1.5,362.0
20.667,2.0,364.0
20.75,2.5,366.5
20.833,2.5,369.0
20.917,1.0,370.0
21.0,1.5,371.5
21.083,4.5,376.0
21.167,0.0,376.0
21.25,3.0,379.0
21.333,3.5,382.5
21.417,3.0,385.5
21.5,2.5,388.0
21.583,1.0,389.0
21.667,3.0,392.0
21.75,3.0,395.0
21.833,2.5,397.5
21.917,2.0,399.5
22.0,2.5,402.0
22.083,2.0,404.0
22.167,3.0,407.0
22.25,2.5,409.5
22.333,1.0,410.5
22.417,1.5,412.0
22.5,2.5,414.5
22.583,2.0,416.5
22.667,2.5,419.0
22.75,1.5,420.5
22.833,2.0,422.5
22.917,3.0,425.5
23.0,3.0,428.5
23.083,2.0,430.5
23.167,1.5,432.0
23.25,2.5,434.5
23.333,3.0,437.5
23.417,2.0,439.5
23.5,0.5,440.0
23.583,1.0,441.0
23.667,0.0,441.0
23.75,0.0,441.0
23.833,1.0,442.0
23.917,3.5,445.5
24.0,2.5,448.0
24.083,1.5,449.5
24.167,1.0,450.5
24.25,2.5,453.0
24.333,2.5,455.5
24.417,1.5,457.0
24.5,2.0,459.0
24.583,3.0,462.0
24.667,0.5,462.5
24.75,2.0,464.5
24.833,2.5,467.0
24.917,2.5,469.5
25.0,2.0,471.5
25.083,3.5,475.0
25.167,1.0,476.0
25.25,1.0,477.0
25.333,1.5,478.5
25.417,3.5,482.0
25.5,3.0,485.0
25.583,2.0,487.0
25.667,1.5,488.5
25.75,2.0,490.5
25.833,2.0,492.5
25.917,1.5,494.0
26.0,2.0,496.0
26.083,1.5,497.5
26.167,2.0,499.5
26.25,1.5,501.0
26.333,1.0,502.0
26.417,0.0,502.0
26.5,0.5,502.5
26.583,0.5,503.0
26.667,0.5,503.5
26.75,1.5,505.0
26.833,1.5,506.5
26.917,1.0,507.5
27.0,1.0,508.5
27.083,0.5,509.0
27.167,1.0,510.0
27.25,0.5,510.5
27.333,1.0,511.5
27.417,0.0,511.5
27.5,0.0,511.5
27.583,0.0,511.5
27.667,0.5,512.0
27.75,1.5,513.5
27.833,0.5,514.0
27.917,0.5,514.5
28.0,0.5,515.0
28.083,1.5,516.5
28.167,0.0,516.5
28.25,1.0,517.5
28.333,1.0,518.5
28.417,0.5,519.0
28.5,0.5,519.5
28.583,0.5,520.0
28.667,0.5,520.5
28.75,0.0,520.5
28.833,0.5,521.0
28.917,0.5,521.5
29.0,0.5,522.0
29.083,2.0,524.0
29.167,1.5,525.5
29.25,0.0,525.5
29.333,0.0,525.5
29.417,0.0,525.5
29.5,0.5,526.0
29.583,0.5,526.5
29.667,0.5,527.0
29.75,0.5,527.5
29.833,0.0,527.5
29.917,0.0,527.5
30.0,0.5,528.0
30.083,0.5,528.5
30.167,0.0,528.5
30.25,0.5,529.0
30.333,2.0,531.0
30.417,1.0,532.0
30.5,1.5,533.5
30.583,0.5,534.0
30.667,1.0,535.0
30.75,0.5,535.5
30.833,1.0,536.5
30.917,0.5,537.0
31.0,0.5,537.5
31.083,0.0,537.5
31.167,0.0,537.5
31.25,0.5,538.0
31.333,0.5,538.5
31.417,0.5,539.0
31.5,0.0,539.0
31.583,0.5,539.5
31.667,0.5,540.0
31.75,1.0,541.0
31.833,1.0,542.0
31.917,0.5,542.5
32.0,0.5,543.0
32.083,0.5,543.5
32.167,1.0,544.5
32.25,1.0,545.5
32.333,1.0,546.5
32.417,1.0,547.5
32.5,1.5,549.0
32.583,3.0,552.0
32.667,0.5,552.5
