time,lorry id,MDP,state
11701.0,lorry_2,7,maintenance
20101.0,lorry_11,7,maintenance
21901.0,lorry_9,7,maintenance
24302.0,lorry_9,2,recover after maintenance
24601.0,lorry_9,6,maintenance
25887.0,lorry_5,8,broken
27001.0,lorry_10,7,maintenance
28802.0,lorry_9,1,recover after maintenance
30002.0,lorry_11,2,recover after maintenance
30302.0,lorry_2,2,recover after maintenance
31802.0,lorry_10,2,recover after maintenance
32401.0,lorry_2,7,maintenance
33601.0,lorry_1,7,maintenance
34502.0,lorry_1,2,recover after maintenance
37502.0,lorry_2,2,recover after maintenance
38701.0,lorry_2,7,maintenance
40801.0,lorry_1,7,maintenance
41402.0,lorry_2,2,recover after maintenance
43201.0,lorry_2,7,maintenance
45002.0,lorry_1,2,recover after maintenance
51301.0,lorry_7,7,maintenance
51302.0,lorry_2,2,recover after maintenance
52500.0,lorry_10,8,broken
57601.0,lorry_9,7,maintenance
59792.0,lorry_0,8,broken
60002.0,lorry_9,2,recover after maintenance
62701.0,lorry_9,7,maintenance
65402.0,lorry_7,2,recover after maintenance
65701.0,lorry_7,6,maintenance
68401.0,lorry_10,0,recover after broken
75002.0,lorry_9,2,recover after maintenance
76802.0,lorry_7,1,recover after maintenance
78301.0,lorry_1,7,maintenance
79202.0,lorry_1,2,recover after maintenance
83344.0,lorry_2,8,broken
89401.0,lorry_6,7,maintenance
92401.0,lorry_9,7,maintenance
93001.0,lorry_1,7,maintenance
96902.0,lorry_1,2,recover after maintenance
101921.0,lorry_11,8,broken
104402.0,lorry_6,2,recover after maintenance
105602.0,lorry_9,2,recover after maintenance
114001.0,lorry_4,7,maintenance
116733.0,lorry_6,8,broken
123302.0,lorry_4,2,recover after maintenance
126901.0,lorry_1,7,maintenance
133202.0,lorry_1,2,recover after maintenance
136501.0,lorry_9,7,maintenance
138093.0,lorry_0,0,recover after broken
138901.0,lorry_10,7,maintenance
139802.0,lorry_10,2,recover after maintenance
142801.0,lorry_3,7,maintenance
145202.0,lorry_3,2,recover after maintenance
145802.0,lorry_9,2,recover after maintenance
151501.0,lorry_10,7,maintenance
154801.0,lorry_7,7,maintenance
157202.0,lorry_10,2,recover after maintenance
157801.0,lorry_10,7,maintenance
159001.0,lorry_4,7,maintenance
161101.0,lorry_1,7,maintenance
163502.0,lorry_7,2,recover after maintenance
165522.0,lorry_11,0,recover after broken
167102.0,lorry_4,2,recover after maintenance
168001.0,lorry_8,7,maintenance
168302.0,lorry_10,2,recover after maintenance
171002.0,lorry_8,2,recover after maintenance
173701.0,lorry_7,7,maintenance
