step,reward,cumulate reward
0.25,1,9.5
0.333,4,13.5
0.417,2.5,16
0.5,1.5,17.5
0.583,4,21.5
0.667,2.5,24
0.75,2.5,26.5
0.833,3,29.5
0.917,2.5,32
1,3,35
1.083,3,38
1.167,3.5,41.5
1.25,3,44.5
1.333,1.5,46
1.417,3.5,49.5
1.5,3.5,53
1.583,3.5,56.5
1.667,2,58.5
1.75,4,62.5
1.833,0.5,63
1.917,1.5,64.5
2,4,68.5
2.083,3.5,72
2.167,2.5,74.5
2.25,3,77.5
2.333,4,81.5
2.417,1.5,83
2.5,4.5,87.5
2.583,3,90.5
2.667,2.5,93
2.75,3,96
2.833,1.5,97.5
2.917,3.5,101
3,2.5,103.5
3.083,2.5,106
3.167,2,108
3.25,3.5,111.5
3.333,2,113.5
3.417,4,117.5
3.5,3.5,121
3.583,2.5,123.5
3.667,2.5,126
3.75,4,130
3.833,1.5,131.5
3.917,3.5,135
4,4,139
4.083,1,140
4.167,4,144
4.25,3,147
4.333,2,149
4.417,4,153
4.5,2.5,155.5
4.583,4,159.5
4.667,1.5,161
4.75,4,165
4.833,3.5,168.5
4.917,3,171.5
5,3,174.5
5.083,3.5,178
5.167,3,181
5.25,3,184
5.333,2.5,186.5
5.417,4,190.5
5.5,2,192.5
5.583,1.5,194
5.667,5,199
5.75,4,203
5.833,1,204
5.917,3,207
6,3,210
6.083,4,214
6.167,3,217
6.25,2.5,219.5
6.333,2.5,222
6.417,3.5,225.5
6.5,3.5,229
6.583,3.5,232.5
6.667,2,234.5
6.75,2,236.5
6.833,2,238.5
6.917,3,241.5
7,2.5,244
7.083,3,247
7.167,4,251
7.25,2,253
7.333,3,256
7.417,3.5,259.5
7.5,2.5,262
7.583,3.5,265.5
7.667,2,267.5
7.75,2.5,270
7.833,5,275
7.917,3,278
8,2,280
8.083,3.5,283.5
8.167,2.5,286
8.25,4,290
8.333,1,291
8.417,3.5,294.5
8.5,3,297.5
8.583,3.5,301
8.667,1.5,302.5
8.75,4,306.5
8.833,3.5,310
8.917,3,313
9,2.5,315.5
9.083,3,318.5
9.167,4,322.5
9.25,2.5,325
