time,A,B,P12,P23,current_lorry
0.25,0,0,2.5,0,12
0.333,0,0,2.5,2.5,12
0.417,0,2.5,5,2.5,12
0.5,0,2.5,5,5,12
0.583,0,2.5,5,5,12
0.667,0,2.5,7.5,7.5,12
0.75,2.5,5,7.5,7.5,12
0.833,2.5,5,7.5,7.5,12
0.917,2.5,7.5,7.5,7.5,12
1,5,7.5,10,7.5,12
1.083,7.5,7.5,10,10,12
1.167,7.5,7.5,10,10,12
1.25,7.5,7.5,12.5,10,12
1.333,10,10,12.5,12.5,12
1.417,10,10,12.5,12.5,12
1.5,10,12.5,15,12.5,12
1.583,12.5,12.5,15,15,12
1.667,12.5,12.5,15,15,12
1.75,12.5,15,17.5,15,12
1.833,15,15,17.5,15,12
1.917,15,15,17.5,15,12
2,15,15,20,15,12
2.083,17.5,15,20,17.5,12
2.167,17.5,17.5,20,17.5,12
2.25,17.5,17.5,22.5,17.5,12
2.333,17.5,17.5,22.5,22.5,12
2.417,17.5,20,22.5,22.5,12
2.5,17.5,20,25,22.5,12
2.583,17.5,22.5,25,25,12
2.667,17.5,25,25,25,12
2.75,20,25,25,25,12
2.833,20,25,27.5,25,12
2.917,22.5,25,27.5,25,12
3,22.5,25,30,27.5,12
3.083,25,25,30,27.5,12
3.167,25,27.5,30,27.5,12
3.25,25,27.5,32.5,27.5,12
3.333,27.5,30,32.5,27.5,12
3.417,27.5,30,32.5,30,12
3.5,27.5,30,35,30,12
3.583,30,30,35,32.5,12
3.667,30,32.5,35,32.5,12
3.75,30,35,37.5,32.5,12
3.833,30,35,37.5,35,12
3.917,32.5,35,37.5,35,12
4,32.5,37.5,40,35,12
4.083,32.5,37.5,40,37.5,12
4.167,32.5,37.5,40,37.5,12
4.25,32.5,40,42.5,37.5,12
4.333,35,40,42.5,40,12
4.417,35,40,42.5,42.5,12
4.5,35,42.5,45,42.5,12
4.583,35,42.5,45,42.5,12
4.667,37.5,45,45,42.5,12
4.75,37.5,45,45,45,12
4.833,37.5,47.5,45,45,12
4.917,37.5,47.5,47.5,47.5,12
5,37.5,50,47.5,50,12
5.083,37.5,50,47.5,50,12
5.167,37.5,50,50,50,12
5.25,40,52.5,50,52.5,12
5.333,40,55,50,52.5,12
5.417,40,55,50,52.5,11
5.5,42.5,55,50,52.5,11
5.583,42.5,57.5,52.5,52.5,11
5.667,45,57.5,52.5,52.5,11
5.75,45,57.5,52.5,55,11
5.833,47.5,57.5,55,55,11
5.917,47.5,57.5,55,57.5,11
6,47.5,60,55,57.5,11
6.083,47.5,62.5,55,57.5,11
6.167,47.5,62.5,57.5,60,11
6.25,50,62.5,57.5,60,11
6.333,50,62.5,57.5,60,11
6.417,50,65,60,60,11
6.5,52.5,65,60,62.5,11
6.583,52.5,65,60,62.5,11
6.667,52.5,67.5,62.5,62.5,11
6.75,52.5,67.5,62.5,65,11
6.833,55,70,62.5,65,12
6.917,55,70,65,65,12
7,57.5,70,65,65,12
7.083,57.5,70,65,67.5,12
7.167,57.5,70,67.5,67.5,12
7.25,57.5,72.5,67.5,70,12
7.333,57.5,75,67.5,70,12
7.417,57.5,75,70,72.5,12
7.5,57.5,77.5,70,72.5,12
7.583,57.5,77.5,70,75,12
7.667,57.5,80,72.5,75,12
7.75,60,80,72.5,77.5,12
7.833,60,82.5,72.5,77.5,12
7.917,60,82.5,75,77.5,12
8,62.5,82.5,75,77.5,12
8.083,62.5,85,75,77.5,12
8.167,62.5,85,77.5,77.5,12
8.25,65,85,77.5,80,12
8.333,67.5,85,77.5,80,12
8.417,67.5,87.5,80,80,12
8.5,67.5,87.5,80,80,12
8.583,70,87.5,80,82.5,12
8.667,70,87.5,82.5,82.5,12
8.75,70,87.5,82.5,82.5,12
8.833,72.5,90,82.5,82.5,12
8.917,72.5,90,85,82.5,12
9,72.5,90,85,85,12
9.083,75,90,85,87.5,12
9.167,75,92.5,87.5,87.5,12
9.25,77.5,92.5,87.5,87.5,12
9.333,77.5,95,87.5,90,11
9.417,77.5,95,87.5,90,11
9.5,77.5,95,87.5,90,11
9.583,77.5,95,90,92.5,11
9.667,77.5,100,90,92.5,10
9.75,77.5,100,90,92.5,10
9.833,80,100,90,95,10
9.917,80,100,92.5,95,10
10,80,102.5,92.5,95,10
10.083,82.5,102.5,92.5,95,10
10.167,82.5,102.5,92.5,95,10
10.25,82.5,102.5,95,95,10
10.333,85,102.5,95,97.5,10
10.417,85,105,95,97.5,10
10.5,87.5,105,97.5,97.5,10
10.583,87.5,105,97.5,100,10
10.667,87.5,107.5,97.5,100,10
10.75,87.5,107.5,100,100,11
10.833,90,107.5,100,100,11
10.917,90,107.5,100,100,11
11,92.5,107.5,100,100,12
11.083,95,107.5,102.5,102.5,12
11.167,95,110,102.5,102.5,12
11.25,95,112.5,102.5,105,12
11.333,95,112.5,102.5,105,12
11.417,95,112.5,105,105,12
11.5,95,115,105,107.5,12
11.583,97.5,115,105,107.5,12
11.667,97.5,117.5,107.5,107.5,12
11.75,100,117.5,107.5,107.5,12
11.833,100,117.5,107.5,107.5,12
11.917,100,117.5,110,107.5,12
12,105,117.5,110,110,12
12.083,105,117.5,112.5,110,12
12.167,105,120,112.5,110,12
12.25,105,120,112.5,112.5,12
12.333,105,122.5,112.5,112.5,12
12.417,107.5,122.5,115,112.5,12
12.5,107.5,122.5,115,115,12
12.583,107.5,125,115,115,12
12.667,110,125,117.5,115,12
12.75,112.5,125,117.5,115,12
12.833,112.5,125,117.5,115,12
12.917,112.5,125,120,115,12
13,115,125,120,117.5,12
13.083,115,127.5,122.5,117.5,12
13.167,115,127.5,122.5,120,11
13.25,115,130,122.5,122.5,11
13.333,115,130,125,122.5,11
13.417,117.5,130,125,122.5,11
13.5,117.5,132.5,125,125,11
13.583,117.5,132.5,125,125,11
13.667,117.5,132.5,127.5,125,11
13.75,117.5,135,127.5,127.5,11
13.833,117.5,137.5,127.5,127.5,11
13.917,117.5,137.5,127.5,130,11
14,117.5,137.5,127.5,130,11
14.083,117.5,140,127.5,130,11
14.167,117.5,140,130,132.5,11
14.25,120,142.5,130,132.5,11
14.333,120,142.5,130,135,11
14.417,120,145,130,135,11
14.5,120,145,130,135,11
14.583,120,147.5,130,135,10
14.667,120,147.5,132.5,137.5,10
14.75,120,147.5,132.5,137.5,10
14.833,120,147.5,132.5,137.5,10
14.917,120,147.5,132.5,140,10
15,122.5,147.5,132.5,140,10
15.083,122.5,147.5,132.5,140,10
15.167,122.5,150,132.5,140,10
15.25,122.5,150,135,140,10
15.333,122.5,150,135,140,10
15.417,125,150,135,140,10
15.5,125,150,135,140,10
15.583,125,150,135,140,10
15.667,125,150,135,140,10
15.75,125,150,135,140,10
15.833,127.5,152.5,135,140,10
15.917,127.5,152.5,135,140,10
16,127.5,152.5,135,140,10
16.083,127.5,152.5,135,140,10
16.167,127.5,152.5,135,140,11
16.25,130,152.5,135,140,11
16.333,130,152.5,137.5,142.5,11
16.417,130,155,137.5,142.5,10
16.5,130,155,140,142.5,10
16.583,132.5,155,140,142.5,10
16.667,132.5,155,140,142.5,10
16.75,132.5,155,140,145,10
16.833,132.5,155,140,145,10
16.917,132.5,157.5,142.5,147.5,10
17,135,160,142.5,147.5,11
17.083,135,160,142.5,147.5,11
17.167,135,160,142.5,147.5,12
17.25,135,160,145,147.5,12
17.333,135,160,145,150,12
17.417,135,162.5,145,150,12
17.5,137.5,162.5,147.5,152.5,12
17.583,137.5,165,147.5,155,12
17.667,137.5,167.5,147.5,155,12
17.75,137.5,167.5,150,155,12
17.833,137.5,167.5,150,157.5,12
17.917,137.5,170,150,160,12
18,137.5,170,150,160,12
18.083,137.5,172.5,152.5,160,12
18.167,140,172.5,152.5,162.5,12
18.25,140,175,152.5,162.5,12
18.333,140,175,155,162.5,11
18.417,142.5,177.5,155,162.5,11
18.5,142.5,177.5,155,162.5,11
18.583,145,177.5,155,162.5,11
18.667,145,177.5,157.5,165,10
18.75,145,177.5,157.5,165,10
18.833,145,177.5,160,165,10
18.917,145,180,160,167.5,10
19,145,182.5,160,167.5,10
19.083,147.5,182.5,162.5,167.5,10
19.167,147.5,182.5,162.5,167.5,10
19.25,150,182.5,162.5,167.5,10
19.333,150,182.5,162.5,167.5,10
19.417,152.5,182.5,165,167.5,10
19.5,155,182.5,165,170,10
19.583,155,182.5,167.5,170,11
19.667,157.5,182.5,167.5,170,11
19.75,160,185,167.5,170,11
19.833,160,185,167.5,170,11
19.917,160,185,170,170,11
20,162.5,185,170,170,10
20.083,165,185,172.5,170,10
20.167,165,185,172.5,170,10
20.25,167.5,185,172.5,172.5,11
20.333,167.5,187.5,172.5,172.5,11
20.417,167.5,187.5,175,172.5,11
20.5,167.5,187.5,175,175,11
20.583,167.5,190,175,175,11
20.667,170,190,177.5,175,11
20.75,172.5,190,177.5,177.5,11
20.833,172.5,192.5,177.5,177.5,11
20.917,172.5,192.5,180,177.5,11
21,172.5,192.5,180,180,11
21.083,172.5,195,180,180,11
21.167,172.5,197.5,180,180,11
21.25,172.5,197.5,182.5,182.5,11
21.333,172.5,197.5,182.5,182.5,11
21.417,172.5,200,182.5,185,11
21.5,175,200,182.5,187.5,10
21.583,175,202.5,185,187.5,11
21.667,175,202.5,185,190,11
21.75,175,205,185,190,11
21.833,175,205,185,190,11
21.917,175,207.5,185,190,11
22,177.5,207.5,185,190,11
22.083,177.5,207.5,187.5,192.5,11
22.167,177.5,210,187.5,192.5,11
22.25,180,210,190,195,11
22.333,180,210,190,195,11
22.417,180,212.5,190,195,11
22.5,180,212.5,190,197.5,11
22.583,182.5,215,190,197.5,11
22.667,182.5,215,192.5,197.5,11
22.75,185,215,192.5,197.5,11
22.833,187.5,215,192.5,197.5,11
22.917,187.5,215,195,197.5,11
23,187.5,215,195,200,10
23.083,190,217.5,195,200,11
23.167,190,217.5,197.5,200,11
23.25,190,217.5,197.5,200,11
23.333,190,217.5,197.5,202.5,11
23.417,192.5,220,200,202.5,11
23.5,192.5,222.5,200,202.5,11
23.583,192.5,222.5,200,205,11
23.667,195,222.5,200,205,11
23.75,195,222.5,202.5,205,11
23.833,195,225,202.5,207.5,11
23.917,197.5,225,202.5,207.5,11
24,197.5,227.5,205,207.5,11
24.083,200,227.5,205,207.5,11
24.167,200,227.5,205,210,11
24.25,200,227.5,207.5,210,11
24.333,200,227.5,207.5,210,11
24.417,202.5,230,207.5,212.5,11
24.5,202.5,230,210,212.5,11
24.583,202.5,232.5,210,212.5,11
24.667,202.5,232.5,210,215,9
24.75,205,235,210,215,10
24.833,205,235,210,215,10
24.917,207.5,235,210,215,10
25,207.5,235,212.5,215,10
25.083,207.5,235,212.5,215,10
25.167,210,235,212.5,217.5,10
25.25,210,237.5,215,217.5,9
25.333,210,237.5,215,217.5,9
25.417,212.5,237.5,215,220,8
25.5,212.5,240,215,220,8
25.583,212.5,240,217.5,220,8
25.667,215,240,217.5,220,8
25.75,215,240,217.5,220,8
25.833,215,240,217.5,220,8
25.917,217.5,240,217.5,222.5,8
26,217.5,242.5,217.5,222.5,8
26.083,217.5,242.5,220,222.5,7
26.167,217.5,242.5,220,225,7
26.25,217.5,245,220,225,7
26.333,217.5,245,220,225,7
26.417,217.5,245,220,225,7
26.5,217.5,245,220,225,7
26.583,217.5,245,220,225,7
26.667,220,245,220,225,7
26.75,220,245,220,227.5,7
26.833,220,247.5,220,227.5,7
26.917,220,247.5,220,227.5,7
27,220,250,222.5,227.5,7
