time,lorry id,MDP,state
34801.0,lorry_11,7,maintenance
37037.0,lorry_1,8,broken
46802.0,lorry_11,2,recover after maintenance
60301.0,lorry_8,7,maintenance
65101.0,lorry_5,7,maintenance
68401.0,lorry_2,7,maintenance
69902.0,lorry_8,2,recover after maintenance
71401.0,lorry_6,7,maintenance
71701.0,lorry_11,7,maintenance
73502.0,lorry_6,2,recover after maintenance
73502.0,lorry_11,2,recover after maintenance
75001.0,lorry_9,7,maintenance
75601.0,lorry_3,7,maintenance
76501.0,lorry_6,7,maintenance
92101.0,lorry_0,7,maintenance
95702.0,lorry_5,2,recover after maintenance
96602.0,lorry_9,2,recover after maintenance
97202.0,lorry_3,2,recover after maintenance
97502.0,lorry_2,2,recover after maintenance
102901.0,lorry_11,7,maintenance
103802.0,lorry_6,2,recover after maintenance
104402.0,lorry_0,2,recover after maintenance
105901.0,lorry_10,7,maintenance
106502.0,lorry_10,2,recover after maintenance
106801.0,lorry_10,6,maintenance
109338.0,lorry_1,0,recover after broken
110557.0,lorry_5,8,broken
114902.0,lorry_10,1,recover after maintenance
116102.0,lorry_11,2,recover after maintenance
117001.0,lorry_7,7,maintenance
121201.0,lorry_9,7,maintenance
122102.0,lorry_7,2,recover after maintenance
125858.0,lorry_5,0,recover after broken
129301.0,lorry_2,7,maintenance
129902.0,lorry_9,2,recover after maintenance
134701.0,lorry_0,7,maintenance
135302.0,lorry_0,2,recover after maintenance
141901.0,lorry_0,7,maintenance
144302.0,lorry_0,2,recover after maintenance
158102.0,lorry_2,2,recover after maintenance
159901.0,lorry_0,7,maintenance
163802.0,lorry_0,2,recover after maintenance
166381.0,lorry_6,8,broken
166804.0,lorry_9,8,broken
167543.0,lorry_4,8,broken
169167.0,lorry_3,8,broken
172201.0,lorry_2,7,maintenance
177302.0,lorry_2,2,recover after maintenance
178251.0,lorry_5,8,broken
178495.0,lorry_8,8,broken
178852.0,lorry_5,0,recover after broken
179401.0,lorry_0,7,maintenance
180601.0,lorry_2,7,maintenance
183302.0,lorry_0,2,recover after maintenance
185702.0,lorry_2,2,recover after maintenance
188244.0,lorry_4,0,recover after broken
190382.0,lorry_6,0,recover after broken
190505.0,lorry_9,0,recover after broken
191039.0,lorry_1,8,broken
191701.0,lorry_2,7,maintenance
197402.0,lorry_2,2,recover after maintenance
206101.0,lorry_10,7,maintenance
207901.0,lorry_11,7,maintenance
208304.0,lorry_2,8,broken
215702.0,lorry_11,2,recover after maintenance
