step,reward,cumulate reward
0.25,1.0,9.5
0.333,4.0,13.5
0.417,1.0,14.5
0.5,2.0,16.5
0.583,3.0,19.5
0.667,2.5,22.0
0.75,2.0,24.0
0.833,3.0,27.0
0.917,1.5,28.5
1.0,5.0,33.5
1.083,1.0,34.5
1.167,3.0,37.5
1.25,1.5,39.0
1.333,3.5,42.5
1.417,2.5,45.0
1.5,2.0,47.0
1.583,3.0,50.0
1.667,4.0,54.0
1.75,3.0,57.0
1.833,1.5,58.5
1.917,2.5,61.0
2.0,3.0,64.0
2.083,3.5,67.5
2.167,2.5,70.0
2.25,3.0,73.0
2.333,4.5,77.5
2.417,2.5,80.0
2.5,2.0,82.0
2.583,3.5,85.5
2.667,3.5,89.0
2.75,2.0,91.0
2.833,2.5,93.5
2.917,4.5,98.0
3.0,1.5,99.5
3.083,2.5,102.0
3.167,3.0,105.0
3.25,3.5,108.5
3.333,3.0,111.5
3.417,3.5,115.0
3.5,3.0,118.0
3.583,3.0,121.0
3.667,2.0,123.0
3.75,2.5,125.5
3.833,2.5,128.0
3.917,5.0,133.0
4.0,2.5,135.5
4.083,4.0,139.5
4.167,1.0,140.5
4.25,3.0,143.5
4.333,3.0,146.5
4.417,1.5,148.0
4.5,3.5,151.5
4.583,2.5,154.0
4.667,3.0,157.0
4.75,4.0,161.0
4.833,2.5,163.5
4.917,2.0,165.5
5.0,3.5,169.0
5.083,1.5,170.5
5.167,4.0,174.5
5.25,2.5,177.0
5.333,3.0,180.0
5.417,3.5,183.5
5.5,3.0,186.5
5.583,2.5,189.0
5.667,3.0,192.0
5.75,1.5,193.5
5.833,3.5,197.0
5.917,4.0,201.0
6.0,2.0,203.0
6.083,2.0,205.0
6.167,3.0,208.0
6.25,4.0,212.0
6.333,3.0,215.0
6.417,2.5,217.5
6.5,2.5,220.0
6.583,2.5,222.5
6.667,2.0,224.5
6.75,3.0,227.5
6.833,4.0,231.5
6.917,2.5,234.0
7.0,3.5,237.5
7.083,1.5,239.0
7.167,2.5,241.5
7.25,3.5,245.0
7.333,1.5,246.5
7.417,3.5,250.0
7.5,2.5,252.5
7.583,2.0,254.5
7.667,4.5,259.0
7.75,3.0,262.0
7.833,2.0,264.0
7.917,2.5,266.5
8.0,3.0,269.5
8.083,4.0,273.5
8.167,2.5,276.0
8.25,1.5,277.5
8.333,2.0,279.5
8.417,2.5,282.0
8.5,4.0,286.0
8.583,3.0,289.0
8.667,3.0,292.0
8.75,2.5,294.5
8.833,1.5,296.0
8.917,4.0,300.0
9.0,2.0,302.0
9.083,2.5,304.5
9.167,5.0,309.5
9.25,2.5,312.0
9.333,1.0,313.0
9.417,3.0,316.0
9.5,3.0,319.0
9.583,3.5,322.5
9.667,1.5,324.0
9.75,1.5,325.5
9.833,2.5,328.0
9.917,2.5,330.5
10.0,3.5,334.0
10.083,2.5,336.5
10.167,2.5,339.0
10.25,2.0,341.0
10.333,2.5,343.5
10.417,3.0,346.5
10.5,2.5,349.0
10.583,1.5,350.5
10.667,3.0,353.5
10.75,2.0,355.5
10.833,3.5,359.0
10.917,2.0,361.0
11.0,1.5,362.5
11.083,3.5,366.0
11.167,2.0,368.0
11.25,1.5,369.5
11.333,2.5,372.0
11.417,3.0,375.0
11.5,2.0,377.0
11.583,2.0,379.0
11.667,2.0,381.0
11.75,3.5,384.5
11.833,1.5,386.0
11.917,2.0,388.0
12.0,3.0,391.0
12.083,2.0,393.0
12.167,1.5,394.5
12.25,3.5,398.0
12.333,1.5,399.5
12.417,3.0,402.5
12.5,3.0,405.5
12.583,1.0,406.5
12.667,2.5,409.0
12.75,3.0,412.0
12.833,2.5,414.5
12.917,3.0,417.5
