step,reward,cumulate reward
0.25,1.0,9.5
0.333,4.0,13.5
0.417,2.5,16.0
0.5,1.5,17.5
0.583,4.0,21.5
0.667,2.5,24.0
0.75,2.5,26.5
0.833,3.0,29.5
0.917,2.5,32.0
1.0,3.0,35.0
1.083,3.0,38.0
1.167,3.5,41.5
1.25,3.0,44.5
1.333,1.5,46.0
1.417,3.5,49.5
1.5,3.5,53.0
1.583,3.5,56.5
1.667,2.0,58.5
1.75,3.5,62.0
1.833,1.5,63.5
1.917,3.0,66.5
2.0,3.5,70.0
2.083,2.5,72.5
2.167,3.0,75.5
2.25,1.5,77.0
2.333,3.0,80.0
2.417,2.5,82.5
2.5,2.5,85.0
2.583,4.5,89.5
2.667,2.5,92.0
2.75,1.5,93.5
2.833,4.0,97.5
2.917,4.0,101.5
3.0,1.5,103.0
3.083,2.5,105.5
3.167,2.5,108.0
3.25,3.0,111.0
3.333,3.5,114.5
3.417,2.5,117.0
3.5,2.0,119.0
3.583,4.0,123.0
3.667,5.0,128.0
3.75,2.0,130.0
3.833,1.0,131.0
3.917,4.0,135.0
4.0,3.0,138.0
4.083,2.5,140.5
4.167,3.0,143.5
4.25,2.5,146.0
4.333,2.5,148.5
4.417,3.5,152.0
4.5,2.0,154.0
4.583,2.5,156.5
4.667,3.5,160.0
4.75,2.0,162.0
4.833,3.5,165.5
4.917,3.5,169.0
5.0,1.5,170.5
5.083,2.0,172.5
5.167,4.5,177.0
5.25,3.0,180.0
5.333,1.5,181.5
5.417,4.0,185.5
5.5,2.5,188.0
5.583,1.5,189.5
5.667,3.5,193.0
5.75,2.5,195.5
5.833,3.5,199.0
5.917,3.0,202.0
6.0,2.0,204.0
6.083,2.5,206.5
6.167,3.5,210.0
6.25,3.5,213.5
6.333,1.5,215.0
6.417,3.0,218.0
6.5,3.5,221.5
6.583,2.5,224.0
6.667,3.0,227.0
6.75,2.0,229.0
6.833,2.5,231.5
6.917,3.0,234.5
7.0,3.5,238.0
7.083,1.0,239.0
7.167,4.0,243.0
7.25,3.5,246.5
7.333,1.5,248.0
7.417,2.5,250.5
7.5,3.0,253.5
7.583,2.0,255.5
7.667,0.5,256.0
7.75,2.5,258.5
7.833,1.0,259.5
7.917,1.0,260.5
8.0,1.0,261.5
8.083,1.5,263.0
8.167,1.0,264.0
8.25,1.5,265.5
8.333,1.5,267.0
8.417,1.0,268.0
8.5,0.5,268.5
8.583,2.0,270.5
8.667,4.0,274.5
8.75,1.5,276.0
8.833,3.0,279.0
8.917,2.5,281.5
9.0,2.5,284.0
9.083,2.5,286.5
9.167,3.0,289.5
9.25,2.0,291.5
9.333,2.5,294.0
9.417,3.5,297.5
9.5,2.0,299.5
9.583,2.5,302.0
9.667,3.0,305.0
9.75,2.5,307.5
9.833,3.0,310.5
9.917,0.5,311.0
10.0,3.5,314.5
10.083,3.5,318.0
10.167,2.0,320.0
10.25,3.0,323.0
10.333,2.0,325.0
10.417,3.5,328.5
10.5,2.0,330.5
10.583,3.0,333.5
10.667,2.5,336.0
10.75,3.0,339.0
10.833,1.0,340.0
10.917,4.5,344.5
11.0,1.5,346.0
11.083,2.5,348.5
11.167,1.5,350.0
11.25,3.0,353.0
11.333,2.5,355.5
11.417,2.5,358.0
11.5,2.5,360.5
11.583,3.0,363.5
11.667,2.0,365.5
11.75,2.0,367.5
11.833,1.5,369.0
11.917,2.5,371.5
12.0,3.5,375.0
12.083,3.5,378.5
12.167,0.5,379.0
12.25,1.0,380.0
12.333,2.5,382.5
12.417,1.0,383.5
12.5,2.5,386.0
12.583,2.5,388.5
12.667,3.5,392.0
12.75,2.5,394.5
12.833,1.5,396.0
12.917,1.5,397.5
