time,A,B,P12,P23,current_lorry
0.25,0.0,0.0,2.5,0.0,12
0.333,0.0,0.0,2.5,2.5,11
0.417,0.0,2.5,5.0,2.5,11
0.5,0.0,2.5,5.0,2.5,11
0.583,2.5,2.5,5.0,2.5,11
0.667,2.5,2.5,5.0,2.5,11
0.75,2.5,2.5,7.5,5.0,11
0.833,5.0,2.5,7.5,5.0,11
0.917,5.0,5.0,10.0,5.0,11
1.0,7.5,5.0,10.0,5.0,11
1.083,7.5,5.0,10.0,5.0,11
1.167,7.5,5.0,12.5,5.0,11
1.25,10.0,5.0,12.5,7.5,11
1.333,10.0,5.0,15.0,7.5,11
1.417,10.0,7.5,15.0,7.5,11
1.5,12.5,7.5,15.0,10.0,11
1.583,12.5,7.5,15.0,10.0,11
1.667,12.5,7.5,17.5,10.0,11
1.75,15.0,10.0,17.5,12.5,11
1.833,15.0,10.0,17.5,12.5,11
1.917,15.0,10.0,20.0,12.5,11
2.0,17.5,12.5,20.0,12.5,11
2.083,17.5,12.5,20.0,12.5,11
2.167,17.5,12.5,22.5,12.5,11
2.25,17.5,12.5,22.5,15.0,11
2.333,20.0,15.0,22.5,15.0,11
2.417,20.0,15.0,25.0,15.0,11
2.5,22.5,15.0,25.0,15.0,11
2.583,22.5,15.0,25.0,15.0,11
2.667,25.0,15.0,27.5,17.5,11
2.75,25.0,15.0,27.5,17.5,11
2.833,25.0,17.5,27.5,17.5,11
2.917,25.0,17.5,30.0,17.5,11
3.0,25.0,17.5,30.0,20.0,11
3.083,25.0,20.0,30.0,20.0,11
3.167,25.0,20.0,32.5,20.0,11
3.25,30.0,20.0,32.5,20.0,11
3.333,30.0,20.0,32.5,20.0,11
3.417,30.0,20.0,35.0,20.0,11
3.5,35.0,20.0,35.0,22.5,10
3.583,35.0,22.5,35.0,22.5,11
3.667,35.0,22.5,37.5,22.5,11
3.75,35.0,22.5,37.5,25.0,11
3.833,35.0,25.0,37.5,25.0,11
3.917,35.0,25.0,40.0,25.0,11
4.0,35.0,25.0,40.0,27.5,11
4.083,35.0,27.5,40.0,27.5,11
4.167,35.0,27.5,42.5,30.0,10
4.25,37.5,27.5,42.5,30.0,10
4.333,37.5,30.0,42.5,30.0,10
4.417,37.5,30.0,45.0,30.0,10
4.5,40.0,32.5,45.0,32.5,10
4.583,40.0,32.5,45.0,32.5,10
4.667,40.0,32.5,47.5,32.5,10
4.75,40.0,35.0,47.5,35.0,10
4.833,40.0,35.0,47.5,35.0,10
4.917,40.0,35.0,47.5,35.0,10
5.0,42.5,37.5,47.5,37.5,11
5.083,42.5,37.5,50.0,37.5,11
5.167,42.5,40.0,50.0,37.5,11
5.25,45.0,40.0,50.0,37.5,11
5.333,45.0,40.0,52.5,37.5,11
5.417,47.5,40.0,52.5,40.0,11
5.5,50.0,40.0,52.5,40.0,11
5.583,50.0,42.5,55.0,40.0,11
5.667,50.0,42.5,55.0,42.5,10
5.75,50.0,42.5,55.0,42.5,10
5.833,52.5,45.0,55.0,42.5,10
5.917,52.5,45.0,57.5,42.5,10
6.0,52.5,45.0,57.5,42.5,10
6.083,55.0,45.0,57.5,42.5,10
6.167,55.0,45.0,60.0,42.5,9
6.25,57.5,45.0,60.0,45.0,9
6.333,57.5,45.0,60.0,45.0,9
6.417,57.5,47.5,62.5,45.0,9
6.5,57.5,47.5,62.5,47.5,9
6.583,57.5,50.0,62.5,50.0,10
6.667,57.5,50.0,62.5,50.0,10
6.75,57.5,50.0,62.5,50.0,10
6.833,57.5,52.5,62.5,52.5,10
6.917,57.5,55.0,65.0,52.5,11
7.0,57.5,55.0,65.0,55.0,11
7.083,60.0,55.0,65.0,55.0,11
7.167,60.0,57.5,67.5,55.0,11
7.25,62.5,57.5,67.5,55.0,11
7.333,62.5,60.0,67.5,55.0,11
7.417,62.5,60.0,67.5,55.0,11
7.5,65.0,60.0,70.0,57.5,11
7.583,65.0,60.0,70.0,57.5,11
7.667,67.5,60.0,72.5,57.5,11
7.75,67.5,60.0,72.5,57.5,11
7.833,70.0,62.5,72.5,57.5,11
7.917,70.0,62.5,72.5,57.5,11
8.0,72.5,62.5,75.0,57.5,11
8.083,72.5,62.5,75.0,57.5,11
8.167,72.5,62.5,77.5,57.5,11
8.25,77.5,62.5,77.5,57.5,11
8.333,77.5,62.5,80.0,57.5,11
8.417,77.5,62.5,80.0,57.5,11
8.5,80.0,62.5,80.0,60.0,11
8.583,80.0,62.5,82.5,60.0,11
8.667,80.0,62.5,82.5,60.0,10
8.75,80.0,65.0,82.5,60.0,10
8.833,80.0,65.0,85.0,60.0,10
8.917,80.0,65.0,85.0,60.0,10
9.0,80.0,65.0,85.0,62.5,10
9.083,80.0,65.0,85.0,62.5,10
9.167,80.0,65.0,85.0,62.5,10
9.25,80.0,65.0,85.0,62.5,10
9.333,82.5,67.5,85.0,62.5,10
9.417,82.5,67.5,87.5,62.5,10
9.5,82.5,67.5,87.5,62.5,10
9.583,82.5,67.5,87.5,65.0,11
9.667,82.5,70.0,87.5,65.0,11
9.75,82.5,70.0,90.0,67.5,11
9.833,85.0,70.0,90.0,70.0,11
9.917,85.0,72.5,90.0,70.0,11
10.0,85.0,72.5,92.5,70.0,11
10.083,85.0,72.5,92.5,70.0,11
10.167,87.5,75.0,92.5,72.5,11
10.25,87.5,77.5,92.5,72.5,11
10.333,87.5,77.5,92.5,72.5,11
10.417,87.5,77.5,95.0,72.5,11
10.5,90.0,77.5,95.0,75.0,11
10.583,90.0,80.0,95.0,75.0,11
10.667,90.0,80.0,95.0,75.0,11
10.75,92.5,80.0,97.5,75.0,11
10.833,92.5,80.0,97.5,77.5,11
10.917,92.5,82.5,100.0,77.5,11
11.0,95.0,82.5,100.0,77.5,11
11.083,95.0,85.0,100.0,80.0,11
11.167,95.0,85.0,102.5,80.0,11
11.25,95.0,85.0,102.5,80.0,11
11.333,95.0,87.5,102.5,82.5,11
11.417,95.0,87.5,105.0,82.5,11
11.5,95.0,87.5,105.0,87.5,11
11.583,95.0,87.5,105.0,87.5,11
11.667,95.0,90.0,107.5,87.5,11
11.75,95.0,90.0,107.5,90.0,11
11.833,95.0,92.5,107.5,90.0,11
11.917,95.0,95.0,107.5,90.0,11
12.0,97.5,95.0,107.5,90.0,11
12.083,97.5,97.5,110.0,90.0,11
12.167,100.0,97.5,110.0,90.0,10
12.25,100.0,97.5,110.0,90.0,10
12.333,100.0,97.5,112.5,90.0,10
12.417,102.5,97.5,112.5,90.0,9
12.5,102.5,97.5,115.0,90.0,8
12.583,105.0,97.5,115.0,90.0,8
12.667,105.0,97.5,115.0,90.0,7
12.75,105.0,97.5,115.0,90.0,6
12.833,105.0,97.5,115.0,90.0,6
12.917,105.0,97.5,115.0,90.0,6
13.0,107.5,97.5,115.0,90.0,7
13.083,107.5,97.5,115.0,90.0,7
13.167,107.5,97.5,115.0,90.0,8
13.25,107.5,97.5,117.5,90.0,8
13.333,107.5,97.5,117.5,90.0,8
13.417,107.5,97.5,117.5,90.0,8
13.5,110.0,97.5,117.5,90.0,9
13.583,110.0,97.5,117.5,92.5,9
13.667,110.0,97.5,117.5,92.5,9
13.75,110.0,97.5,117.5,92.5,9
13.833,110.0,97.5,117.5,92.5,9
13.917,110.0,97.5,117.5,92.5,9
14.0,110.0,97.5,117.5,92.5,9
14.083,110.0,100.0,120.0,95.0,9
14.167,110.0,100.0,120.0,95.0,9
14.25,110.0,100.0,120.0,95.0,8
14.333,110.0,100.0,120.0,95.0,9
14.417,110.0,100.0,120.0,95.0,9
14.5,110.0,100.0,120.0,95.0,9
14.583,112.5,100.0,120.0,95.0,9
14.667,112.5,102.5,120.0,95.0,9
14.75,112.5,102.5,120.0,95.0,9
14.833,112.5,102.5,122.5,95.0,9
14.917,112.5,102.5,122.5,95.0,9
15.0,112.5,102.5,122.5,97.5,9
15.083,115.0,102.5,122.5,97.5,9
15.167,115.0,102.5,122.5,97.5,9
15.25,115.0,102.5,122.5,97.5,9
15.333,115.0,102.5,122.5,97.5,9
15.417,115.0,102.5,122.5,97.5,9
15.5,115.0,102.5,122.5,97.5,9
15.583,115.0,105.0,122.5,97.5,9
15.667,115.0,105.0,122.5,97.5,9
15.75,117.5,105.0,122.5,97.5,9
15.833,117.5,105.0,122.5,97.5,10
15.917,117.5,105.0,122.5,97.5,10
16.0,117.5,105.0,122.5,97.5,10
16.083,120.0,105.0,125.0,97.5,10
16.167,120.0,105.0,125.0,97.5,10
16.25,120.0,105.0,125.0,100.0,10
16.333,120.0,105.0,125.0,100.0,10
16.417,120.0,105.0,125.0,100.0,10
16.5,120.0,105.0,125.0,100.0,9
16.583,120.0,105.0,125.0,100.0,9
16.667,120.0,105.0,125.0,100.0,8
16.75,120.0,107.5,125.0,100.0,8
16.833,120.0,107.5,125.0,102.5,8
16.917,120.0,107.5,125.0,102.5,8
17.0,122.5,107.5,125.0,102.5,9
17.083,122.5,110.0,125.0,102.5,9
17.167,122.5,110.0,127.5,102.5,9
17.25,122.5,110.0,127.5,105.0,9
17.333,125.0,110.0,127.5,105.0,9
17.417,125.0,112.5,127.5,105.0,9
17.5,125.0,112.5,130.0,105.0,9
17.583,125.0,112.5,130.0,107.5,9
17.667,125.0,115.0,130.0,107.5,8
17.75,125.0,115.0,130.0,107.5,8
17.833,125.0,115.0,130.0,110.0,8
17.917,127.5,117.5,132.5,110.0,8
18.0,127.5,117.5,132.5,110.0,8
18.083,127.5,117.5,132.5,110.0,8
18.167,127.5,117.5,132.5,110.0,8
18.25,130.0,117.5,135.0,112.5,8
18.333,130.0,120.0,135.0,112.5,8
18.417,130.0,120.0,135.0,112.5,9
18.5,132.5,122.5,135.0,112.5,9
18.583,132.5,122.5,135.0,112.5,9
18.667,135.0,122.5,137.5,112.5,9
18.75,135.0,122.5,137.5,112.5,9
18.833,135.0,122.5,140.0,112.5,9
18.917,137.5,122.5,140.0,115.0,10
19.0,140.0,122.5,140.0,115.0,10
19.083,140.0,125.0,142.5,115.0,10
19.167,140.0,125.0,142.5,115.0,10
19.25,142.5,125.0,142.5,115.0,10
19.333,142.5,125.0,142.5,115.0,10
19.417,142.5,125.0,145.0,115.0,10
19.5,147.5,125.0,145.0,115.0,10
19.583,147.5,125.0,145.0,115.0,10
19.667,150.0,125.0,147.5,115.0,11
19.75,150.0,125.0,147.5,117.5,11
19.833,150.0,127.5,150.0,117.5,11
19.917,152.5,127.5,150.0,120.0,11
20.0,152.5,127.5,150.0,120.0,11
20.083,152.5,127.5,152.5,120.0,11
20.167,155.0,130.0,152.5,120.0,11
20.25,155.0,130.0,152.5,122.5,11
20.333,155.0,132.5,152.5,122.5,10
20.417,155.0,132.5,155.0,122.5,10
20.5,157.5,132.5,155.0,125.0,11
20.583,157.5,135.0,155.0,125.0,11
20.667,157.5,135.0,157.5,125.0,11
20.75,160.0,135.0,157.5,125.0,11
20.833,160.0,135.0,157.5,127.5,11
20.917,162.5,137.5,160.0,127.5,11
21.0,162.5,137.5,160.0,127.5,11
21.083,162.5,137.5,160.0,130.0,11
21.167,162.5,140.0,160.0,130.0,10
21.25,162.5,140.0,160.0,130.0,10
21.333,165.0,140.0,160.0,130.0,10
21.417,167.5,142.5,162.5,130.0,10
21.5,167.5,142.5,162.5,130.0,10
21.583,167.5,142.5,165.0,130.0,10
21.667,170.0,142.5,165.0,132.5,10
21.75,170.0,142.5,165.0,132.5,10
21.833,172.5,142.5,167.5,132.5,11
21.917,172.5,145.0,167.5,135.0,11
22.0,172.5,145.0,167.5,135.0,10
22.083,172.5,145.0,167.5,135.0,10
22.167,172.5,147.5,167.5,137.5,10
22.25,172.5,150.0,170.0,137.5,10
22.333,172.5,150.0,170.0,137.5,10
22.417,172.5,150.0,170.0,140.0,10
22.5,172.5,152.5,172.5,140.0,10
22.583,175.0,152.5,172.5,142.5,10
22.667,175.0,152.5,172.5,142.5,10
22.75,175.0,155.0,172.5,142.5,10
22.833,175.0,155.0,172.5,142.5,9
22.917,177.5,155.0,172.5,145.0,9
23.0,177.5,157.5,175.0,145.0,9
23.083,177.5,157.5,175.0,145.0,9
23.167,177.5,157.5,175.0,147.5,9
23.25,177.5,160.0,175.0,147.5,9
23.333,180.0,160.0,177.5,147.5,9
23.417,180.0,160.0,177.5,150.0,9
23.5,180.0,162.5,177.5,150.0,8
23.583,180.0,162.5,177.5,150.0,8
23.667,182.5,162.5,177.5,150.0,8
23.75,182.5,162.5,177.5,150.0,8
23.833,182.5,162.5,177.5,150.0,8
23.917,182.5,162.5,180.0,150.0,8
24.0,182.5,162.5,180.0,150.0,7
24.083,185.0,162.5,180.0,150.0,7
24.167,185.0,162.5,180.0,152.5,8
24.25,187.5,162.5,182.5,152.5,8
24.333,187.5,165.0,182.5,152.5,8
24.417,187.5,165.0,182.5,155.0,8
24.5,187.5,167.5,182.5,155.0,8
24.583,187.5,167.5,182.5,155.0,7
