step,reward,cumulate reward
0.25,1.0,10.0
0.333,4.0,14.0
0.417,2.5,16.5
0.5,0.5,17.0
0.583,4.5,21.5
0.667,3.0,24.5
0.75,1.5,26.0
0.833,3.0,29.0
0.917,0.0,29.0
1.0,1.5,30.5
1.083,0.5,31.0
1.167,1.0,32.0
1.25,0.5,32.5
1.333,1.5,34.0
1.417,0.5,34.5
1.5,2.0,36.5
1.583,1.0,37.5
1.667,0.5,38.0
1.75,0.5,38.5
1.833,1.5,40.0
1.917,0.5,40.5
2.0,2.0,42.5
2.083,2.5,45.0
2.167,2.5,47.5
2.25,3.5,51.0
2.333,1.5,52.5
2.417,2.0,54.5
2.5,1.5,56.0
2.583,1.5,57.5
2.667,0.5,58.0
2.75,1.0,59.0
2.833,2.0,61.0
2.917,1.0,62.0
3.0,0.5,62.5
3.083,1.5,64.0
3.167,0.5,64.5
3.25,0.5,65.0
3.333,1.0,66.0
3.417,0.0,66.0
3.5,0.0,66.0
3.583,1.5,67.5
3.667,1.0,68.5
3.75,2.0,70.5
3.833,1.5,72.0
3.917,2.0,74.0
4.0,1.5,75.5
4.083,0.0,75.5
4.167,0.0,75.5
4.25,0.0,75.5
4.333,0.0,75.5
4.417,0.5,76.0
4.5,0.0,76.0
4.583,0.5,76.5
4.667,0.5,77.0
4.75,1.0,78.0
4.833,1.5,79.5
4.917,0.0,79.5
5.0,2.0,81.5
5.083,1.0,82.5
5.167,3.5,86.0
5.25,1.5,87.5
5.333,3.0,90.5
5.417,1.5,92.0
5.5,1.0,93.0
5.583,0.5,93.5
5.667,1.0,94.5
5.75,0.5,95.0
5.833,0.0,95.0
5.917,0.5,95.5
6.0,0.5,96.0
6.083,0.0,96.0
6.167,0.5,96.5
6.25,0.5,97.0
6.333,0.0,97.0
6.417,0.0,97.0
6.5,1.0,98.0
6.583,0.0,98.0
6.667,1.0,99.0
6.75,1.5,100.5
6.833,1.0,101.5
6.917,2.0,103.5
7.0,1.0,104.5
7.083,1.5,106.0
7.167,1.0,107.0
7.25,0.0,107.0
7.333,0.5,107.5
7.417,0.0,107.5
7.5,0.5,108.0
7.583,0.5,108.5
7.667,0.5,109.0
7.75,0.5,109.5
7.833,1.0,110.5
7.917,0.5,111.0
8.0,1.5,112.5
8.083,1.5,114.0
8.167,1.5,115.5
8.25,2.0,117.5
8.333,1.0,118.5
8.417,1.0,119.5
8.5,0.0,119.5
8.583,1.0,120.5
8.667,0.5,121.0
8.75,0.0,121.0
8.833,1.0,122.0
8.917,0.5,122.5
9.0,0.5,123.0
9.083,0.0,123.0
9.167,0.0,123.0
9.25,0.5,123.5
9.333,1.0,124.5
9.417,0.5,125.0
9.5,0.0,125.0
9.583,0.5,125.5
9.667,1.0,126.5
9.75,1.0,127.5
9.833,0.5,128.0
9.917,0.5,128.5
10.0,1.5,130.0
10.083,1.0,131.0
10.167,0.5,131.5
10.25,1.0,132.5
10.333,1.0,133.5
10.417,1.0,134.5
10.5,0.5,135.0
10.583,0.0,135.0
10.667,0.0,135.0
10.75,0.5,135.5
10.833,0.5,136.0
10.917,1.0,137.0
11.0,0.0,137.0
11.083,1.0,138.0
11.167,0.5,138.5
11.25,0.5,139.0
11.333,0.5,139.5
11.417,0.5,140.0
11.5,1.0,141.0
11.583,1.0,142.0
11.667,1.0,143.0
11.75,1.0,144.0
11.833,1.0,145.0
11.917,0.0,145.0
12.0,1.0,146.0
12.083,0.5,146.5
12.167,0.0,146.5
12.25,0.5,147.0
12.333,1.0,148.0
12.417,0.0,148.0
12.5,1.5,149.5
12.583,1.0,150.5
12.667,0.5,151.0
12.75,0.5,151.5
12.833,0.5,152.0
12.917,0.0,152.0
13.0,0.5,152.5
13.083,0.0,152.5
13.167,0.0,152.5
13.25,0.5,153.0
13.333,0.0,153.0
13.417,0.5,153.5
13.5,0.5,154.0
13.583,0.5,154.5
13.667,0.5,155.0
13.75,1.0,156.0
13.833,0.5,156.5
13.917,0.5,157.0
14.0,0.5,157.5
14.083,1.0,158.5
14.167,0.5,159.0
14.25,0.0,159.0
14.333,0.5,159.5
14.417,0.5,160.0
14.5,0.0,160.0
14.583,0.0,160.0
14.667,0.5,160.5
14.75,0.5,161.0
14.833,0.5,161.5
14.917,0.5,162.0
15.0,1.5,163.5
15.083,0.0,163.5
15.167,1.0,164.5
15.25,1.5,166.0
15.333,0.5,166.5
15.417,2.0,168.5
15.5,0.5,169.0
15.583,0.5,169.5
15.667,1.0,170.5
15.75,1.5,172.0
15.833,1.0,173.0
15.917,0.5,173.5
16.0,1.0,174.5
16.083,0.5,175.0
16.167,0.5,175.5
16.25,0.5,176.0
16.333,0.5,176.5
16.417,0.0,176.5
16.5,0.5,177.0
16.583,0.0,177.0
16.667,0.5,177.5
16.75,0.0,177.5
16.833,1.0,178.5
16.917,1.0,179.5
17.0,0.0,179.5
17.083,0.5,180.0
17.167,0.0,180.0
17.25,0.0,180.0
17.333,0.5,180.5
17.417,1.0,181.5
17.5,0.5,182.0
17.583,0.0,182.0
17.667,0.5,182.5
17.75,0.5,183.0
17.833,1.0,184.0
17.917,0.5,184.5
18.0,0.5,185.0
18.083,0.5,185.5
18.167,0.0,185.5
18.25,0.0,185.5
18.333,0.0,185.5
18.417,0.5,186.0
18.5,0.5,186.5
18.583,0.5,187.0
18.667,0.5,187.5
18.75,0.0,187.5
18.833,0.0,187.5
18.917,0.5,188.0
19.0,0.5,188.5
19.083,0.0,188.5
19.167,0.0,188.5
19.25,0.5,189.0
19.333,0.5,189.5
19.417,0.0,189.5
19.5,0.0,189.5
19.583,0.0,189.5
19.667,0.0,189.5
19.75,0.5,190.0
19.833,0.5,190.5
19.917,0.0,190.5
20.0,0.5,191.0
20.083,0.0,191.0
20.167,0.0,191.0
20.25,1.0,192.0
20.333,1.5,193.5
20.417,0.5,194.0
20.5,0.5,194.5
20.583,0.5,195.0
20.667,0.0,195.0
20.75,1.0,196.0
20.833,1.0,197.0
20.917,0.5,197.5
21.0,0.0,197.5
21.083,0.5,198.0
21.167,0.0,198.0
21.25,0.0,198.0
21.333,0.0,198.0
21.417,0.5,198.5
21.5,0.5,199.0
21.583,0.0,199.0
21.667,0.5,199.5
21.75,1.0,200.5
21.833,0.5,201.0
21.917,0.5,201.5
22.0,0.0,201.5
22.083,0.0,201.5
22.167,0.0,201.5
22.25,0.0,201.5
22.333,0.0,201.5
22.417,0.0,201.5
22.5,0.5,202.0
22.583,0.0,202.0
22.667,1.0,203.0
22.75,0.5,203.5
22.833,0.0,203.5
22.917,0.0,203.5
23.0,0.0,203.5
23.083,0.0,203.5
23.167,0.5,204.0
23.25,0.5,204.5
23.333,0.0,204.5
23.417,0.5,205.0
23.5,0.0,205.0
23.583,0.0,205.0
23.667,0.0,205.0
23.75,0.0,205.0
23.833,0.0,205.0
23.917,0.0,205.0
24.0,0.0,205.0
24.083,0.5,205.5
24.167,1.0,206.5
24.25,0.5,207.0
24.333,0.5,207.5
24.417,1.0,208.5
24.5,0.5,209.0
24.583,0.5,209.5
24.667,0.0,209.5
24.75,0.0,209.5
24.833,0.0,209.5
24.917,0.0,209.5
25.0,0.0,209.5
25.083,0.0,209.5
25.167,0.0,209.5
25.25,0.0,209.5
25.333,0.5,210.0
25.417,0.0,210.0
25.5,0.0,210.0
25.583,1.0,211.0
25.667,0.0,211.0
25.75,0.5,211.5
25.833,0.0,211.5
25.917,0.0,211.5
26.0,0.0,211.5
26.083,1.5,213.0
26.167,0.0,213.0
26.25,0.5,213.5
26.333,0.0,213.5
26.417,1.0,214.5
26.5,0.0,214.5
26.583,0.5,215.0
26.667,0.0,215.0
26.75,0.0,215.0
26.833,0.0,215.0
26.917,0.5,215.5
27.0,0.0,215.5
27.083,0.5,216.0
27.167,0.5,216.5
27.25,0.0,216.5
27.333,1.5,218.0
27.417,1.0,219.0
27.5,0.5,219.5
27.583,0.5,220.0
27.667,0.5,220.5
27.75,0.0,220.5
27.833,1.0,221.5
27.917,1.0,222.5
28.0,1.0,223.5
28.083,0.5,224.0
28.167,0.0,224.0
28.25,0.0,224.0
28.333,0.0,224.0
28.417,1.0,225.0
28.5,0.0,225.0
28.583,0.5,225.5
28.667,1.0,226.5
28.75,0.0,226.5
28.833,0.0,226.5
28.917,0.0,226.5
29.0,1.5,228.0
29.083,0.0,228.0
29.167,0.0,228.0
29.25,1.0,229.0
29.333,2.0,231.0
29.417,1.0,232.0
29.5,0.5,232.5
29.583,0.5,233.0
29.667,0.0,233.0
29.75,0.0,233.0
29.833,0.0,233.0
29.917,0.0,233.0
30.0,0.0,233.0
30.083,0.0,233.0
30.167,0.5,233.5
30.25,1.0,234.5
30.333,1.0,235.5
30.417,0.5,236.0
30.5,0.0,236.0
30.583,0.0,236.0
30.667,0.0,236.0
30.75,0.0,236.0
30.833,0.0,236.0
30.917,0.5,236.5
31.0,0.5,237.0
31.083,0.0,237.0
31.167,0.0,237.0
31.25,1.5,238.5
31.333,0.5,239.0
31.417,1.0,240.0
31.5,1.5,241.5
31.583,0.5,242.0
31.667,1.0,243.0
31.75,0.5,243.5
31.833,0.0,243.5
31.917,0.0,243.5
32.0,1.0,244.5
32.083,1.0,245.5
32.167,0.5,246.0
32.25,0.0,246.0
32.333,0.5,246.5
32.417,0.0,246.5
32.5,0.0,246.5
32.583,0.5,247.0
32.667,0.5,247.5
