time,lorry id,MDP,state
1201.0,lorry_9,6,maintenance
2101.0,lorry_2,6,maintenance
5701.0,lorry_7,6,maintenance
6901.0,lorry_3,6,maintenance
10201.0,lorry_8,7,maintenance
11101.0,lorry_0,6,maintenance
12302.0,lorry_7,0,recover after maintenance
13501.0,lorry_6,9,maintenance
18302.0,lorry_6,2,recover after maintenance
18902.0,lorry_9,0,recover after maintenance
21601.0,lorry_4,7,maintenance
21602.0,lorry_4,0,recover after maintenance
23101.0,lorry_6,9,maintenance
23701.0,lorry_5,8,maintenance
24001.0,lorry_4,7,maintenance
24302.0,lorry_4,0,recover after maintenance
26401.0,lorry_1,7,maintenance
27602.0,lorry_0,0,recover after maintenance
27602.0,lorry_5,1,recover after maintenance
28202.0,lorry_1,0,recover after maintenance
28502.0,lorry_6,2,recover after maintenance
29101.0,lorry_0,6,maintenance
29701.0,lorry_5,7,maintenance
29702.0,lorry_5,0,recover after maintenance
32401.0,lorry_10,6,maintenance
34801.0,lorry_6,9,maintenance
36001.0,lorry_5,6,maintenance
39001.0,lorry_9,7,maintenance
41401.0,lorry_1,7,maintenance
42302.0,lorry_1,0,recover after maintenance
42602.0,lorry_3,0,recover after maintenance
44101.0,lorry_1,6,maintenance
45302.0,lorry_1,0,recover after maintenance
45602.0,lorry_0,0,recover after maintenance
49502.0,lorry_5,0,recover after maintenance
49502.0,lorry_6,2,recover after maintenance
52502.0,lorry_8,0,recover after maintenance
54901.0,lorry_6,9,maintenance
56401.0,lorry_0,9,maintenance
57302.0,lorry_2,0,recover after maintenance
59101.0,lorry_7,7,maintenance
61501.0,lorry_4,9,maintenance
62102.0,lorry_7,0,recover after maintenance
66302.0,lorry_4,2,recover after maintenance
67801.0,lorry_11,9,maintenance
68401.0,lorry_2,6,maintenance
68401.0,lorry_5,6,maintenance
70501.0,lorry_4,8,maintenance
72901.0,lorry_3,8,maintenance
75002.0,lorry_4,1,recover after maintenance
75302.0,lorry_10,0,recover after maintenance
76502.0,lorry_6,2,recover after maintenance
77102.0,lorry_11,2,recover after maintenance
77401.0,lorry_7,7,maintenance
78901.0,lorry_1,6,maintenance
79202.0,lorry_5,0,recover after maintenance
79502.0,lorry_9,0,recover after maintenance
81301.0,lorry_11,8,maintenance
81602.0,lorry_2,0,recover after maintenance
82502.0,lorry_7,0,recover after maintenance
82801.0,lorry_10,6,maintenance
83101.0,lorry_8,9,maintenance
84301.0,lorry_9,6,maintenance
84602.0,lorry_10,0,recover after maintenance
84902.0,lorry_0,2,recover after maintenance
87901.0,lorry_6,8,maintenance
88802.0,lorry_8,2,recover after maintenance
91501.0,lorry_10,6,maintenance
95102.0,lorry_1,0,recover after maintenance
96602.0,lorry_6,1,recover after maintenance
97501.0,lorry_0,9,maintenance
97801.0,lorry_2,9,maintenance
99002.0,lorry_9,0,recover after maintenance
100201.0,lorry_7,6,maintenance
102602.0,lorry_0,2,recover after maintenance
102602.0,lorry_11,1,recover after maintenance
104701.0,lorry_8,8,maintenance
105302.0,lorry_10,0,recover after maintenance
106801.0,lorry_0,8,maintenance
107701.0,lorry_6,9,maintenance
108302.0,lorry_0,1,recover after maintenance
109202.0,lorry_7,0,recover after maintenance
111602.0,lorry_3,1,recover after maintenance
112501.0,lorry_11,9,maintenance
114301.0,lorry_10,8,maintenance
115801.0,lorry_9,7,maintenance
116702.0,lorry_2,2,recover after maintenance
117002.0,lorry_11,2,recover after maintenance
120001.0,lorry_3,7,maintenance
120002.0,lorry_10,1,recover after maintenance
121201.0,lorry_2,8,maintenance
122401.0,lorry_5,6,maintenance
123002.0,lorry_6,2,recover after maintenance
124201.0,lorry_10,7,maintenance
124202.0,lorry_8,1,recover after maintenance
125102.0,lorry_2,1,recover after maintenance
125701.0,lorry_8,9,maintenance
127202.0,lorry_8,2,recover after maintenance
127502.0,lorry_3,0,recover after maintenance
128101.0,lorry_6,8,maintenance
134402.0,lorry_5,0,recover after maintenance
139202.0,lorry_10,0,recover after maintenance
141901.0,lorry_2,8,maintenance
143101.0,lorry_11,8,maintenance
148501.0,lorry_7,7,maintenance
148502.0,lorry_11,1,recover after maintenance
149401.0,lorry_4,9,maintenance
150002.0,lorry_7,0,recover after maintenance
152101.0,lorry_0,9,maintenance
153902.0,lorry_9,0,recover after maintenance
156602.0,lorry_6,1,recover after maintenance
159902.0,lorry_0,2,recover after maintenance
165902.0,lorry_4,2,recover after maintenance
166502.0,lorry_2,1,recover after maintenance
166801.0,lorry_4,9,maintenance
168302.0,lorry_4,2,recover after maintenance
169201.0,lorry_9,7,maintenance
169501.0,lorry_8,9,maintenance
170401.0,lorry_3,9,maintenance
172501.0,lorry_2,7,maintenance
174302.0,lorry_9,0,recover after maintenance
175801.0,lorry_10,7,maintenance
176401.0,lorry_7,7,maintenance
176402.0,lorry_8,2,recover after maintenance
177002.0,lorry_10,0,recover after maintenance
178801.0,lorry_5,6,maintenance
178802.0,lorry_2,0,recover after maintenance
180601.0,lorry_8,8,maintenance
185402.0,lorry_5,0,recover after maintenance
186301.0,lorry_5,6,maintenance
187202.0,lorry_8,1,recover after maintenance
187801.0,lorry_2,8,maintenance
187801.0,lorry_8,7,maintenance
188402.0,lorry_8,0,recover after maintenance
190502.0,lorry_7,0,recover after maintenance
193801.0,lorry_11,8,maintenance
195002.0,lorry_11,1,recover after maintenance
197401.0,lorry_8,6,maintenance
197401.0,lorry_9,9,maintenance
200401.0,lorry_6,7,maintenance
201001.0,lorry_1,8,maintenance
201002.0,lorry_3,2,recover after maintenance
204601.0,lorry_4,9,maintenance
205501.0,lorry_0,9,maintenance
209102.0,lorry_4,2,recover after maintenance
210001.0,lorry_7,7,maintenance
210601.0,lorry_11,9,maintenance
212702.0,lorry_5,0,recover after maintenance
