time,A,B,P12,P23,current_lorry
0.25,0.0,0.0,2.5,0.0,12
0.333,0.0,0.0,2.5,2.5,12
0.417,0.0,0.0,5.0,2.5,11
0.5,0.0,0.0,5.0,5.0,11
0.583,0.0,0.0,5.0,5.0,11
0.667,0.0,2.5,7.5,7.5,10
0.75,0.0,2.5,7.5,7.5,10
0.833,2.5,5.0,7.5,7.5,10
0.917,2.5,5.0,7.5,10.0,10
1.0,2.5,7.5,7.5,10.0,10
1.083,2.5,7.5,7.5,10.0,10
1.167,5.0,7.5,7.5,10.0,10
1.25,5.0,10.0,10.0,12.5,10
1.333,5.0,10.0,10.0,12.5,10
1.417,5.0,10.0,10.0,15.0,10
1.5,7.5,12.5,10.0,15.0,10
1.583,7.5,12.5,12.5,15.0,10
1.667,7.5,15.0,12.5,15.0,9
1.75,7.5,15.0,12.5,15.0,9
1.833,10.0,15.0,15.0,15.0,9
1.917,10.0,15.0,15.0,15.0,9
2.0,10.0,15.0,15.0,17.5,8
2.083,10.0,15.0,15.0,17.5,8
2.167,10.0,15.0,15.0,17.5,8
2.25,10.0,17.5,15.0,17.5,8
2.333,10.0,17.5,15.0,17.5,8
2.417,10.0,17.5,17.5,17.5,8
2.5,10.0,17.5,17.5,17.5,8
2.583,10.0,17.5,17.5,17.5,8
2.667,12.5,17.5,17.5,17.5,8
2.75,12.5,17.5,17.5,17.5,8
2.833,12.5,17.5,17.5,17.5,8
2.917,12.5,17.5,17.5,17.5,7
3.0,12.5,17.5,17.5,17.5,7
3.083,12.5,17.5,17.5,17.5,7
3.167,12.5,17.5,17.5,20.0,6
3.25,12.5,17.5,20.0,20.0,6
3.333,12.5,17.5,20.0,20.0,6
3.417,12.5,17.5,20.0,20.0,6
3.5,12.5,20.0,20.0,20.0,7
3.583,15.0,20.0,20.0,20.0,7
3.667,15.0,20.0,20.0,20.0,7
3.75,15.0,20.0,20.0,20.0,7
3.833,15.0,20.0,20.0,22.5,6
3.917,15.0,20.0,20.0,22.5,6
4.0,15.0,22.5,22.5,22.5,6
4.083,15.0,22.5,22.5,25.0,6
4.167,17.5,22.5,22.5,25.0,6
4.25,17.5,22.5,22.5,25.0,6
4.333,17.5,25.0,22.5,25.0,6
4.417,17.5,25.0,22.5,25.0,6
4.5,17.5,25.0,22.5,25.0,6
4.583,17.5,25.0,22.5,25.0,6
4.667,17.5,25.0,22.5,25.0,6
4.75,20.0,25.0,25.0,27.5,6
4.833,20.0,27.5,25.0,27.5,6
4.917,20.0,27.5,25.0,27.5,6
5.0,20.0,27.5,25.0,27.5,6
5.083,22.5,27.5,25.0,27.5,6
5.167,22.5,27.5,25.0,27.5,7
5.25,22.5,27.5,27.5,27.5,7
5.333,25.0,30.0,27.5,27.5,8
5.417,25.0,30.0,27.5,27.5,8
5.5,25.0,30.0,30.0,27.5,8
5.583,27.5,30.0,30.0,27.5,8
5.667,30.0,30.0,30.0,30.0,8
5.75,30.0,30.0,32.5,30.0,8
5.833,30.0,30.0,32.5,30.0,8
5.917,30.0,32.5,32.5,32.5,8
6.0,30.0,32.5,32.5,32.5,8
6.083,30.0,35.0,32.5,32.5,8
6.167,30.0,35.0,32.5,32.5,8
6.25,30.0,35.0,32.5,35.0,8
6.333,30.0,35.0,35.0,35.0,8
6.417,30.0,37.5,35.0,35.0,8
6.5,30.0,37.5,35.0,35.0,7
6.583,30.0,37.5,37.5,35.0,7
6.667,32.5,37.5,37.5,37.5,6
6.75,32.5,37.5,37.5,37.5,5
6.833,32.5,40.0,37.5,37.5,6
6.917,32.5,40.0,37.5,37.5,6
7.0,32.5,40.0,37.5,40.0,6
7.083,35.0,40.0,37.5,40.0,6
7.167,35.0,42.5,37.5,40.0,6
7.25,35.0,42.5,40.0,40.0,6
7.333,35.0,42.5,40.0,40.0,6
7.417,35.0,42.5,40.0,40.0,5
7.5,35.0,42.5,40.0,40.0,5
7.583,35.0,42.5,40.0,40.0,5
7.667,35.0,42.5,40.0,40.0,5
7.75,35.0,42.5,40.0,40.0,7
7.833,35.0,42.5,40.0,42.5,7
7.917,37.5,45.0,40.0,42.5,8
8.0,37.5,45.0,42.5,45.0,9
8.083,37.5,47.5,42.5,45.0,9
8.167,37.5,47.5,42.5,45.0,8
8.25,37.5,47.5,42.5,45.0,8
8.333,37.5,47.5,42.5,45.0,8
8.417,40.0,47.5,42.5,45.0,8
8.5,40.0,47.5,42.5,45.0,8
8.583,40.0,47.5,45.0,45.0,8
8.667,40.0,47.5,45.0,45.0,8
8.75,40.0,47.5,45.0,45.0,8
8.833,40.0,47.5,45.0,45.0,8
8.917,40.0,47.5,45.0,47.5,8
9.0,40.0,47.5,45.0,47.5,8
9.083,40.0,50.0,45.0,47.5,7
9.167,40.0,50.0,45.0,47.5,7
9.25,42.5,50.0,45.0,47.5,7
9.333,42.5,50.0,45.0,47.5,7
9.417,42.5,50.0,45.0,47.5,7
9.5,42.5,50.0,45.0,47.5,7
9.583,42.5,50.0,45.0,47.5,7
9.667,42.5,50.0,45.0,47.5,7
9.75,42.5,50.0,45.0,47.5,6
9.833,42.5,50.0,47.5,50.0,6
9.917,42.5,50.0,47.5,50.0,6
10.0,42.5,52.5,47.5,50.0,6
10.083,42.5,52.5,47.5,50.0,5
10.167,42.5,52.5,47.5,50.0,5
10.25,42.5,52.5,47.5,50.0,5
10.333,42.5,52.5,47.5,50.0,5
10.417,42.5,52.5,47.5,50.0,5
10.5,42.5,52.5,47.5,50.0,5
10.583,42.5,52.5,47.5,50.0,5
10.667,42.5,52.5,47.5,52.5,5
10.75,42.5,55.0,50.0,52.5,5
10.833,42.5,55.0,50.0,52.5,5
10.917,42.5,55.0,50.0,52.5,4
11.0,42.5,55.0,50.0,52.5,4
11.083,42.5,55.0,50.0,52.5,4
11.167,42.5,55.0,50.0,52.5,4
11.25,42.5,57.5,50.0,55.0,4
11.333,42.5,57.5,50.0,55.0,4
11.417,45.0,57.5,50.0,55.0,4
11.5,45.0,57.5,52.5,55.0,4
11.583,45.0,57.5,52.5,55.0,3
11.667,45.0,57.5,52.5,55.0,3
11.75,45.0,57.5,52.5,55.0,3
11.833,45.0,57.5,52.5,55.0,4
11.917,45.0,57.5,52.5,55.0,5
12.0,45.0,60.0,52.5,55.0,5
