step,reward,cumulate reward
1,1.0,9.5
2,4.0,13.5
3,2.5,16.0
4,1.5,17.5
5,3.0,20.5
6,2.0,22.5
7,2.0,24.5
8,3.0,27.5
9,3.0,30.5
10,2.0,32.5
11,3.0,35.5
12,2.0,37.5
13,2.5,40.0
14,3.5,43.5
15,1.5,45.0
16,3.0,48.0
17,4.0,52.0
18,1.0,53.0
19,2.0,55.0
20,2.0,57.0
21,2.0,59.0
22,1.5,60.5
23,0.5,61.0
24,1.5,62.5
25,0.0,62.5
26,0.5,63.0
27,1.5,64.5
28,0.5,65.0
29,0.0,65.0
30,0.5,65.5
31,1.5,67.0
32,0.0,67.0
33,1.0,68.0
34,0.5,68.5
35,0.5,69.0
36,1.0,70.0
37,1.0,71.0
38,0.5,71.5
39,1.0,72.5
40,0.0,72.5
41,1.5,74.0
42,2.0,76.0
43,1.5,77.5
44,1.5,79.0
45,2.0,81.0
46,1.5,82.5
47,2.0,84.5
48,1.0,85.5
49,2.0,87.5
50,1.0,88.5
51,2.0,90.5
52,0.5,91.0
53,1.5,92.5
54,2.0,94.5
55,2.5,97.0
56,1.5,98.5
57,0.5,99.0
58,1.5,100.5
59,1.5,102.0
60,2.0,104.0
61,2.0,106.0
62,0.5,106.5
63,3.5,110.0
64,2.0,112.0
65,2.0,114.0
66,2.0,116.0
67,2.5,118.5
68,2.0,120.5
69,2.5,123.0
70,2.5,125.5
71,1.0,126.5
72,1.5,128.0
73,2.0,130.0
74,2.5,132.5
75,1.0,133.5
76,2.0,135.5
77,2.5,138.0
78,2.0,140.0
79,1.5,141.5
80,0.0,141.5
81,2.5,144.0
82,1.5,145.5
83,1.5,147.0
84,1.5,148.5
85,1.5,150.0
86,1.0,151.0
87,1.5,152.5
88,1.0,153.5
89,1.5,155.0
90,0.0,155.0
91,0.0,155.0
92,2.0,157.0
93,1.0,158.0
94,3.0,161.0
95,2.0,163.0
96,1.5,164.5
97,1.5,166.0
98,2.0,168.0
99,0.0,168.0
100,0.5,168.5
101,1.5,170.0
102,0.5,170.5
103,0.5,171.0
104,0.5,171.5
105,1.5,173.0
106,1.0,174.0
107,0.5,174.5
108,0.5,175.0
109,1.0,176.0
110,1.0,177.0
111,0.5,177.5
112,1.0,178.5
