time,lorry id,MDP,state
1501.0,lorry_2,4,maintenance
7801.0,lorry_10,4,maintenance
10501.0,lorry_0,5,maintenance
10501.0,lorry_3,4,maintenance
13501.0,lorry_4,4,maintenance
14402.0,lorry_0,0,recover after maintenance
26101.0,lorry_0,5,maintenance
26102.0,lorry_4,0,recover after maintenance
27001.0,lorry_5,4,maintenance
28802.0,lorry_0,0,recover after maintenance
30001.0,lorry_7,5,maintenance
32702.0,lorry_10,0,recover after maintenance
32819.0,lorry_4,9,broken
33902.0,lorry_2,0,recover after maintenance
34501.0,lorry_0,4,maintenance
34501.0,lorry_11,4,maintenance
34502.0,lorry_7,0,recover after maintenance
35402.0,lorry_0,0,recover after maintenance
36601.0,lorry_2,4,maintenance
37201.0,lorry_7,5,maintenance
39301.0,lorry_10,4,maintenance
40073.0,lorry_9,8,broken
42902.0,lorry_5,0,recover after maintenance
43502.0,lorry_11,0,recover after maintenance
43801.0,lorry_5,4,maintenance
44702.0,lorry_10,0,recover after maintenance
46501.0,lorry_8,6,maintenance
47402.0,lorry_2,0,recover after maintenance
48602.0,lorry_8,1,recover after maintenance
50401.0,lorry_8,5,maintenance
50488.0,lorry_6,8,broken
53402.0,lorry_8,0,recover after maintenance
62101.0,lorry_2,4,maintenance
62102.0,lorry_2,0,recover after maintenance
63901.0,lorry_8,4,maintenance
67201.0,lorry_1,5,maintenance
69602.0,lorry_5,0,recover after maintenance
72901.0,lorry_5,4,maintenance
74702.0,lorry_3,0,recover after maintenance
77401.0,lorry_3,4,maintenance
78001.0,lorry_2,5,maintenance
78302.0,lorry_2,0,recover after maintenance
78902.0,lorry_1,0,recover after maintenance
83102.0,lorry_5,0,recover after maintenance
84001.0,lorry_1,5,maintenance
85201.0,lorry_2,4,maintenance
90302.0,lorry_7,0,recover after maintenance
90601.0,lorry_0,6,maintenance
95102.0,lorry_0,1,recover after maintenance
95102.0,lorry_2,0,recover after maintenance
97202.0,lorry_1,0,recover after maintenance
97802.0,lorry_3,0,recover after maintenance
101401.0,lorry_3,4,maintenance
103801.0,lorry_7,4,maintenance
105001.0,lorry_10,5,maintenance
107402.0,lorry_10,0,recover after maintenance
107701.0,lorry_5,5,maintenance
107702.0,lorry_8,0,recover after maintenance
108002.0,lorry_3,0,recover after maintenance
108901.0,lorry_1,4,maintenance
109020.0,lorry_4,0,recover after broken
112201.0,lorry_0,7,maintenance
114832.0,lorry_11,8,broken
114902.0,lorry_5,0,recover after maintenance
117301.0,lorry_5,4,maintenance
117302.0,lorry_5,0,recover after maintenance
121202.0,lorry_7,0,recover after maintenance
131874.0,lorry_9,0,recover after broken
134102.0,lorry_1,0,recover after maintenance
138902.0,lorry_0,2,recover after maintenance
141601.0,lorry_7,4,maintenance
142801.0,lorry_9,5,maintenance
143101.0,lorry_10,6,maintenance
146702.0,lorry_9,0,recover after maintenance
147601.0,lorry_4,5,maintenance
148801.0,lorry_9,4,maintenance
150902.0,lorry_10,1,recover after maintenance
153302.0,lorry_9,0,recover after maintenance
161701.0,lorry_2,5,maintenance
165301.0,lorry_10,5,maintenance
165902.0,lorry_2,0,recover after maintenance
166501.0,lorry_3,5,maintenance
166656.0,lorry_0,8,broken
168901.0,lorry_2,4,maintenance
170101.0,lorry_1,6,maintenance
174901.0,lorry_9,7,maintenance
175202.0,lorry_9,2,recover after maintenance
177002.0,lorry_2,0,recover after maintenance
184201.0,lorry_8,6,maintenance
184303.0,lorry_9,8,broken
189602.0,lorry_1,1,recover after maintenance
191102.0,lorry_4,0,recover after maintenance
191402.0,lorry_3,0,recover after maintenance
192901.0,lorry_4,4,maintenance
194102.0,lorry_7,0,recover after maintenance
194401.0,lorry_7,4,maintenance
194702.0,lorry_7,0,recover after maintenance
198902.0,lorry_4,0,recover after maintenance
200701.0,lorry_7,5,maintenance
202201.0,lorry_2,5,maintenance
205501.0,lorry_4,4,maintenance
208802.0,lorry_7,0,recover after maintenance
211029.0,lorry_5,8,broken
214502.0,lorry_8,1,recover after maintenance
218402.0,lorry_10,0,recover after maintenance
222089.0,lorry_6,0,recover after broken
222301.0,lorry_8,5,maintenance
224402.0,lorry_4,0,recover after maintenance
228602.0,lorry_8,0,recover after maintenance
230761.0,lorry_3,9,broken
233162.0,lorry_3,0,recover after broken
235133.0,lorry_11,0,recover after broken
236088.0,lorry_1,8,broken
245701.0,lorry_8,4,maintenance
247501.0,lorry_3,7,maintenance
249002.0,lorry_8,0,recover after maintenance
249301.0,lorry_6,5,maintenance
258002.0,lorry_2,0,recover after maintenance
258302.0,lorry_3,2,recover after maintenance
259201.0,lorry_3,6,maintenance
263702.0,lorry_3,1,recover after maintenance
263702.0,lorry_6,0,recover after maintenance
268501.0,lorry_2,4,maintenance
281401.0,lorry_3,5,maintenance
287701.0,lorry_10,6,maintenance
289502.0,lorry_3,0,recover after maintenance
290702.0,lorry_2,0,recover after maintenance
292201.0,lorry_6,6,maintenance
294301.0,lorry_11,7,maintenance
297001.0,lorry_2,5,maintenance
298502.0,lorry_2,0,recover after maintenance
304202.0,lorry_6,1,recover after maintenance
305401.0,lorry_4,6,maintenance
309302.0,lorry_4,1,recover after maintenance
311401.0,lorry_6,5,maintenance
314402.0,lorry_6,0,recover after maintenance
315301.0,lorry_2,5,maintenance
316501.0,lorry_3,6,maintenance
318002.0,lorry_2,0,recover after maintenance
319802.0,lorry_10,1,recover after maintenance
323701.0,lorry_10,5,maintenance
325501.0,lorry_7,7,maintenance
325502.0,lorry_3,1,recover after maintenance
335102.0,lorry_10,0,recover after maintenance
336902.0,lorry_11,2,recover after maintenance
344401.0,lorry_10,5,maintenance
345001.0,lorry_4,6,maintenance
345987.0,lorry_11,8,broken
347702.0,lorry_4,1,recover after maintenance
351301.0,lorry_4,5,maintenance
353101.0,lorry_8,7,maintenance
355502.0,lorry_4,0,recover after maintenance
358502.0,lorry_7,2,recover after maintenance
362701.0,lorry_7,7,maintenance
372762.0,lorry_2,8,broken
384302.0,lorry_7,2,recover after maintenance
385801.0,lorry_7,6,maintenance
386402.0,lorry_10,0,recover after maintenance
392701.0,lorry_6,8,broken
396902.0,lorry_8,2,recover after maintenance
408301.0,lorry_8,6,maintenance
409501.0,lorry_10,5,maintenance
416102.0,lorry_7,1,recover after maintenance
418201.0,lorry_3,7,maintenance
419402.0,lorry_10,0,recover after maintenance
419857.0,lorry_0,0,recover after broken
420001.0,lorry_4,6,maintenance
420430.0,lorry_5,0,recover after broken
423302.0,lorry_4,1,recover after maintenance
426301.0,lorry_0,4,maintenance
435302.0,lorry_8,1,recover after maintenance
437102.0,lorry_0,0,recover after maintenance
438301.0,lorry_4,6,maintenance
441601.0,lorry_8,6,maintenance
445501.0,lorry_5,4,maintenance
447301.0,lorry_7,7,maintenance
447602.0,lorry_4,1,recover after maintenance
452102.0,lorry_7,2,recover after maintenance
456001.0,lorry_0,7,maintenance
458401.0,lorry_10,6,maintenance
462001.0,lorry_7,6,maintenance
466202.0,lorry_0,2,recover after maintenance
468602.0,lorry_10,1,recover after maintenance
471001.0,lorry_10,5,maintenance
478202.0,lorry_5,0,recover after maintenance
482702.0,lorry_10,0,recover after maintenance
484802.0,lorry_7,1,recover after maintenance
490801.0,lorry_0,6,maintenance
491299.0,lorry_4,8,broken
494101.0,lorry_10,4,maintenance
495002.0,lorry_8,1,recover after maintenance
501902.0,lorry_0,1,recover after maintenance
504301.0,lorry_8,5,maintenance
506702.0,lorry_3,2,recover after maintenance
511201.0,lorry_7,5,maintenance
513302.0,lorry_8,0,recover after maintenance
513302.0,lorry_10,0,recover after maintenance
517201.0,lorry_3,6,maintenance
529888.0,lorry_11,0,recover after broken
533402.0,lorry_7,0,recover after maintenance
534301.0,lorry_8,5,maintenance
537901.0,lorry_5,8,broken
541201.0,lorry_10,5,maintenance
545101.0,lorry_7,5,maintenance
547201.0,lorry_0,5,maintenance
548702.0,lorry_10,0,recover after maintenance
550801.0,lorry_11,5,maintenance
557102.0,lorry_3,1,recover after maintenance
559802.0,lorry_0,0,recover after maintenance
563702.0,lorry_8,0,recover after maintenance
572102.0,lorry_11,0,recover after maintenance
580700.0,lorry_4,0,recover after broken
582601.0,lorry_0,5,maintenance
584701.0,lorry_3,6,maintenance
586502.0,lorry_0,0,recover after maintenance
586502.0,lorry_3,1,recover after maintenance
592201.0,lorry_10,4,maintenance
597302.0,lorry_7,0,recover after maintenance
