time,A,B,P12,P23,current_lorry
0.25,0.0,0.0,2.5,0.0,8
0.333,0.0,0.0,2.5,2.5,8
0.417,0.0,0.0,2.5,2.5,8
0.5,0.0,0.0,5.0,2.5,8
0.583,0.0,0.0,5.0,2.5,8
0.667,0.0,0.0,5.0,2.5,9
0.75,0.0,0.0,5.0,2.5,8
0.833,0.0,0.0,5.0,2.5,8
0.917,0.0,0.0,5.0,2.5,8
1.0,0.0,0.0,5.0,2.5,8
1.083,0.0,2.5,5.0,2.5,8
1.167,0.0,2.5,7.5,2.5,8
1.25,0.0,2.5,7.5,2.5,8
1.333,0.0,2.5,7.5,5.0,8
1.417,0.0,2.5,7.5,5.0,8
1.5,0.0,2.5,7.5,5.0,8
1.583,0.0,2.5,7.5,5.0,8
1.667,0.0,2.5,7.5,5.0,8
1.75,0.0,2.5,10.0,5.0,8
1.833,2.5,2.5,10.0,5.0,8
1.917,2.5,2.5,10.0,5.0,8
2.0,2.5,2.5,10.0,5.0,8
2.083,2.5,5.0,10.0,5.0,8
2.167,2.5,5.0,10.0,5.0,8
2.25,2.5,5.0,10.0,5.0,8
2.333,2.5,5.0,12.5,7.5,8
2.417,2.5,5.0,12.5,7.5,8
2.5,2.5,5.0,12.5,7.5,8
2.583,2.5,5.0,12.5,7.5,8
2.667,2.5,5.0,12.5,7.5,8
2.75,2.5,7.5,12.5,7.5,8
2.833,2.5,7.5,12.5,7.5,8
2.917,2.5,7.5,12.5,7.5,8
3.0,2.5,7.5,12.5,7.5,8
3.083,2.5,7.5,15.0,7.5,8
3.167,2.5,7.5,15.0,7.5,8
3.25,2.5,7.5,15.0,7.5,8
3.333,2.5,7.5,15.0,10.0,8
3.417,2.5,7.5,17.5,10.0,8
3.5,2.5,7.5,17.5,10.0,6
3.583,2.5,7.5,17.5,10.0,6
3.667,2.5,7.5,17.5,10.0,6
3.75,2.5,7.5,17.5,10.0,6
3.833,2.5,7.5,17.5,10.0,6
3.917,2.5,7.5,17.5,10.0,7
4.0,2.5,7.5,17.5,12.5,7
4.083,2.5,10.0,17.5,12.5,7
4.167,2.5,10.0,20.0,12.5,8
4.25,2.5,10.0,20.0,12.5,7
4.333,2.5,10.0,20.0,15.0,7
4.417,2.5,12.5,20.0,15.0,7
4.5,2.5,12.5,20.0,15.0,7
4.583,2.5,12.5,20.0,15.0,7
4.667,2.5,12.5,20.0,15.0,7
4.75,2.5,12.5,20.0,17.5,7
4.833,2.5,15.0,22.5,17.5,7
4.917,2.5,15.0,22.5,17.5,7
5.0,2.5,15.0,22.5,17.5,7
5.083,2.5,17.5,22.5,20.0,8
5.167,2.5,17.5,22.5,20.0,8
5.25,2.5,17.5,22.5,20.0,8
5.333,2.5,17.5,22.5,20.0,3
5.417,2.5,17.5,25.0,20.0,2
5.5,2.5,17.5,25.0,20.0,2
5.583,2.5,17.5,25.0,22.5,2
5.667,2.5,20.0,25.0,22.5,2
5.75,2.5,20.0,25.0,22.5,2
5.833,2.5,20.0,25.0,22.5,2
5.917,2.5,20.0,25.0,22.5,2
6.0,2.5,20.0,25.0,22.5,2
6.083,2.5,20.0,25.0,22.5,2
6.167,2.5,20.0,25.0,22.5,2
6.25,2.5,20.0,25.0,22.5,2
6.333,2.5,20.0,25.0,22.5,2
6.417,2.5,20.0,25.0,22.5,2
6.5,2.5,20.0,25.0,22.5,2
6.583,2.5,22.5,25.0,25.0,3
6.667,2.5,22.5,25.0,25.0,3
6.75,2.5,22.5,25.0,25.0,3
6.833,2.5,22.5,25.0,25.0,3
6.917,2.5,22.5,25.0,25.0,3
7.0,2.5,22.5,25.0,25.0,3
7.083,2.5,22.5,25.0,25.0,3
7.167,2.5,22.5,25.0,25.0,3
7.25,2.5,25.0,25.0,25.0,3
7.333,2.5,25.0,25.0,25.0,3
7.417,2.5,25.0,25.0,25.0,3
7.5,2.5,25.0,25.0,27.5,3
7.583,2.5,25.0,25.0,27.5,3
7.667,5.0,25.0,27.5,27.5,3
7.75,5.0,25.0,27.5,27.5,4
7.833,5.0,25.0,27.5,27.5,4
7.917,5.0,25.0,27.5,27.5,5
8.0,5.0,27.5,27.5,27.5,5
8.083,5.0,27.5,27.5,27.5,5
8.167,5.0,27.5,27.5,30.0,5
8.25,5.0,30.0,27.5,30.0,5
8.333,5.0,30.0,27.5,30.0,5
8.417,5.0,30.0,27.5,30.0,5
8.5,5.0,30.0,27.5,32.5,6
8.583,7.5,32.5,27.5,32.5,6
8.667,7.5,32.5,30.0,32.5,6
8.75,7.5,32.5,30.0,32.5,6
8.833,10.0,32.5,30.0,32.5,6
8.917,10.0,35.0,30.0,32.5,6
9.0,10.0,35.0,30.0,32.5,6
9.083,10.0,35.0,30.0,32.5,6
9.167,10.0,35.0,30.0,32.5,6
9.25,10.0,35.0,30.0,35.0,6
9.333,10.0,35.0,32.5,35.0,6
9.417,10.0,35.0,32.5,35.0,6
9.5,10.0,37.5,32.5,35.0,6
9.583,12.5,37.5,32.5,35.0,6
9.667,12.5,37.5,32.5,37.5,6
9.75,12.5,37.5,35.0,37.5,6
9.833,12.5,40.0,35.0,37.5,6
9.917,12.5,40.0,35.0,37.5,6
10.0,12.5,40.0,35.0,40.0,6
10.083,12.5,40.0,35.0,40.0,6
10.167,12.5,40.0,35.0,40.0,6
10.25,12.5,40.0,37.5,40.0,6
10.333,12.5,40.0,37.5,42.5,6
10.417,12.5,42.5,37.5,42.5,6
10.5,12.5,42.5,37.5,42.5,6
10.583,12.5,42.5,37.5,42.5,5
10.667,12.5,45.0,37.5,42.5,5
10.75,12.5,45.0,37.5,45.0,5
10.833,12.5,45.0,37.5,45.0,5
10.917,12.5,45.0,40.0,45.0,5
11.0,12.5,45.0,40.0,45.0,5
11.083,12.5,47.5,40.0,47.5,5
11.167,12.5,47.5,40.0,47.5,5
11.25,12.5,47.5,40.0,47.5,5
11.333,12.5,47.5,40.0,47.5,5
11.417,12.5,50.0,40.0,50.0,5
11.5,15.0,50.0,40.0,50.0,5
11.583,15.0,50.0,40.0,50.0,5
11.667,15.0,50.0,40.0,50.0,5
11.75,15.0,52.5,40.0,50.0,5
11.833,15.0,52.5,40.0,50.0,5
11.917,17.5,52.5,40.0,50.0,5
12.0,17.5,52.5,40.0,52.5,6
12.083,17.5,52.5,40.0,52.5,5
12.167,17.5,52.5,42.5,52.5,5
12.25,17.5,52.5,42.5,52.5,5
12.333,17.5,55.0,42.5,52.5,5
12.417,17.5,55.0,42.5,52.5,5
12.5,17.5,55.0,42.5,52.5,5
12.583,17.5,55.0,42.5,52.5,5
12.667,20.0,55.0,42.5,52.5,5
12.75,20.0,55.0,45.0,52.5,5
12.833,20.0,55.0,45.0,52.5,5
12.917,22.5,55.0,45.0,55.0,5
13.0,22.5,55.0,45.0,55.0,5
13.083,22.5,55.0,45.0,55.0,5
13.167,22.5,57.5,45.0,55.0,5
13.25,22.5,57.5,45.0,55.0,5
13.333,22.5,57.5,45.0,55.0,5
13.417,22.5,57.5,45.0,55.0,5
13.5,22.5,57.5,45.0,55.0,5
13.583,25.0,57.5,45.0,55.0,5
13.667,25.0,57.5,47.5,55.0,5
13.75,25.0,57.5,47.5,55.0,5
13.833,27.5,57.5,47.5,57.5,5
13.917,27.5,57.5,47.5,57.5,5
14.0,27.5,57.5,47.5,57.5,5
14.083,27.5,57.5,50.0,57.5,6
14.167,27.5,60.0,50.0,57.5,6
14.25,30.0,62.5,50.0,57.5,7
14.333,30.0,62.5,50.0,57.5,6
14.417,30.0,62.5,50.0,57.5,7
14.5,30.0,62.5,50.0,57.5,6
14.583,30.0,62.5,50.0,57.5,6
14.667,30.0,62.5,50.0,60.0,6
14.75,30.0,62.5,52.5,60.0,6
14.833,30.0,62.5,52.5,60.0,6
14.917,30.0,65.0,52.5,62.5,6
15.0,30.0,65.0,52.5,62.5,6
15.083,30.0,65.0,52.5,62.5,6
15.167,30.0,65.0,55.0,62.5,6
15.25,30.0,67.5,55.0,65.0,6
15.333,30.0,67.5,55.0,65.0,6
15.417,30.0,67.5,55.0,65.0,6
15.5,30.0,67.5,55.0,67.5,6
15.583,30.0,70.0,55.0,67.5,6
15.667,30.0,70.0,55.0,67.5,6
15.75,30.0,70.0,55.0,67.5,6
15.833,30.0,70.0,57.5,70.0,6
15.917,30.0,72.5,57.5,70.0,6
16.0,30.0,72.5,57.5,70.0,6
16.083,30.0,75.0,57.5,70.0,6
16.167,30.0,75.0,57.5,72.5,6
16.25,30.0,75.0,57.5,72.5,6
16.333,30.0,75.0,60.0,72.5,6
16.417,30.0,77.5,60.0,72.5,5
16.5,30.0,77.5,60.0,75.0,3
16.583,30.0,77.5,60.0,75.0,3
16.667,30.0,77.5,60.0,75.0,3
16.75,30.0,77.5,60.0,75.0,3
16.833,30.0,77.5,60.0,77.5,3
16.917,30.0,80.0,60.0,77.5,4
17.0,30.0,80.0,60.0,77.5,3
17.083,30.0,80.0,60.0,77.5,4
17.167,30.0,80.0,60.0,77.5,4
17.25,30.0,80.0,60.0,77.5,5
17.333,30.0,80.0,60.0,80.0,5
17.417,30.0,82.5,60.0,80.0,5
17.5,30.0,82.5,62.5,80.0,5
17.583,30.0,82.5,62.5,80.0,5
17.667,30.0,85.0,62.5,80.0,5
17.75,30.0,85.0,62.5,80.0,5
17.833,32.5,85.0,62.5,80.0,5
17.917,32.5,85.0,62.5,80.0,5
18.0,32.5,85.0,65.0,80.0,5
18.083,35.0,85.0,65.0,80.0,5
18.167,35.0,85.0,65.0,80.0,5
18.25,35.0,85.0,65.0,80.0,5
18.333,35.0,85.0,65.0,80.0,5
18.417,37.5,85.0,65.0,80.0,5
18.5,37.5,85.0,67.5,82.5,6
18.583,37.5,85.0,67.5,82.5,5
18.667,37.5,87.5,67.5,85.0,5
18.75,37.5,87.5,67.5,85.0,5
18.833,37.5,87.5,67.5,85.0,5
18.917,37.5,87.5,67.5,85.0,5
19.0,37.5,90.0,67.5,85.0,5
19.083,37.5,90.0,67.5,85.0,2
19.167,37.5,90.0,67.5,85.0,2
19.25,37.5,90.0,67.5,87.5,3
19.333,37.5,90.0,67.5,87.5,3
19.417,37.5,90.0,67.5,87.5,4
19.5,37.5,92.5,67.5,87.5,3
19.583,37.5,92.5,67.5,87.5,3
19.667,37.5,92.5,67.5,87.5,3
19.75,40.0,92.5,67.5,87.5,3
19.833,40.0,92.5,67.5,87.5,3
19.917,40.0,92.5,67.5,87.5,4
20.0,40.0,92.5,67.5,87.5,4
20.083,42.5,92.5,67.5,90.0,4
20.167,42.5,95.0,67.5,90.0,4
20.25,42.5,95.0,67.5,90.0,4
20.333,42.5,95.0,67.5,90.0,4
20.417,42.5,95.0,67.5,90.0,5
20.5,42.5,97.5,67.5,90.0,5
20.583,42.5,97.5,67.5,90.0,4
20.667,45.0,97.5,67.5,90.0,4
