step,reward,cumulate reward
0.25,0.5,0.5
0.333,2.5,3.0
0.417,1.5,4.5
0.5,2.0,6.5
0.583,1.0,7.5
0.667,0.5,8.0
0.75,1.0,9.0
0.833,0.5,9.5
0.917,0.0,9.5
1.0,0.5,10.0
1.083,0.5,10.5
1.167,0.5,11.0
1.25,1.5,12.5
1.333,1.5,14.0
1.417,1.5,15.5
1.5,1.0,16.5
1.583,1.0,17.5
1.667,0.0,17.5
1.75,1.0,18.5
1.833,1.0,19.5
1.917,0.0,19.5
2.0,0.5,20.0
2.083,0.5,20.5
2.167,1.0,21.5
2.25,0.5,22.0
2.333,2.0,24.0
2.417,0.0,24.0
2.5,1.0,25.0
2.583,1.0,26.0
2.667,0.5,26.5
2.75,1.0,27.5
2.833,1.0,28.5
2.917,1.0,29.5
3.0,0.5,30.0
3.083,1.0,31.0
3.167,1.5,32.5
3.25,1.0,33.5
3.333,1.0,34.5
3.417,0.5,35.0
3.5,0.0,35.0
3.583,0.5,35.5
3.667,1.0,36.5
3.75,0.5,37.0
3.833,0.5,37.5
3.917,0.5,38.0
4.0,1.5,39.5
4.083,1.0,40.5
4.167,1.5,42.0
4.25,1.5,43.5
4.333,1.0,44.5
4.417,2.0,46.5
4.5,1.5,48.0
4.583,0.5,48.5
4.667,1.0,49.5
4.75,1.5,51.0
4.833,2.0,53.0
4.917,0.5,53.5
5.0,1.5,55.0
5.083,2.0,57.0
5.167,2.5,59.5
5.25,1.5,61.0
5.333,1.0,62.0
5.417,0.5,62.5
5.5,0.0,62.5
5.583,0.5,63.0
5.667,0.5,63.5
5.75,0.0,63.5
5.833,1.0,64.5
5.917,0.0,64.5
6.0,0.5,65.0
6.083,0.5,65.5
6.167,0.0,65.5
6.25,0.5,66.0
6.333,1.0,67.0
6.417,0.0,67.0
6.5,0.5,67.5
6.583,1.0,68.5
6.667,0.5,69.0
6.75,1.0,70.0
6.833,0.5,70.5
6.917,0.5,71.0
7.0,0.5,71.5
7.083,0.5,72.0
7.167,1.0,73.0
7.25,0.0,73.0
7.333,1.0,74.0
7.417,0.0,74.0
7.5,1.5,75.5
7.583,0.0,75.5
7.667,1.5,77.0
7.75,0.0,77.0
7.833,0.5,77.5
7.917,1.0,78.5
8.0,1.5,80.0
8.083,1.5,81.5
8.167,1.5,83.0
8.25,1.5,84.5
8.333,1.0,85.5
8.417,1.5,87.0
8.5,2.0,89.0
8.583,1.5,90.5
8.667,1.0,91.5
8.75,2.0,93.5
8.833,1.0,94.5
8.917,1.0,95.5
9.0,2.0,97.5
9.083,0.0,97.5
9.167,2.0,99.5
9.25,2.5,102.0
9.333,2.0,104.0
9.417,0.5,104.5
9.5,1.5,106.0
9.583,1.5,107.5
9.667,2.0,109.5
9.75,2.5,112.0
9.833,0.5,112.5
9.917,1.0,113.5
10.0,2.0,115.5
10.083,1.5,117.0
10.167,1.0,118.0
10.25,3.0,121.0
10.333,0.5,121.5
10.417,1.0,122.5
10.5,1.5,124.0
10.583,2.0,126.0
10.667,0.5,126.5
10.75,1.5,128.0
10.833,1.5,129.5
10.917,1.5,131.0
11.0,1.5,132.5
11.083,1.5,134.0
11.167,0.5,134.5
11.25,2.0,136.5
11.333,1.0,137.5
11.417,1.5,139.0
11.5,1.5,140.5
11.583,1.0,141.5
11.667,1.0,142.5
11.75,1.5,144.0
11.833,1.5,145.5
11.917,0.5,146.0
12.0,1.5,147.5
12.083,2.0,149.5
12.167,1.5,151.0
12.25,0.5,151.5
12.333,1.0,152.5
12.417,0.5,153.0
12.5,1.5,154.5
12.583,1.5,156.0
12.667,0.5,156.5
12.75,2.0,158.5
12.833,0.5,159.0
12.917,1.5,160.5
13.0,1.5,162.0
13.083,1.0,163.0
13.167,1.5,164.5
13.25,0.5,165.0
13.333,0.0,165.0
13.417,0.5,165.5
13.5,1.5,167.0
13.583,1.5,168.5
13.667,2.0,170.5
13.75,0.0,170.5
13.833,2.0,172.5
13.917,0.5,173.0
14.0,1.5,174.5
14.083,1.5,176.0
14.167,0.5,176.5
14.25,1.5,178.0
14.333,1.5,179.5
14.417,1.5,181.0
14.5,2.0,183.0
14.583,0.5,183.5
14.667,2.5,186.0
14.75,2.0,188.0
14.833,1.0,189.0
14.917,1.0,190.0
15.0,2.5,192.5
15.083,1.5,194.0
15.167,2.0,196.0
15.25,0.5,196.5
15.333,2.0,198.5
15.417,2.0,200.5
15.5,2.0,202.5
15.583,1.0,203.5
15.667,0.5,204.0
15.75,2.0,206.0
15.833,2.5,208.5
15.917,1.5,210.0
16.0,0.5,210.5
16.083,1.5,212.0
16.167,1.5,213.5
16.25,2.5,216.0
16.333,2.5,218.5
16.417,0.0,218.5
16.5,1.0,219.5
16.583,0.5,220.0
16.667,1.5,221.5
16.75,1.0,222.5
16.833,0.5,223.0
16.917,0.5,223.5
17.0,1.5,225.0
17.083,1.0,226.0
17.167,0.5,226.5
17.25,1.0,227.5
17.333,2.5,230.0
17.417,0.5,230.5
17.5,1.5,232.0
17.583,1.5,233.5
17.667,1.0,234.5
17.75,1.0,235.5
17.833,1.5,237.0
17.917,2.0,239.0
18.0,1.0,240.0
18.083,1.5,241.5
18.167,0.5,242.0
18.25,1.5,243.5
18.333,2.0,245.5
18.417,0.5,246.0
18.5,2.5,248.5
18.583,1.5,250.0
18.667,1.5,251.5
18.75,0.5,252.0
18.833,1.5,253.5
18.917,2.5,256.0
19.0,0.5,256.5
19.083,0.5,257.0
19.167,0.0,257.0
19.25,1.0,258.0
