time,lorry id,MDP,state
1201.0,lorry_0,6,maintenance
1201.0,lorry_3,6,maintenance
1201.0,lorry_5,6,maintenance
1201.0,lorry_6,6,maintenance
1801.0,lorry_1,6,maintenance
1801.0,lorry_2,6,maintenance
1801.0,lorry_4,6,maintenance
1801.0,lorry_7,6,maintenance
1801.0,lorry_9,6,maintenance
2401.0,lorry_7,0,recover after maintenance
3001.0,lorry_6,0,recover after maintenance
3601.0,lorry_7,6,maintenance
4201.0,lorry_5,0,recover after maintenance
4201.0,lorry_6,6,maintenance
4201.0,lorry_8,6,maintenance
5401.0,lorry_2,0,recover after maintenance
6001.0,lorry_2,6,maintenance
6001.0,lorry_8,0,recover after maintenance
6601.0,lorry_6,0,recover after maintenance
6601.0,lorry_8,6,maintenance
7201.0,lorry_5,6,maintenance
7201.0,lorry_6,6,maintenance
7801.0,lorry_7,0,recover after maintenance
8401.0,lorry_4,0,recover after maintenance
8401.0,lorry_7,6,maintenance
9001.0,lorry_4,6,maintenance
10801.0,lorry_2,0,recover after maintenance
10801.0,lorry_5,0,recover after maintenance
11401.0,lorry_2,6,maintenance
12001.0,lorry_5,6,maintenance
15001.0,lorry_7,0,recover after maintenance
15001.0,lorry_8,0,recover after maintenance
15601.0,lorry_7,6,maintenance
16801.0,lorry_0,0,recover after maintenance
16801.0,lorry_8,6,maintenance
18001.0,lorry_0,6,maintenance
18001.0,lorry_2,0,recover after maintenance
18001.0,lorry_7,0,recover after maintenance
18601.0,lorry_2,6,maintenance
18601.0,lorry_6,0,recover after maintenance
19201.0,lorry_7,6,maintenance
20401.0,lorry_6,6,maintenance
21001.0,lorry_3,0,recover after maintenance
21001.0,lorry_8,0,recover after maintenance
21601.0,lorry_8,6,maintenance
23401.0,lorry_3,6,maintenance
24601.0,lorry_9,0,recover after maintenance
25201.0,lorry_4,0,recover after maintenance
26401.0,lorry_4,6,maintenance
26401.0,lorry_9,6,maintenance
28801.0,lorry_4,0,recover after maintenance
