time,A,B,P12,P23,current_lorry
0.5,3.25,1.5,5.25,4.25,8
0.667,3.75,2.0,5.25,4.75,7
0.833,4.25,2.5,6.0,4.75,4
1.0,4.75,2.5,6.5,4.75,3
1.167,4.75,2.5,7.0,5.25,2
1.333,6.0,2.5,7.0,5.25,3
1.5,6.0,3.75,7.0,6.0,3
1.667,6.0,3.75,7.5,6.5,3
1.833,6.0,3.75,7.5,6.5,2
2.0,6.0,3.75,7.5,6.5,2
2.167,6.0,4.25,7.5,6.5,2
2.333,6.0,4.75,7.5,7.0,2
2.5,6.0,4.75,7.5,7.0,2
2.667,6.0,5.25,7.5,7.5,2
2.833,6.0,5.25,7.5,8.75,3
3.0,6.0,6.0,7.5,8.75,2
3.167,7.0,6.0,7.5,8.75,4
3.333,7.0,7.0,7.5,9.25,3
3.5,7.0,7.5,8.0,9.25,3
3.667,7.0,8.0,8.0,9.75,4
3.833,7.0,8.0,8.0,9.75,3
4.0,7.0,9.25,8.0,9.75,3
4.167,7.0,9.25,8.0,10.25,3
4.333,7.5,9.25,8.75,10.75,4
4.5,8.0,9.25,8.75,10.75,3
4.667,8.0,9.75,9.25,10.75,4
4.833,8.0,10.25,9.25,11.5,3
5.0,8.0,10.25,9.75,11.5,3
5.167,8.0,10.25,10.25,11.5,5
5.333,8.0,10.25,10.25,11.5,2
5.5,8.0,10.75,10.25,12.0,2
5.667,8.0,10.75,10.25,12.0,2
5.833,8.0,10.75,10.25,12.0,3
6.0,8.0,11.5,10.25,12.75,3
6.167,8.0,11.5,10.25,12.75,2
6.333,8.0,12.0,10.25,12.75,2
6.5,8.0,12.0,10.25,12.75,3
6.667,8.75,12.0,10.75,13.5,5
6.833,8.75,12.0,10.75,14.0,3
7.0,8.75,12.5,10.75,14.0,2
7.167,8.75,12.75,10.75,14.0,2
7.333,8.75,13.5,10.75,14.0,4
7.5,8.75,14.25,10.75,14.0,3
7.667,8.75,14.25,10.75,14.0,2
7.833,9.25,14.25,10.75,14.0,2
8.0,9.75,14.75,10.75,14.0,3
8.167,9.75,15.25,10.75,14.5,2
8.333,9.75,15.25,10.75,14.5,3
8.5,9.75,15.25,10.75,15.0,2
8.667,10.25,16.25,10.75,15.5,3
8.833,10.75,16.25,10.75,15.5,3
9.0,10.75,17.0,10.75,16.25,3
9.167,10.75,17.5,10.75,17.25,2
9.333,10.75,18.0,10.75,17.25,2
9.5,10.75,18.0,10.75,17.25,2
9.667,10.75,18.0,10.75,17.75,5
9.833,10.75,19.0,10.75,18.25,4
10.0,11.5,19.75,10.75,18.25,3
10.167,11.5,19.75,10.75,18.5,3
10.333,11.5,20.25,10.75,19.0,2
10.5,11.5,20.25,12.0,19.0,5
10.667,11.5,20.75,12.5,19.75,4
10.833,13.0,21.25,12.5,19.75,4
11.0,13.0,21.25,13.5,19.75,4
11.167,13.0,21.25,14.25,21.75,5
11.333,13.0,23.5,14.25,23.0,4
11.5,13.0,24.5,14.25,24.0,4
11.667,13.0,24.5,14.25,24.0,2
11.833,13.0,25.75,14.25,25.25,2
12.0,13.0,25.75,14.25,25.25,2
12.167,13.0,26.75,14.25,26.25,2
12.333,13.0,26.75,14.25,26.75,2
12.5,13.0,28.0,14.25,27.25,2
12.667,14.25,28.0,14.25,27.25,2
12.833,14.25,29.5,14.25,28.0,3
13.0,14.25,29.75,14.25,29.0,2
13.167,14.25,30.75,14.25,29.0,2
13.333,14.25,31.25,14.25,29.5,3
13.5,14.75,31.25,14.25,29.5,2
13.667,15.25,31.75,14.25,30.0,3
13.833,15.25,32.25,15.25,30.0,3
14.0,15.75,32.75,15.25,30.75,2
14.167,15.75,32.75,15.25,31.25,2
14.333,15.75,33.5,15.25,31.75,2
14.5,15.75,34.5,15.25,32.25,3
14.667,16.25,35.0,15.75,32.75,3
14.833,17.0,35.0,15.75,32.75,2
15.0,17.5,35.0,16.25,32.75,2
15.167,18.0,35.0,17.0,32.75,2
15.333,18.5,35.0,17.5,32.75,2
15.5,19.0,35.0,18.0,32.75,2
15.667,19.0,35.0,18.5,32.75,2
15.833,19.0,35.5,18.5,34.0,2
16.0,19.0,36.75,18.5,34.5,5
16.167,19.0,37.25,19.0,35.0,3
16.333,19.0,38.25,19.0,36.25,3
16.5,19.0,38.25,19.0,36.25,2
16.667,19.0,39.0,19.0,37.75,3
16.833,19.0,39.5,19.0,37.75,4
17.0,19.75,40.0,19.0,38.25,3
17.167,20.25,40.0,19.0,39.0,4
17.333,20.25,40.5,20.25,40.0,4
17.5,20.75,40.5,20.25,41.0,5
17.667,20.75,40.5,20.25,41.0,3
17.833,21.25,41.0,20.25,41.0,2
18.0,21.25,41.0,20.25,41.0,2
18.167,21.75,42.25,20.75,41.0,4
18.333,21.75,42.25,21.25,41.75,2
18.5,21.75,42.25,21.25,42.25,2
18.667,21.75,42.75,21.25,42.25,3
18.833,21.75,42.75,21.75,42.75,4
19.0,21.75,43.75,21.75,42.75,3
19.167,21.75,43.75,21.75,43.25,2
19.333,21.75,43.75,22.0,43.75,2
19.5,21.75,43.75,22.0,43.75,1
19.667,21.75,44.5,22.0,43.75,2
19.833,21.75,45.5,22.5,45.5,5
20.0,22.5,45.5,22.5,45.5,4
20.167,22.5,45.5,22.5,45.5,2
20.333,22.5,46.5,22.5,45.5,3
20.5,23.0,46.5,22.5,45.5,2
20.667,23.5,46.5,22.5,45.5,2
20.833,23.5,46.5,22.5,45.5,1
21.0,23.5,46.5,22.5,45.5,1
21.167,23.5,46.5,22.5,45.5,1
21.333,23.5,46.5,22.5,45.5,1
21.5,23.5,47.25,22.5,45.5,2
21.667,23.5,47.25,22.5,46.0,1
21.833,24.0,47.25,22.5,46.0,2
22.0,24.0,47.75,22.5,46.0,1
22.167,24.0,47.75,22.5,46.5,2
22.333,24.5,47.75,23.0,47.25,3
22.5,24.5,48.25,23.0,47.25,1
22.667,24.5,48.25,23.0,47.75,1
22.833,24.5,48.25,23.0,47.75,1
23.0,24.5,48.25,23.0,47.75,0
23.167,24.5,48.25,23.0,47.75,0
23.333,24.5,48.75,23.0,48.25,2
23.5,24.5,48.75,23.0,48.25,0
23.667,24.5,48.75,23.0,48.25,0
23.833,24.5,48.75,23.0,48.25,0
24.0,24.5,48.75,23.0,48.25,0
24.167,24.5,48.75,23.0,48.25,0
24.333,24.5,48.75,23.0,48.25,0
24.5,24.5,48.75,23.0,48.25,0
24.667,24.5,48.75,23.0,48.25,0
24.833,24.5,48.75,23.0,48.25,0
25.0,24.5,49.25,23.0,48.25,1
25.167,24.5,49.25,23.0,48.75,1
25.333,24.5,49.25,23.0,48.75,0
25.5,24.5,49.25,23.0,48.75,0
25.667,24.5,49.25,23.0,48.75,0
25.833,24.5,49.25,23.0,48.75,0
26.0,24.5,49.25,23.0,48.75,0
26.167,24.5,49.25,23.0,48.75,0
26.333,24.5,49.25,23.0,48.75,0
26.5,24.5,49.25,23.0,48.75,0
26.667,24.5,50.0,23.0,49.25,2
26.833,24.5,50.0,23.0,49.25,1
27.0,24.5,50.0,23.0,50.0,1
27.167,24.5,50.0,23.0,50.0,1
27.333,24.5,50.0,23.5,50.5,1
27.5,24.5,50.0,23.5,50.5,1
27.667,24.5,50.0,23.5,50.5,0
27.833,24.5,50.0,23.5,50.5,0
28.0,24.5,50.0,23.5,51.0,1
28.167,24.5,50.0,23.5,51.0,1
28.333,24.5,50.5,23.5,51.0,1
28.5,24.5,50.5,23.5,51.0,0
28.667,24.5,50.5,24.0,51.0,1
28.833,24.5,51.0,24.0,51.5,2
29.0,24.5,51.5,24.0,51.5,1
29.167,24.5,52.0,24.0,51.5,2
29.333,24.5,52.0,24.0,52.0,2
29.5,24.5,52.0,24.0,52.75,2
29.667,24.5,52.0,24.0,52.75,2
29.833,24.5,52.75,24.0,52.75,1
30.0,24.5,52.75,24.0,52.75,0
30.167,24.5,52.75,24.0,52.75,0
30.333,24.5,52.75,24.0,52.75,0
30.5,24.5,52.75,24.0,52.75,0
30.667,24.5,52.75,24.0,52.75,1
30.833,24.5,52.75,24.0,52.75,2
31.0,24.5,53.25,24.0,52.75,1
31.167,24.5,53.25,24.0,52.75,0
31.333,24.5,53.25,24.0,52.75,0
31.5,24.5,53.25,24.0,52.75,0
31.667,24.5,53.25,24.0,52.75,0
31.833,24.5,53.75,24.0,52.75,1
32.0,24.5,53.75,24.0,52.75,1
32.167,24.5,54.25,24.0,53.0,2
32.333,24.5,54.25,24.0,53.75,2
32.5,24.5,54.25,24.0,54.25,3
32.667,24.5,54.75,24.0,54.25,2
32.833,24.5,54.75,24.0,54.25,2
33.0,24.5,54.75,24.0,54.75,1
33.167,24.5,54.75,24.0,55.0,3
33.333,24.5,55.5,24.0,55.5,2
33.5,24.5,55.5,24.0,55.5,0
33.667,24.5,55.5,24.0,55.5,0
33.833,24.5,55.5,24.0,55.5,0
34.0,24.5,55.5,24.0,55.5,0
34.167,24.5,55.5,24.0,55.5,0
34.333,24.5,56.0,24.0,55.5,1
34.5,24.5,56.0,24.0,55.5,1
34.667,24.5,56.0,24.0,55.5,0
34.833,24.5,56.0,24.0,56.0,1
35.0,24.5,56.0,24.0,56.0,1
35.167,24.5,57.0,24.0,56.0,2
35.333,24.5,57.0,24.0,56.5,2
35.5,24.5,57.5,24.0,57.0,3
35.667,24.5,57.5,24.0,57.5,1
35.833,24.5,57.5,24.0,57.5,1
36.0,24.5,58.25,24.0,57.5,2
36.167,24.5,58.25,24.0,58.25,2
36.333,24.5,58.25,24.0,58.75,2
36.5,24.5,58.25,24.0,58.75,0
36.667,24.5,58.25,24.0,58.75,0
36.833,24.5,58.25,24.0,58.75,0
37.0,24.5,58.25,24.0,58.75,0
37.167,24.5,58.25,24.0,58.75,0
37.333,24.5,58.25,24.0,58.75,0
37.5,24.5,58.25,24.0,58.75,1
37.667,24.5,58.25,24.0,58.75,1
37.833,24.5,58.75,24.0,58.75,1
38.0,24.5,58.75,24.0,58.75,0
38.167,24.5,58.75,24.0,58.75,0
38.333,24.5,58.75,24.0,58.75,0
38.5,24.5,58.75,24.0,58.75,1
38.667,24.5,58.75,24.0,59.25,1
38.833,24.5,58.75,24.0,59.25,1
39.0,24.5,58.75,24.0,59.25,2
39.167,24.5,59.25,24.0,59.25,2
39.333,24.5,59.25,24.0,59.25,2
39.5,24.5,59.25,24.0,59.75,1
39.667,24.5,59.25,24.0,60.25,2
39.833,24.5,59.25,24.0,60.25,0
40.0,24.5,59.75,24.0,60.25,1
40.167,24.5,59.75,24.0,60.25,0
40.333,24.5,59.75,24.0,60.25,0
40.5,24.5,59.75,24.0,61.0,2
40.667,24.5,59.75,24.0,61.0,2
40.833,24.5,60.25,24.0,61.0,2
41.0,24.5,61.0,24.0,61.5,2
41.167,24.5,61.0,24.0,62.0,3
