time,lorry id,MDP,state
1801.0,lorry_0,7,maintenance
3901.0,lorry_9,7,maintenance
5701.0,lorry_10,7,maintenance
6346.0,lorry_8,5,broken
7802.0,lorry_10,0,recover after maintenance
8101.0,lorry_4,7,maintenance
8101.0,lorry_7,7,maintenance
8401.0,lorry_2,7,maintenance
8702.0,lorry_9,0,recover after maintenance
12601.0,lorry_10,6,maintenance
12602.0,lorry_7,0,recover after maintenance
13501.0,lorry_6,7,maintenance
15001.0,lorry_7,7,maintenance
15601.0,lorry_3,7,maintenance
16202.0,lorry_7,0,recover after maintenance
17101.0,lorry_5,6,maintenance
17402.0,lorry_10,0,recover after maintenance
19202.0,lorry_4,0,recover after maintenance
19801.0,lorry_9,7,maintenance
20702.0,lorry_0,0,recover after maintenance
21602.0,lorry_5,0,recover after maintenance
21902.0,lorry_9,0,recover after maintenance
22201.0,lorry_0,7,maintenance
24002.0,lorry_0,0,recover after maintenance
24901.0,lorry_9,7,maintenance
25802.0,lorry_9,0,recover after maintenance
26701.0,lorry_11,7,maintenance
29101.0,lorry_7,7,maintenance
29401.0,lorry_4,7,maintenance
30001.0,lorry_1,7,maintenance
30902.0,lorry_11,0,recover after maintenance
32401.0,lorry_10,7,maintenance
33302.0,lorry_7,0,recover after maintenance
33901.0,lorry_5,6,maintenance
34202.0,lorry_1,0,recover after maintenance
34802.0,lorry_4,0,recover after maintenance
35101.0,lorry_9,7,maintenance
40801.0,lorry_4,7,maintenance
43202.0,lorry_4,0,recover after maintenance
43502.0,lorry_3,0,recover after maintenance
43802.0,lorry_10,0,recover after maintenance
44701.0,lorry_10,6,maintenance
48302.0,lorry_6,0,recover after maintenance
48602.0,lorry_5,0,recover after maintenance
50701.0,lorry_4,7,maintenance
51301.0,lorry_7,7,maintenance
55202.0,lorry_7,0,recover after maintenance
55802.0,lorry_10,0,recover after maintenance
59701.0,lorry_3,7,maintenance
59702.0,lorry_2,0,recover after maintenance
62701.0,lorry_5,7,maintenance
62701.0,lorry_10,7,maintenance
63301.0,lorry_11,7,maintenance
63602.0,lorry_11,0,recover after maintenance
67201.0,lorry_0,6,maintenance
67201.0,lorry_11,7,maintenance
73502.0,lorry_11,0,recover after maintenance
74402.0,lorry_5,0,recover after maintenance
75301.0,lorry_11,7,maintenance
76501.0,lorry_2,7,maintenance
76502.0,lorry_0,0,recover after maintenance
78301.0,lorry_6,6,maintenance
78301.0,lorry_7,6,maintenance
78602.0,lorry_4,0,recover after maintenance
79502.0,lorry_11,0,recover after maintenance
82202.0,lorry_10,0,recover after maintenance
86101.0,lorry_0,7,maintenance
86102.0,lorry_0,0,recover after maintenance
87002.0,lorry_9,0,recover after maintenance
90301.0,lorry_5,7,maintenance
92402.0,lorry_3,0,recover after maintenance
99901.0,lorry_10,7,maintenance
102302.0,lorry_7,0,recover after maintenance
102902.0,lorry_6,0,recover after maintenance
105301.0,lorry_3,7,maintenance
111002.0,lorry_2,0,recover after maintenance
112202.0,lorry_3,0,recover after maintenance
113102.0,lorry_5,0,recover after maintenance
114001.0,lorry_9,7,maintenance
115502.0,lorry_9,0,recover after maintenance
116401.0,lorry_3,7,maintenance
116401.0,lorry_7,7,maintenance
117901.0,lorry_11,7,maintenance
120601.0,lorry_5,7,maintenance
120901.0,lorry_1,7,maintenance
120902.0,lorry_3,0,recover after maintenance
122702.0,lorry_1,0,recover after maintenance
123601.0,lorry_9,6,maintenance
125701.0,lorry_2,7,maintenance
126001.0,lorry_6,6,maintenance
126902.0,lorry_2,0,recover after maintenance
129302.0,lorry_6,0,recover after maintenance
129302.0,lorry_9,0,recover after maintenance
131102.0,lorry_10,0,recover after maintenance
133201.0,lorry_0,7,maintenance
137102.0,lorry_0,0,recover after maintenance
138601.0,lorry_2,7,maintenance
138601.0,lorry_3,7,maintenance
141301.0,lorry_10,6,maintenance
141601.0,lorry_6,7,maintenance
143702.0,lorry_3,0,recover after maintenance
