time,A,B,P12,P23,current_lorry
0.25,0.0,0.0,2.5,0.0,12
0.333,0.0,0.0,2.5,2.5,12
0.417,0.0,2.5,5.0,2.5,12
0.5,0.0,2.5,5.0,5.0,12
0.583,0.0,2.5,5.0,5.0,11
0.667,0.0,2.5,7.5,7.5,11
0.75,0.0,2.5,7.5,7.5,11
0.833,0.0,5.0,7.5,10.0,11
0.917,2.5,7.5,7.5,10.0,11
1.0,2.5,7.5,7.5,10.0,11
1.083,5.0,7.5,10.0,10.0,11
1.167,5.0,10.0,10.0,10.0,10
1.25,5.0,10.0,10.0,10.0,10
1.333,7.5,10.0,12.5,10.0,10
1.417,7.5,10.0,12.5,12.5,10
1.5,7.5,12.5,15.0,12.5,10
1.583,7.5,12.5,15.0,12.5,10
1.667,7.5,12.5,15.0,15.0,9
1.75,10.0,12.5,17.5,15.0,9
1.833,10.0,15.0,17.5,15.0,8
1.917,10.0,15.0,17.5,15.0,8
2.0,12.5,15.0,17.5,15.0,8
2.083,12.5,15.0,20.0,15.0,8
2.167,15.0,15.0,20.0,15.0,8
2.25,17.5,15.0,20.0,17.5,9
2.333,17.5,15.0,22.5,17.5,7
2.417,17.5,15.0,22.5,17.5,6
2.5,20.0,17.5,22.5,17.5,7
2.583,20.0,17.5,22.5,17.5,7
2.667,20.0,17.5,22.5,17.5,7
2.75,20.0,17.5,22.5,20.0,7
2.833,20.0,20.0,22.5,20.0,7
2.917,20.0,20.0,25.0,20.0,7
3.0,22.5,20.0,25.0,20.0,7
3.083,22.5,20.0,25.0,22.5,7
3.167,22.5,20.0,25.0,22.5,7
3.25,22.5,20.0,25.0,22.5,7
3.333,22.5,22.5,25.0,25.0,7
3.417,22.5,22.5,25.0,25.0,7
3.5,22.5,22.5,25.0,25.0,7
3.583,22.5,25.0,27.5,25.0,7
3.667,25.0,25.0,27.5,25.0,7
3.75,25.0,25.0,27.5,25.0,7
3.833,25.0,25.0,27.5,25.0,6
3.917,25.0,25.0,30.0,25.0,6
4.0,27.5,25.0,30.0,25.0,6
4.083,27.5,25.0,30.0,25.0,6
4.167,27.5,25.0,30.0,25.0,6
4.25,30.0,25.0,30.0,25.0,5
4.333,30.0,25.0,30.0,25.0,5
4.417,30.0,25.0,32.5,25.0,4
4.5,30.0,25.0,32.5,25.0,4
4.583,30.0,25.0,32.5,25.0,5
4.667,30.0,25.0,32.5,27.5,5
4.75,30.0,27.5,35.0,27.5,5
4.833,30.0,27.5,35.0,27.5,4
4.917,30.0,27.5,35.0,30.0,5
5.0,30.0,30.0,35.0,30.0,5
5.083,30.0,30.0,35.0,30.0,5
5.167,30.0,30.0,35.0,30.0,5
5.25,30.0,30.0,35.0,30.0,5
5.333,32.5,30.0,35.0,30.0,5
5.417,32.5,30.0,35.0,30.0,6
5.5,32.5,30.0,35.0,30.0,6
5.583,35.0,30.0,37.5,30.0,5
5.667,35.0,30.0,37.5,30.0,5
5.75,35.0,30.0,37.5,30.0,5
5.833,35.0,30.0,37.5,32.5,6
5.917,35.0,30.0,37.5,32.5,6
6.0,35.0,30.0,37.5,32.5,6
6.083,35.0,32.5,37.5,32.5,7
6.167,35.0,32.5,37.5,32.5,8
6.25,35.0,35.0,37.5,32.5,7
6.333,35.0,35.0,40.0,32.5,7
6.417,35.0,35.0,40.0,35.0,7
6.5,35.0,35.0,40.0,35.0,7
6.583,35.0,35.0,40.0,35.0,7
6.667,35.0,37.5,40.0,37.5,7
6.75,35.0,37.5,42.5,37.5,8
6.833,35.0,37.5,42.5,40.0,8
6.917,35.0,40.0,42.5,40.0,8
7.0,35.0,40.0,42.5,40.0,7
7.083,35.0,40.0,42.5,40.0,7
7.167,35.0,40.0,42.5,40.0,7
7.25,35.0,42.5,45.0,42.5,8
7.333,35.0,42.5,45.0,42.5,8
7.417,35.0,42.5,45.0,45.0,8
7.5,35.0,45.0,45.0,45.0,7
7.583,35.0,45.0,45.0,45.0,7
7.667,35.0,45.0,47.5,45.0,7
7.75,35.0,45.0,47.5,47.5,7
7.833,35.0,47.5,47.5,47.5,7
7.917,35.0,47.5,47.5,47.5,7
8.0,35.0,50.0,47.5,47.5,7
8.083,35.0,50.0,47.5,47.5,7
8.167,35.0,50.0,50.0,50.0,6
8.25,35.0,50.0,50.0,50.0,5
8.333,35.0,50.0,50.0,50.0,5
8.417,35.0,50.0,50.0,50.0,4
8.5,35.0,50.0,50.0,50.0,4
8.583,35.0,50.0,50.0,50.0,4
8.667,35.0,50.0,50.0,50.0,5
8.75,35.0,50.0,50.0,52.5,5
8.833,35.0,52.5,50.0,52.5,5
8.917,35.0,52.5,52.5,52.5,5
9.0,35.0,52.5,52.5,52.5,5
9.083,35.0,52.5,52.5,52.5,4
9.167,35.0,52.5,52.5,52.5,4
9.25,35.0,52.5,52.5,52.5,4
9.333,35.0,52.5,52.5,55.0,5
9.417,37.5,55.0,52.5,55.0,5
9.5,37.5,55.0,52.5,55.0,4
9.583,37.5,55.0,52.5,55.0,5
9.667,37.5,55.0,52.5,55.0,5
9.75,37.5,57.5,52.5,55.0,6
9.833,37.5,57.5,52.5,55.0,5
9.917,37.5,57.5,52.5,55.0,5
10.0,37.5,57.5,52.5,55.0,5
10.083,37.5,57.5,52.5,55.0,5
10.167,40.0,57.5,52.5,55.0,5
10.25,40.0,57.5,52.5,55.0,5
10.333,40.0,57.5,55.0,55.0,5
10.417,40.0,57.5,55.0,55.0,5
10.5,42.5,57.5,55.0,57.5,5
10.583,42.5,60.0,55.0,57.5,5
10.667,42.5,60.0,55.0,57.5,5
10.75,42.5,60.0,55.0,57.5,5
10.833,42.5,62.5,55.0,57.5,5
10.917,42.5,62.5,55.0,57.5,5
11.0,42.5,62.5,55.0,57.5,5
11.083,45.0,62.5,55.0,57.5,5
11.167,45.0,62.5,57.5,60.0,5
11.25,45.0,62.5,57.5,60.0,5
11.333,45.0,62.5,57.5,60.0,5
11.417,45.0,65.0,57.5,60.0,4
11.5,45.0,65.0,57.5,60.0,4
11.583,45.0,65.0,57.5,60.0,4
11.667,45.0,65.0,57.5,60.0,4
11.75,47.5,65.0,57.5,60.0,4
11.833,47.5,65.0,57.5,60.0,4
11.917,47.5,65.0,57.5,60.0,4
12.0,47.5,65.0,57.5,60.0,4
