step,reward,cumulate reward
1,1.0,9.5
2,4.0,13.5
3,2.5,16.0
4,1.5,17.5
5,3.5,21.0
6,3.0,24.0
7,2.0,26.0
8,3.0,29.0
9,3.0,32.0
10,2.5,34.5
11,3.5,38.0
12,1.5,39.5
13,2.5,42.0
14,2.0,44.0
15,4.5,48.5
16,2.5,51.0
17,2.0,53.0
18,2.5,55.5
19,3.5,59.0
20,1.5,60.5
21,2.0,62.5
22,1.5,64.0
23,2.5,66.5
24,2.0,68.5
25,1.5,70.0
26,3.0,73.0
27,2.5,75.5
28,0.5,76.0
29,2.0,78.0
30,1.5,79.5
31,2.5,82.0
32,1.0,83.0
33,2.5,85.5
34,1.0,86.5
35,1.5,88.0
36,2.5,90.5
37,2.5,93.0
38,1.0,94.0
39,1.5,95.5
40,2.0,97.5
41,2.0,99.5
42,1.5,101.0
43,1.5,102.5
44,1.5,104.0
45,1.0,105.0
46,1.0,106.0
47,2.5,108.5
48,0.5,109.0
49,1.0,110.0
50,1.0,111.0
51,1.0,112.0
52,1.0,113.0
53,2.5,115.5
54,0.5,116.0
55,2.0,118.0
56,1.0,119.0
57,1.5,120.5
58,0.5,121.0
59,1.0,122.0
60,1.0,123.0
61,1.5,124.5
62,1.0,125.5
63,1.5,127.0
64,1.0,128.0
65,0.5,128.5
66,1.0,129.5
67,0.0,129.5
68,1.5,131.0
69,1.5,132.5
70,1.0,133.5
71,1.0,134.5
72,1.5,136.0
73,0.0,136.0
74,1.5,137.5
75,3.0,140.5
76,1.0,141.5
77,2.0,143.5
78,2.0,145.5
79,1.5,147.0
80,2.0,149.0
81,2.0,151.0
82,1.0,152.0
83,2.0,154.0
84,1.5,155.5
85,1.5,157.0
86,2.5,159.5
87,2.0,161.5
88,1.0,162.5
89,2.0,164.5
90,2.0,166.5
91,1.5,168.0
92,1.5,169.5
93,1.5,171.0
94,2.0,173.0
95,1.5,174.5
96,1.5,176.0
97,0.5,176.5
98,1.0,177.5
99,0.5,178.0
100,1.0,179.0
101,0.0,179.0
102,1.5,180.5
103,0.5,181.0
104,1.5,182.5
105,0.5,183.0
106,0.0,183.0
107,1.0,184.0
108,0.5,184.5
109,1.0,185.5
110,1.5,187.0
111,1.0,188.0
112,0.0,188.0
