time,lorry id,MDP,state
601.0,lorry_1,6,maintenance
601.0,lorry_3,6,maintenance
601.0,lorry_4,6,maintenance
601.0,lorry_6,6,maintenance
601.0,lorry_7,6,maintenance
601.0,lorry_8,6,maintenance
901.0,lorry_0,6,maintenance
901.0,lorry_2,6,maintenance
901.0,lorry_10,6,maintenance
901.0,lorry_11,6,maintenance
1201.0,lorry_5,6,maintenance
1501.0,lorry_9,6,maintenance
3302.0,lorry_11,0,recover after maintenance
3601.0,lorry_11,6,maintenance
3602.0,lorry_7,0,recover after maintenance
3602.0,lorry_10,0,recover after maintenance
3901.0,lorry_7,6,maintenance
4201.0,lorry_10,6,maintenance
5102.0,lorry_1,0,recover after maintenance
5102.0,lorry_7,0,recover after maintenance
5401.0,lorry_1,6,maintenance
5401.0,lorry_7,6,maintenance
8102.0,lorry_11,0,recover after maintenance
8401.0,lorry_11,6,maintenance
9002.0,lorry_8,0,recover after maintenance
9002.0,lorry_10,0,recover after maintenance
9301.0,lorry_10,6,maintenance
9601.0,lorry_8,7,maintenance
9602.0,lorry_0,0,recover after maintenance
9901.0,lorry_0,6,maintenance
10202.0,lorry_10,0,recover after maintenance
10501.0,lorry_10,6,maintenance
11102.0,lorry_6,0,recover after maintenance
11701.0,lorry_6,6,maintenance
12902.0,lorry_1,0,recover after maintenance
13201.0,lorry_1,6,maintenance
14702.0,lorry_10,0,recover after maintenance
15001.0,lorry_10,6,maintenance
17102.0,lorry_8,0,recover after maintenance
17401.0,lorry_8,6,maintenance
18902.0,lorry_3,0,recover after maintenance
19501.0,lorry_3,6,maintenance
20702.0,lorry_4,0,recover after maintenance
20702.0,lorry_6,0,recover after maintenance
21301.0,lorry_6,7,maintenance
21602.0,lorry_11,0,recover after maintenance
21901.0,lorry_11,7,maintenance
22201.0,lorry_4,6,maintenance
22802.0,lorry_8,0,recover after maintenance
23102.0,lorry_7,0,recover after maintenance
24001.0,lorry_7,6,maintenance
24001.0,lorry_8,6,maintenance
24302.0,lorry_4,0,recover after maintenance
24302.0,lorry_5,0,recover after maintenance
24601.0,lorry_4,6,maintenance
25201.0,lorry_5,6,maintenance
27002.0,lorry_11,0,recover after maintenance
27301.0,lorry_11,6,maintenance
27902.0,lorry_2,0,recover after maintenance
28801.0,lorry_2,6,maintenance
29702.0,lorry_10,0,recover after maintenance
30001.0,lorry_10,6,maintenance
