time,A,B,P12,P23,current_lorry
0.25,0.0,0.0,2.5,0.0,6
0.333,0.0,0.0,2.5,0.0,2
0.417,0.0,0.0,2.5,0.0,1
0.5,0.0,0.0,2.5,0.0,0
0.583,0.0,0.0,2.5,0.0,0
0.667,0.0,0.0,2.5,0.0,0
0.75,0.0,0.0,2.5,0.0,0
0.833,0.0,0.0,2.5,0.0,0
0.917,0.0,0.0,2.5,0.0,0
1.0,0.0,0.0,2.5,0.0,1
1.083,0.0,0.0,2.5,0.0,2
1.167,0.0,0.0,2.5,0.0,1
1.25,0.0,0.0,2.5,0.0,0
1.333,0.0,0.0,2.5,0.0,0
1.417,0.0,0.0,2.5,0.0,0
1.5,0.0,0.0,2.5,0.0,2
1.583,0.0,0.0,2.5,0.0,0
1.667,0.0,0.0,2.5,0.0,0
1.75,0.0,0.0,2.5,0.0,0
1.833,0.0,0.0,2.5,0.0,0
1.917,0.0,0.0,2.5,0.0,0
2.0,0.0,0.0,2.5,0.0,0
2.083,0.0,0.0,2.5,0.0,0
2.167,0.0,0.0,2.5,0.0,0
2.25,0.0,0.0,2.5,0.0,0
2.333,0.0,0.0,2.5,0.0,1
2.417,0.0,0.0,2.5,0.0,0
2.5,0.0,0.0,2.5,0.0,0
2.583,0.0,0.0,2.5,0.0,2
2.667,0.0,0.0,2.5,0.0,1
2.75,0.0,0.0,2.5,0.0,1
2.833,0.0,0.0,2.5,0.0,0
2.917,0.0,0.0,2.5,0.0,1
3.0,0.0,0.0,2.5,0.0,0
3.083,0.0,0.0,2.5,0.0,0
3.167,0.0,0.0,2.5,0.0,1
3.25,0.0,0.0,2.5,0.0,1
3.333,0.0,0.0,2.5,0.0,0
3.417,0.0,0.0,2.5,0.0,0
3.5,0.0,0.0,2.5,0.0,0
3.583,0.0,0.0,2.5,0.0,0
3.667,0.0,0.0,2.5,0.0,1
3.75,0.0,0.0,2.5,0.0,0
3.833,0.0,0.0,2.5,0.0,0
3.917,0.0,0.0,2.5,0.0,0
4.0,0.0,0.0,2.5,0.0,0
4.083,0.0,0.0,2.5,0.0,0
4.167,0.0,0.0,2.5,0.0,1
4.25,0.0,0.0,2.5,0.0,0
4.333,0.0,0.0,2.5,0.0,0
4.417,0.0,0.0,2.5,0.0,0
4.5,0.0,0.0,2.5,0.0,0
4.583,0.0,0.0,2.5,0.0,0
4.667,0.0,0.0,2.5,0.0,0
4.75,0.0,0.0,2.5,0.0,0
4.833,0.0,0.0,2.5,2.5,1
4.917,0.0,0.0,2.5,2.5,0
5.0,0.0,0.0,2.5,2.5,0
5.083,0.0,0.0,2.5,2.5,0
5.167,0.0,0.0,2.5,2.5,0
5.25,0.0,0.0,2.5,2.5,0
5.333,0.0,0.0,2.5,2.5,1
5.417,0.0,0.0,2.5,2.5,1
5.5,0.0,0.0,2.5,2.5,0
5.583,0.0,0.0,2.5,2.5,0
5.667,0.0,0.0,2.5,2.5,0
5.75,0.0,0.0,2.5,2.5,0
5.833,0.0,0.0,2.5,2.5,2
5.917,0.0,0.0,2.5,2.5,2
6.0,0.0,0.0,2.5,2.5,1
6.083,0.0,0.0,2.5,2.5,2
6.167,0.0,0.0,2.5,2.5,1
6.25,0.0,0.0,2.5,2.5,0
6.333,0.0,0.0,2.5,2.5,0
6.417,0.0,0.0,2.5,2.5,1
6.5,0.0,0.0,2.5,2.5,2
6.583,0.0,0.0,2.5,2.5,2
6.667,0.0,0.0,2.5,2.5,2
6.75,0.0,0.0,2.5,2.5,0
