step,reward,cumulate reward
1,0.5,9.0
2,0.0,9.0
3,0.0,9.0
4,0.0,9.0
5,0.0,9.0
6,0.0,9.0
7,0.0,9.0
8,0.0,9.0
9,0.0,9.0
10,0.0,9.0
11,1.0,10.0
12,0.0,10.0
13,0.0,10.0
14,0.0,10.0
15,0.0,10.0
16,0.5,10.5
17,0.0,10.5
18,0.0,10.5
19,0.0,10.5
20,0.0,10.5
21,0.0,10.5
22,0.0,10.5
23,0.0,10.5
24,0.0,10.5
25,0.0,10.5
26,0.0,10.5
27,0.0,10.5
28,0.0,10.5
29,0.0,10.5
30,0.0,10.5
31,0.5,11.0
32,0.0,11.0
33,0.5,11.5
34,0.0,11.5
35,0.0,11.5
36,0.0,11.5
37,0.0,11.5
38,0.0,11.5
39,0.0,11.5
40,0.0,11.5
41,0.0,11.5
42,0.0,11.5
43,0.0,11.5
44,0.0,11.5
45,0.0,11.5
46,0.0,11.5
47,0.0,11.5
48,0.0,11.5
49,0.0,11.5
50,0.0,11.5
51,0.0,11.5
52,0.0,11.5
53,0.0,11.5
54,0.0,11.5
55,0.0,11.5
56,0.5,12.0
57,0.0,12.0
58,0.0,12.0
59,0.0,12.0
60,0.0,12.0
61,0.0,12.0
62,0.0,12.0
63,0.5,12.5
64,0.0,12.5
65,0.0,12.5
66,0.0,12.5
67,0.0,12.5
68,1.0,13.5
69,0.0,13.5
70,0.0,13.5
71,0.0,13.5
72,0.5,14.0
73,0.0,14.0
74,0.0,14.0
75,0.0,14.0
76,0.0,14.0
77,1.0,15.0
78,0.0,15.0
79,0.0,15.0
80,0.5,15.5
81,0.0,15.5
82,0.0,15.5
83,0.0,15.5
84,0.0,15.5
85,0.0,15.5
86,0.0,15.5
87,0.0,15.5
88,0.0,15.5
89,0.0,15.5
90,0.0,15.5
91,0.0,15.5
92,0.0,15.5
93,0.0,15.5
94,0.0,15.5
95,0.0,15.5
96,0.0,15.5
97,0.0,15.5
98,0.5,16.0
99,0.0,16.0
100,0.5,16.5
101,0.0,16.5
102,0.0,16.5
103,0.0,16.5
104,0.0,16.5
105,0.0,16.5
106,0.0,16.5
107,0.0,16.5
108,0.0,16.5
109,0.0,16.5
110,0.0,16.5
111,0.0,16.5
112,0.0,16.5
113,0.0,16.5
114,0.0,16.5
115,0.0,16.5
116,0.0,16.5
117,0.0,16.5
118,0.5,17.0
119,1.0,18.0
120,0.0,18.0
121,0.0,18.0
122,0.0,18.0
123,0.0,18.0
124,0.0,18.0
125,0.0,18.0
126,0.0,18.0
127,0.0,18.0
128,0.0,18.0
129,0.0,18.0
130,1.0,19.0
131,0.0,19.0
132,0.0,19.0
133,0.0,19.0
134,0.0,19.0
135,0.5,19.5
136,0.0,19.5
137,0.0,19.5
138,0.0,19.5
139,0.0,19.5
140,0.0,19.5
141,0.0,19.5
142,0.0,19.5
143,0.0,19.5
144,0.0,19.5
145,0.0,19.5
146,0.0,19.5
147,0.0,19.5
148,0.0,19.5
149,0.0,19.5
150,0.0,19.5
151,0.5,20.0
152,0.0,20.0
153,0.0,20.0
154,0.0,20.0
155,0.5,20.5
156,0.0,20.5
157,0.5,21.0
158,0.0,21.0
159,0.0,21.0
160,0.0,21.0
161,0.0,21.0
162,0.0,21.0
163,0.0,21.0
164,0.5,21.5
165,0.0,21.5
166,0.0,21.5
167,0.0,21.5
168,0.0,21.5
169,0.5,22.0
170,0.0,22.0
171,1.0,23.0
172,0.5,23.5
173,0.0,23.5
174,0.0,23.5
175,0.0,23.5
176,0.5,24.0
177,0.0,24.0
178,0.0,24.0
179,0.0,24.0
180,0.0,24.0
181,0.5,24.5
182,0.0,24.5
183,0.0,24.5
184,0.0,24.5
185,0.0,24.5
186,0.0,24.5
187,0.0,24.5
188,0.0,24.5
189,0.0,24.5
190,0.0,24.5
191,0.0,24.5
192,0.0,24.5
193,0.0,24.5
194,0.0,24.5
195,0.0,24.5
196,0.5,25.0
197,0.0,25.0
198,0.5,25.5
199,0.5,26.0
200,0.0,26.0
201,0.5,26.5
202,0.0,26.5
203,0.0,26.5
204,0.0,26.5
205,0.0,26.5
206,0.0,26.5
207,0.5,27.0
208,0.5,27.5
209,0.5,28.0
210,0.0,28.0
211,0.0,28.0
212,0.5,28.5
213,0.0,28.5
214,0.5,29.0
215,0.0,29.0
216,0.0,29.0
217,0.5,29.5
218,0.0,29.5
219,0.0,29.5
220,0.0,29.5
221,0.0,29.5
222,0.0,29.5
223,0.0,29.5
224,0.0,29.5
225,0.0,29.5
226,0.0,29.5
227,0.0,29.5
228,0.5,30.0
229,0.0,30.0
230,0.0,30.0
231,1.5,31.5
232,0.0,31.5
233,0.0,31.5
234,0.0,31.5
235,0.0,31.5
236,0.0,31.5
237,0.0,31.5
238,0.0,31.5
239,0.0,31.5
240,0.0,31.5
241,0.0,31.5
242,0.0,31.5
243,0.0,31.5
244,0.0,31.5
245,0.0,31.5
246,0.0,31.5
247,0.0,31.5
248,0.0,31.5
249,0.0,31.5
250,0.5,32.0
251,0.0,32.0
252,0.0,32.0
253,0.5,32.5
254,0.5,33.0
255,0.5,33.5
256,0.5,34.0
257,0.0,34.0
258,0.0,34.0
259,0.0,34.0
260,0.0,34.0
261,0.0,34.0
262,0.5,34.5
263,0.5,35.0
264,1.0,36.0
265,0.0,36.0
266,0.0,36.0
267,0.0,36.0
268,0.0,36.0
269,0.0,36.0
270,0.0,36.0
271,0.0,36.0
272,0.5,36.5
273,0.5,37.0
274,0.0,37.0
275,0.0,37.0
