time,lorry id,MDP,state
601.0,lorry_1,4,maintenance
601.0,lorry_5,4,maintenance
601.0,lorry_7,4,maintenance
601.0,lorry_11,4,maintenance
901.0,lorry_2,4,maintenance
901.0,lorry_3,4,maintenance
1201.0,lorry_0,4,maintenance
1201.0,lorry_4,5,maintenance
1201.0,lorry_8,4,maintenance
1201.0,lorry_9,4,maintenance
2101.0,lorry_10,4,maintenance
2401.0,lorry_6,4,maintenance
5102.0,lorry_4,0,recover after maintenance
6902.0,lorry_3,0,recover after maintenance
6902.0,lorry_10,0,recover after maintenance
7201.0,lorry_4,5,maintenance
7801.0,lorry_10,4,maintenance
7802.0,lorry_8,0,recover after maintenance
8101.0,lorry_3,5,maintenance
8102.0,lorry_4,0,recover after maintenance
8701.0,lorry_4,4,maintenance
8701.0,lorry_8,4,maintenance
9302.0,lorry_8,0,recover after maintenance
9901.0,lorry_8,4,maintenance
10202.0,lorry_6,0,recover after maintenance
11401.0,lorry_6,4,maintenance
12602.0,lorry_7,0,recover after maintenance
13201.0,lorry_7,4,maintenance
13502.0,lorry_1,0,recover after maintenance
13801.0,lorry_1,4,maintenance
14102.0,lorry_8,0,recover after maintenance
14701.0,lorry_8,4,maintenance
15302.0,lorry_6,0,recover after maintenance
15902.0,lorry_5,0,recover after maintenance
16201.0,lorry_5,4,maintenance
16202.0,lorry_9,0,recover after maintenance
16501.0,lorry_9,5,maintenance
16802.0,lorry_4,0,recover after maintenance
17401.0,lorry_6,4,maintenance
17702.0,lorry_8,0,recover after maintenance
18001.0,lorry_4,4,maintenance
18001.0,lorry_8,4,maintenance
19202.0,lorry_2,0,recover after maintenance
19802.0,lorry_10,0,recover after maintenance
20101.0,lorry_2,4,maintenance
20401.0,lorry_10,4,maintenance
20402.0,lorry_0,0,recover after maintenance
21901.0,lorry_0,4,maintenance
21902.0,lorry_7,0,recover after maintenance
22201.0,lorry_7,4,maintenance
22802.0,lorry_11,0,recover after maintenance
23101.0,lorry_11,4,maintenance
24002.0,lorry_5,0,recover after maintenance
24902.0,lorry_1,0,recover after maintenance
25502.0,lorry_2,0,recover after maintenance
25801.0,lorry_5,4,maintenance
25802.0,lorry_4,0,recover after maintenance
26102.0,lorry_3,0,recover after maintenance
26401.0,lorry_3,4,maintenance
26702.0,lorry_7,0,recover after maintenance
27001.0,lorry_4,4,maintenance
27301.0,lorry_1,4,maintenance
27301.0,lorry_2,4,maintenance
27301.0,lorry_7,4,maintenance
27302.0,lorry_6,0,recover after maintenance
27901.0,lorry_6,4,maintenance
29402.0,lorry_8,0,recover after maintenance
30001.0,lorry_8,4,maintenance
33302.0,lorry_11,0,recover after maintenance
33901.0,lorry_11,4,maintenance
35402.0,lorry_8,0,recover after maintenance
35702.0,lorry_3,0,recover after maintenance
36001.0,lorry_3,4,maintenance
36301.0,lorry_8,4,maintenance
38702.0,lorry_4,0,recover after maintenance
39001.0,lorry_4,4,maintenance
39002.0,lorry_7,0,recover after maintenance
39301.0,lorry_7,4,maintenance
39902.0,lorry_9,0,recover after maintenance
41101.0,lorry_9,4,maintenance
41102.0,lorry_4,0,recover after maintenance
42002.0,lorry_11,0,recover after maintenance
42301.0,lorry_11,4,maintenance
42302.0,lorry_9,0,recover after maintenance
42601.0,lorry_4,4,maintenance
42601.0,lorry_9,4,maintenance
46202.0,lorry_5,0,recover after maintenance
46801.0,lorry_5,4,maintenance
46802.0,lorry_6,0,recover after maintenance
47101.0,lorry_6,4,maintenance
47402.0,lorry_8,0,recover after maintenance
48001.0,lorry_8,4,maintenance
48302.0,lorry_7,0,recover after maintenance
48601.0,lorry_7,4,maintenance
50702.0,lorry_9,0,recover after maintenance
51001.0,lorry_9,4,maintenance
51002.0,lorry_11,0,recover after maintenance
51301.0,lorry_11,4,maintenance
52502.0,lorry_7,0,recover after maintenance
52801.0,lorry_7,4,maintenance
53102.0,lorry_11,0,recover after maintenance
53401.0,lorry_11,4,maintenance
53702.0,lorry_9,0,recover after maintenance
