time,A,B,P12,P23,current_lorry
0.25,0.0,0.0,2.5,0.0,8
0.333,0.0,0.0,2.5,2.5,6
0.417,0.0,0.0,2.5,2.5,2
0.5,0.0,0.0,2.5,2.5,2
0.583,0.0,0.0,2.5,2.5,2
0.667,0.0,0.0,2.5,2.5,1
0.75,0.0,0.0,2.5,2.5,0
0.833,0.0,0.0,2.5,2.5,0
0.917,0.0,0.0,2.5,2.5,0
1.0,0.0,0.0,2.5,2.5,0
1.083,0.0,0.0,2.5,2.5,0
1.167,0.0,0.0,2.5,2.5,0
1.25,0.0,0.0,2.5,2.5,0
1.333,0.0,0.0,2.5,2.5,0
1.417,0.0,0.0,2.5,2.5,0
1.5,0.0,0.0,2.5,2.5,1
1.583,0.0,0.0,2.5,2.5,1
1.667,0.0,0.0,2.5,2.5,1
1.75,0.0,0.0,2.5,2.5,1
1.833,0.0,0.0,2.5,2.5,1
1.917,0.0,0.0,2.5,2.5,1
2.0,0.0,0.0,2.5,2.5,3
2.083,0.0,0.0,2.5,2.5,2
2.167,0.0,0.0,5.0,2.5,2
2.25,0.0,0.0,5.0,2.5,2
2.333,0.0,0.0,5.0,2.5,2
2.417,0.0,0.0,5.0,2.5,2
2.5,0.0,0.0,5.0,2.5,0
2.583,0.0,0.0,5.0,2.5,0
2.667,0.0,0.0,5.0,2.5,1
2.75,0.0,0.0,5.0,2.5,1
2.833,0.0,0.0,5.0,2.5,0
2.917,0.0,0.0,5.0,2.5,1
3.0,0.0,0.0,5.0,2.5,1
3.083,0.0,0.0,5.0,2.5,1
3.167,0.0,0.0,5.0,2.5,1
3.25,0.0,0.0,5.0,2.5,0
3.333,0.0,0.0,5.0,2.5,0
3.417,0.0,0.0,5.0,2.5,0
3.5,0.0,0.0,5.0,2.5,0
3.583,0.0,0.0,5.0,2.5,1
3.667,0.0,0.0,5.0,2.5,1
3.75,0.0,0.0,5.0,2.5,0
3.833,0.0,0.0,5.0,2.5,1
3.917,0.0,0.0,5.0,2.5,0
4.0,0.0,0.0,5.0,2.5,1
4.083,0.0,0.0,5.0,2.5,1
4.167,0.0,0.0,5.0,2.5,0
4.25,0.0,0.0,5.0,2.5,0
4.333,0.0,0.0,5.0,2.5,1
4.417,0.0,0.0,5.0,2.5,1
4.5,0.0,0.0,5.0,2.5,2
4.583,0.0,2.5,5.0,2.5,2
4.667,0.0,2.5,5.0,2.5,1
4.75,0.0,2.5,5.0,2.5,2
4.833,0.0,2.5,5.0,5.0,2
4.917,0.0,2.5,5.0,5.0,1
5.0,0.0,2.5,7.5,5.0,2
5.083,0.0,2.5,7.5,5.0,0
5.167,0.0,2.5,7.5,5.0,0
5.25,0.0,2.5,7.5,5.0,0
5.333,0.0,2.5,7.5,5.0,0
5.417,0.0,2.5,7.5,5.0,1
5.5,0.0,2.5,7.5,5.0,1
5.583,2.5,2.5,7.5,5.0,2
5.667,2.5,2.5,7.5,5.0,1
5.75,2.5,2.5,7.5,5.0,1
5.833,2.5,2.5,7.5,5.0,1
5.917,2.5,2.5,7.5,5.0,1
6.0,2.5,2.5,7.5,5.0,1
6.083,2.5,2.5,7.5,5.0,1
6.167,2.5,2.5,7.5,5.0,1
6.25,2.5,2.5,7.5,5.0,0
6.333,2.5,2.5,7.5,5.0,0
6.417,2.5,2.5,7.5,5.0,1
6.5,2.5,2.5,7.5,5.0,0
6.583,2.5,2.5,7.5,5.0,0
6.667,2.5,2.5,7.5,5.0,0
6.75,2.5,2.5,7.5,5.0,1
6.833,2.5,2.5,7.5,5.0,1
6.917,2.5,2.5,7.5,5.0,1
7.0,2.5,2.5,7.5,5.0,2
7.083,2.5,2.5,7.5,5.0,2
7.167,2.5,2.5,7.5,5.0,3
7.25,2.5,2.5,7.5,5.0,3
7.333,5.0,2.5,7.5,5.0,4
7.417,5.0,2.5,10.0,5.0,3
7.5,5.0,2.5,10.0,7.5,4
7.583,5.0,5.0,10.0,7.5,3
7.667,5.0,5.0,10.0,7.5,1
7.75,5.0,5.0,10.0,7.5,1
7.833,5.0,5.0,10.0,7.5,0
7.917,5.0,5.0,10.0,7.5,0
8.0,5.0,5.0,10.0,7.5,0
8.083,5.0,5.0,10.0,7.5,0
8.167,5.0,5.0,10.0,7.5,0
8.25,5.0,5.0,10.0,7.5,1
8.333,5.0,5.0,10.0,7.5,1
8.417,5.0,5.0,10.0,7.5,0
8.5,5.0,5.0,10.0,7.5,0
8.583,5.0,5.0,10.0,7.5,0
8.667,5.0,5.0,10.0,7.5,0
8.75,5.0,5.0,10.0,7.5,0
8.833,5.0,5.0,10.0,7.5,0
8.917,5.0,5.0,10.0,7.5,0
9.0,5.0,5.0,10.0,7.5,0
9.083,5.0,5.0,10.0,7.5,0
9.167,5.0,5.0,10.0,7.5,0
9.25,5.0,5.0,10.0,7.5,0
9.333,5.0,5.0,10.0,7.5,1
9.417,5.0,5.0,10.0,7.5,1
9.5,5.0,5.0,10.0,7.5,0
9.583,5.0,5.0,10.0,7.5,0
9.667,5.0,5.0,10.0,7.5,0
9.75,5.0,5.0,10.0,7.5,0
9.833,5.0,5.0,10.0,7.5,0
9.917,5.0,5.0,10.0,7.5,1
10.0,5.0,5.0,10.0,7.5,2
10.083,5.0,7.5,10.0,7.5,1
10.167,5.0,7.5,10.0,7.5,0
10.25,5.0,7.5,10.0,7.5,0
10.333,5.0,7.5,10.0,7.5,0
10.417,5.0,7.5,10.0,7.5,0
10.5,5.0,7.5,10.0,7.5,0
10.583,5.0,7.5,10.0,7.5,0
10.667,5.0,7.5,10.0,7.5,0
10.75,5.0,7.5,10.0,7.5,0
10.833,5.0,7.5,10.0,7.5,1
10.917,5.0,7.5,10.0,7.5,1
11.0,5.0,7.5,10.0,7.5,0
11.083,5.0,7.5,10.0,7.5,0
11.167,5.0,7.5,10.0,7.5,1
11.25,5.0,7.5,10.0,7.5,1
11.333,5.0,7.5,10.0,7.5,1
11.417,5.0,7.5,10.0,7.5,1
11.5,5.0,7.5,10.0,7.5,1
11.583,5.0,7.5,10.0,7.5,1
11.667,5.0,7.5,10.0,7.5,1
11.75,5.0,7.5,10.0,7.5,2
11.833,5.0,7.5,10.0,7.5,2
11.917,5.0,7.5,10.0,7.5,0
12.0,5.0,7.5,10.0,7.5,0
12.083,5.0,7.5,10.0,7.5,0
12.167,5.0,7.5,10.0,7.5,0
12.25,5.0,7.5,10.0,7.5,0
12.333,5.0,7.5,10.0,7.5,0
12.417,5.0,7.5,10.0,7.5,0
12.5,5.0,7.5,10.0,7.5,0
12.583,5.0,7.5,10.0,7.5,0
12.667,5.0,7.5,10.0,7.5,0
12.75,5.0,7.5,10.0,7.5,0
12.833,5.0,7.5,10.0,7.5,0
12.917,5.0,7.5,10.0,7.5,1
