step,reward,cumulate reward
0.25,0.5,9.0
0.333,2.5,20.5
0.417,0.0,32.0
0.5,0.0,43.5
0.583,0.5,55.5
0.667,0.0,67.5
0.75,0.0,79.5
0.833,0.0,91.5
0.917,0.0,103.5
1.0,0.0,115.5
1.083,0.0,127.5
1.167,0.0,139.5
1.25,0.0,151.5
1.333,0.0,163.5
1.417,0.0,175.5
1.5,0.5,188.0
1.583,0.0,200.5
1.667,0.5,213.5
1.75,0.0,226.5
1.833,0.0,239.5
1.917,0.0,252.5
2.0,1.0,266.5
2.083,0.0,280.5
2.167,1.0,295.5
2.25,0.0,310.5
2.333,0.0,325.5
2.417,0.5,341.0
2.5,0.0,356.5
2.583,0.0,372.0
2.667,0.5,388.0
2.75,0.0,404.0
2.833,0.0,420.0
2.917,0.5,436.5
3.0,0.0,453.0
3.083,0.0,469.5
3.167,0.0,486.0
3.25,0.0,502.5
3.333,0.0,519.0
3.417,0.0,535.5
3.5,0.0,552.0
3.583,0.5,569.0
3.667,0.0,586.0
3.75,0.0,603.0
3.833,0.0,620.0
3.917,0.0,637.0
4.0,0.5,654.5
4.083,0.0,672.0
4.167,0.0,689.5
4.25,0.0,707.0
4.333,0.5,725.0
4.417,0.0,743.0
4.5,0.5,761.5
4.583,0.0,780.0
4.667,0.5,799.0
4.75,1.0,819.0
4.833,0.5,839.5
4.917,0.0,860.0
5.0,0.5,881.0
5.083,0.0,902.0
5.167,0.0,923.0
5.25,0.0,944.0
5.333,0.0,965.0
5.417,0.5,986.5
5.5,0.0,1008.0
5.583,1.0,1030.5
5.667,0.0,1053.0
5.75,0.5,1076.0
5.833,0.5,1099.5
5.917,0.0,1123.0
6.0,0.0,1146.5
6.083,0.0,1170.0
6.167,0.5,1194.0
6.25,0.0,1218.0
6.333,0.0,1242.0
6.417,0.5,1266.5
6.5,0.0,1291.0
6.583,0.0,1315.5
6.667,0.0,1340.0
6.75,0.5,1365.0
6.833,0.0,1390.0
6.917,0.0,1415.0
7.0,0.0,1440.0
7.083,1.0,1466.0
7.167,0.0,1492.0
7.25,1.0,1519.0
7.333,1.0,1547.0
7.417,0.5,1575.5
7.5,2.0,1606.0
7.583,0.0,1636.5
7.667,0.5,1667.5
7.75,0.5,1699.0
7.833,0.0,1730.5
7.917,0.0,1762.0
8.0,0.0,1793.5
8.083,0.0,1825.0
8.167,0.0,1856.5
8.25,0.5,1888.5
8.333,0.0,1920.5
8.417,0.0,1952.5
8.5,0.0,1984.5
8.583,0.0,2016.5
8.667,0.0,2048.5
8.75,0.0,2080.5
8.833,0.0,2112.5
8.917,0.0,2144.5
9.0,0.0,2176.5
9.083,0.0,2208.5
9.167,0.0,2240.5
9.25,0.0,2272.5
9.333,0.0,2304.5
9.417,0.0,2336.5
9.5,0.0,2368.5
9.583,0.0,2400.5
9.667,0.0,2432.5
9.75,0.0,2464.5
9.833,0.0,2496.5
9.917,0.5,2529.0
10.0,1.0,2562.5
10.083,0.0,2596.0
10.167,0.0,2629.5
10.25,0.0,2663.0
10.333,0.0,2696.5
10.417,0.0,2730.0
10.5,0.0,2763.5
10.583,0.0,2797.0
10.667,0.0,2830.5
10.75,0.0,2864.0
10.833,0.5,2898.0
10.917,0.5,2932.5
11.0,0.0,2967.0
11.083,0.0,3001.5
11.167,0.0,3036.0
11.25,0.0,3070.5
11.333,0.0,3105.0
11.417,0.0,3139.5
11.5,0.0,3174.0
11.583,0.5,3209.0
11.667,0.0,3244.0
11.75,0.5,3279.5
11.833,1.0,3316.0
11.917,0.0,3352.5
12.0,0.0,3389.0
12.083,0.0,3425.5
12.167,0.0,3462.0
12.25,0.0,3498.5
12.333,0.0,3535.0
12.417,0.0,3571.5
12.5,0.0,3608.0
12.583,0.0,3644.5
12.667,0.0,3681.0
12.75,0.0,3717.5
12.833,0.0,3754.0
12.917,0.0,3790.5
13.0,0.5,3827.5
13.083,0.5,3865.0
13.167,0.0,3902.5
13.25,0.5,3940.5
13.333,0.5,3979.0
13.417,0.0,4017.5
13.5,0.5,4056.5
13.583,0.0,4095.5
13.667,0.0,4134.5
13.75,0.0,4173.5
13.833,0.0,4212.5
13.917,0.0,4251.5
14.0,0.0,4290.5
14.083,0.0,4329.5
14.167,0.5,4369.0
14.25,0.5,4409.0
14.333,0.0,4449.0
14.417,0.0,4489.0
14.5,0.0,4529.0
14.583,0.0,4569.0
14.667,0.0,4609.0
14.75,0.0,4649.0
14.833,0.0,4689.0
14.917,0.0,4729.0
15.0,0.5,4769.5
15.083,0.0,4810.0
15.167,0.0,4850.5
15.25,0.0,4891.0
15.333,0.0,4931.5
15.417,0.5,4972.5
15.5,0.0,5013.5
15.583,0.0,5054.5
15.667,0.0,5095.5
15.75,0.0,5136.5
15.833,0.0,5177.5
15.917,0.0,5218.5
16.0,0.0,5259.5
16.083,0.0,5300.5
16.167,0.0,5341.5
16.25,0.0,5382.5
16.333,0.5,5424.0
16.417,0.0,5465.5
16.5,0.0,5507.0
16.583,0.5,5549.0
16.667,0.5,5591.5
16.75,0.0,5634.0
16.833,0.0,5676.5
16.917,0.0,5719.0
17.0,0.0,5761.5
17.083,0.0,5804.0
17.167,0.0,5846.5
17.25,0.0,5889.0
17.333,0.0,5931.5
17.417,0.0,5974.0
17.5,0.0,6016.5
17.583,0.0,6059.0
17.667,0.0,6101.5
17.75,0.0,6144.0
17.833,0.0,6186.5
17.917,0.0,6229.0
18.0,0.0,6271.5
18.083,0.0,6314.0
18.167,0.0,6356.5
18.25,0.5,6399.5
18.333,0.0,6442.5
18.417,0.0,6485.5
18.5,0.0,6528.5
18.583,0.0,6571.5
18.667,0.0,6614.5
18.75,0.0,6657.5
18.833,0.0,6700.5
18.917,0.0,6743.5
19.0,0.0,6786.5
19.083,0.5,6830.0
19.167,0.0,6873.5
19.25,0.5,6917.5
19.333,0.0,6961.5
19.417,0.5,7006.0
19.5,0.0,7050.5
19.583,0.0,7095.0
19.667,0.5,7140.0
19.75,0.5,7185.5
19.833,0.0,7231.0
19.917,0.0,7276.5
20.0,0.0,7322.0
20.083,0.5,7368.0
20.167,0.5,7414.5
20.25,0.0,7461.0
20.333,0.5,7508.0
20.417,0.5,7555.5
20.5,0.0,7603.0
20.583,0.0,7650.5
20.667,0.0,7698.0
20.75,0.5,7746.0
20.833,0.0,7794.0
20.917,0.0,7842.0
21.0,0.0,7890.0
21.083,0.0,7938.0
21.167,0.0,7986.0
21.25,0.0,8034.0
21.333,0.0,8082.0
21.417,0.0,8130.0
21.5,0.0,8178.0
21.583,0.0,8226.0
21.667,0.0,8274.0
21.75,0.5,8322.5
21.833,0.0,8371.0
21.917,0.0,8419.5
22.0,0.0,8468.0
22.083,0.0,8516.5
22.167,0.5,8565.5
22.25,0.5,8615.0
22.333,0.5,8665.0
22.417,0.5,8715.5
22.5,0.0,8766.0
22.583,0.0,8816.5
22.667,0.0,8867.0
22.75,0.0,8917.5
22.833,0.0,8968.0
22.917,0.0,9018.5
23.0,0.0,9069.0
23.083,0.0,9119.5
23.167,0.5,9170.5
23.25,0.0,9221.5
23.333,0.0,9272.5
23.417,0.0,9323.5
23.5,0.0,9374.5
23.583,0.0,9425.5
23.667,0.0,9476.5
23.75,1.0,9528.5
23.833,0.5,9581.0
23.917,0.0,9633.5
24.0,0.0,9686.0
24.083,0.0,9738.5
24.167,0.0,9791.0
24.25,0.0,9843.5
24.333,0.0,9896.0
24.417,0.0,9948.5
24.5,0.0,10001.0
24.583,0.0,10053.5
24.667,0.0,10106.0
24.75,0.0,10158.5
24.833,0.0,10211.0
24.917,0.0,10263.5
25.0,0.0,10316.0
25.083,0.5,10369.0
25.167,0.0,10422.0
25.25,0.0,10475.0
25.333,0.5,10528.5
25.417,0.0,10582.0
25.5,0.0,10635.5
25.583,0.0,10689.0
25.667,0.0,10742.5
25.75,0.0,10796.0
25.833,0.0,10849.5
25.917,0.0,10903.0
26.0,0.0,10956.5
26.083,0.0,11010.0
26.167,0.0,11063.5
26.25,0.0,11117.0
26.333,0.5,11171.0
26.417,0.5,11225.5
26.5,0.0,11280.0
26.583,0.5,11335.0
26.667,0.5,11390.5
26.75,0.0,11446.0
26.833,0.0,11501.5
26.917,0.0,11557.0
27.0,0.5,11613.0
27.083,0.0,11669.0
27.167,0.0,11725.0
27.25,0.0,11781.0
27.333,0.0,11837.0
27.417,0.0,11893.0
27.5,0.0,11949.0
27.583,0.0,12005.0
27.667,0.0,12061.0
27.75,0.0,12117.0
27.833,0.0,12173.0
27.917,1.0,12230.0
28.0,0.0,12287.0
28.083,0.0,12344.0
28.167,0.5,12401.5
28.25,0.5,12459.5
28.333,0.5,12518.0
28.417,0.5,12577.0
28.5,0.5,12636.5
28.583,0.5,12696.5
28.667,0.0,12756.5
28.75,0.0,12816.5
28.833,0.0,12876.5
28.917,0.5,12937.0
29.0,1.5,12999.0
29.083,0.0,13061.0
29.167,0.0,13123.0
29.25,0.0,13185.0
29.333,0.0,13247.0
29.417,0.5,13309.5
29.5,0.0,13372.0
29.583,0.0,13434.5
29.667,0.0,13497.0
29.75,0.0,13559.5
29.833,0.0,13622.0
29.917,0.0,13684.5
30.0,0.0,13747.0
30.083,0.0,13809.5
30.167,0.0,13872.0
30.25,0.5,13935.0
30.333,1.0,13999.0
30.417,0.5,14063.5
30.5,0.0,14128.0
30.583,0.0,14192.5
30.667,0.0,14257.0
30.75,0.0,14321.5
30.833,0.0,14386.0
30.917,0.0,14450.5
31.0,0.0,14515.0
31.083,0.0,14579.5
31.167,0.0,14644.0
31.25,0.0,14708.5
31.333,0.0,14773.0
31.417,0.0,14837.5
31.5,0.0,14902.0
31.583,0.5,14967.0
31.667,0.5,15032.5
31.75,0.5,15098.5
31.833,0.0,15164.5
31.917,0.0,15230.5
32.0,0.5,15297.0
32.083,0.0,15363.5
32.167,0.5,15430.5
32.25,0.0,15497.5
32.333,0.0,15564.5
32.417,0.5,15632.0
32.5,0.5,15700.0
32.583,0.0,15768.0
32.667,0.0,15836.0
32.75,0.0,15904.0
32.833,0.5,15972.5
32.917,0.0,16041.0
33.0,0.0,16109.5
33.083,0.0,16178.0
33.167,0.5,16247.0
33.25,0.5,16316.5
33.333,0.5,16386.5
33.417,0.0,16456.5
33.5,0.0,16526.5
33.583,0.0,16596.5
33.667,0.5,16667.0
33.75,0.0,16737.5
33.833,0.0,16808.0
33.917,0.5,16879.0
34.0,0.0,16950.0
34.083,0.0,17021.0
34.167,0.0,17092.0
34.25,0.0,17163.0
34.333,0.0,17234.0
34.417,0.0,17305.0
34.5,0.0,17376.0
34.583,0.0,17447.0
34.667,0.0,17518.0
34.75,0.0,17589.0
34.833,0.5,17660.5
34.917,0.0,17732.0
35.0,0.0,17803.5
35.083,0.0,17875.0
35.167,0.0,17946.5
35.25,0.0,18018.0
35.333,0.0,18089.5
35.417,0.0,18161.0
35.5,0.5,18233.0
35.583,0.0,18305.0
35.667,0.0,18377.0
35.75,0.0,18449.0
35.833,0.5,18521.5
35.917,0.5,18594.5
36.0,0.0,18667.5
36.083,0.0,18740.5
36.167,0.0,18813.5
36.25,0.0,18886.5
36.333,0.5,18960.0
36.417,0.5,19034.0
36.5,0.0,19108.0
36.583,0.0,19182.0
36.667,0.0,19256.0
36.75,0.0,19330.0
36.833,0.0,19404.0
36.917,0.0,19478.0
37.0,0.0,19552.0
37.083,0.0,19626.0
37.167,0.5,19700.5
37.25,0.0,19775.0
37.333,0.0,19849.5
37.417,0.0,19924.0
37.5,0.0,19998.5
37.583,0.0,20073.0
37.667,0.0,20147.5
37.75,0.0,20222.0
37.833,1.0,20297.5
37.917,0.0,20373.0
38.0,0.5,20449.0
38.083,0.5,20525.5
38.167,0.0,20602.0
38.25,0.5,20679.0
38.333,0.0,20756.0
38.417,0.0,20833.0
38.5,0.0,20910.0
38.583,0.0,20987.0
38.667,0.0,21064.0
38.75,0.5,21141.5
38.833,0.5,21219.5
38.917,0.0,21297.5
39.0,0.0,21375.5
39.083,0.5,21454.0
39.167,0.0,21532.5
39.25,0.0,21611.0
39.333,0.0,21689.5
39.417,0.0,21768.0
39.5,0.5,21847.0
39.583,0.0,21926.0
39.667,0.0,22005.0
39.75,0.5,22084.5
39.833,0.0,22164.0
39.917,1.0,22244.5
40.0,0.0,22325.0
40.083,0.0,22405.5
40.167,0.0,22486.0
40.25,0.0,22566.5
40.333,0.0,22647.0
40.417,0.0,22727.5
40.5,1.0,22809.0
40.583,1.0,22891.5
40.667,0.0,22974.0
40.75,0.0,23056.5
40.833,1.0,23140.0
40.917,1.0,23224.5
41.0,0.5,23309.5
41.083,0.5,23395.0
41.167,0.5,23481.0
41.25,0.5,23567.5
41.333,0.0,23654.0
41.417,0.0,23740.5
