step,reward,cumulate reward
0.25,1.5,9.5
0.333,4.5,14.0
0.417,1.5,15.5
0.5,1.5,17.0
0.583,2.0,19.0
0.667,1.5,20.5
0.75,1.5,22.0
0.833,1.5,23.5
0.917,1.0,24.5
1.0,1.0,25.5
1.083,1.5,27.0
1.167,2.0,29.0
1.25,2.5,31.5
1.333,1.5,33.0
1.417,3.0,36.0
1.5,3.0,39.0
1.583,1.0,40.0
1.667,0.5,40.5
1.75,0.0,40.5
1.833,0.0,40.5
1.917,1.0,41.5
2.0,0.0,41.5
2.083,0.0,41.5
2.167,0.0,41.5
2.25,0.0,41.5
2.333,0.0,41.5
2.417,0.0,41.5
2.5,0.0,41.5
2.583,0.0,41.5
2.667,0.5,42.0
2.75,0.0,42.0
2.833,0.0,42.0
2.917,0.0,42.0
3.0,0.5,42.5
3.083,0.0,42.5
3.167,0.0,42.5
3.25,0.0,42.5
3.333,0.0,42.5
3.417,0.0,42.5
3.5,0.0,42.5
3.583,0.0,42.5
3.667,0.0,42.5
3.75,0.0,42.5
3.833,1.0,43.5
3.917,1.0,44.5
4.0,0.0,44.5
4.083,0.0,44.5
4.167,0.0,44.5
4.25,0.0,44.5
4.333,0.5,45.0
4.417,0.0,45.0
4.5,0.0,45.0
4.583,0.0,45.0
4.667,0.0,45.0
4.75,0.0,45.0
4.833,0.0,45.0
4.917,0.5,45.5
5.0,0.0,45.5
5.083,0.0,45.5
5.167,0.0,45.5
5.25,0.0,45.5
5.333,0.0,45.5
5.417,0.0,45.5
5.5,0.0,45.5
5.583,0.0,45.5
5.667,0.0,45.5
5.75,0.0,45.5
5.833,0.0,45.5
5.917,0.0,45.5
6.0,0.0,45.5
6.083,0.0,45.5
6.167,0.0,45.5
6.25,0.0,45.5
6.333,0.0,45.5
6.417,0.0,45.5
6.5,0.0,45.5
6.583,0.0,45.5
6.667,0.0,45.5
6.75,0.0,45.5
6.833,0.0,45.5
6.917,0.0,45.5
7.0,0.0,45.5
7.083,0.0,45.5
7.167,0.0,45.5
7.25,0.0,45.5
7.333,0.0,45.5
7.417,0.0,45.5
7.5,0.0,45.5
7.583,0.0,45.5
7.667,0.0,45.5
7.75,0.0,45.5
7.833,0.0,45.5
7.917,0.0,45.5
8.0,0.0,45.5
8.083,0.0,45.5
8.167,0.0,45.5
8.25,0.0,45.5
8.333,0.0,45.5
8.417,0.0,45.5
8.5,0.0,45.5
8.583,0.5,46.0
8.667,0.0,46.0
8.75,0.0,46.0
8.833,0.0,46.0
8.917,0.0,46.0
9.0,0.0,46.0
9.083,0.5,46.5
9.167,0.0,46.5
9.25,0.0,46.5
9.333,0.0,46.5
9.417,0.0,46.5
9.5,0.0,46.5
9.583,0.0,46.5
9.667,0.0,46.5
9.75,0.0,46.5
9.833,0.0,46.5
9.917,0.0,46.5
10.0,0.0,46.5
10.083,0.0,46.5
10.167,0.0,46.5
10.25,0.5,47.0
10.333,1.0,48.0
10.417,0.0,48.0
10.5,0.0,48.0
10.583,0.0,48.0
10.667,0.0,48.0
10.75,0.0,48.0
10.833,0.0,48.0
10.917,0.0,48.0
11.0,0.0,48.0
11.083,0.0,48.0
11.167,0.0,48.0
11.25,0.0,48.0
11.333,0.0,48.0
11.417,0.0,48.0
11.5,0.0,48.0
11.583,0.0,48.0
11.667,0.0,48.0
11.75,0.0,48.0
11.833,0.0,48.0
11.917,0.0,48.0
12.0,0.0,48.0
12.083,0.0,48.0
12.167,0.0,48.0
12.25,0.0,48.0
12.333,0.0,48.0
12.417,0.0,48.0
12.5,0.0,48.0
12.583,0.0,48.0
12.667,0.0,48.0
12.75,0.0,48.0
12.833,0.0,48.0
12.917,0.0,48.0
13.0,0.0,48.0
13.083,0.0,48.0
13.167,0.0,48.0
13.25,0.0,48.0
13.333,0.0,48.0
13.417,0.0,48.0
13.5,0.0,48.0
13.583,0.0,48.0
13.667,0.0,48.0
