step,reward,cumulate reward
0.25,1.0,9.0
0.333,4.0,13.0
0.417,1.5,14.5
0.5,0.5,15.0
0.583,3.5,18.5
0.667,2.5,21.0
0.75,3.0,24.0
0.833,3.0,27.0
0.917,2.0,29.0
1.0,2.5,31.5
1.083,1.0,32.5
1.167,2.0,34.5
1.25,3.5,38.0
1.333,2.0,40.0
1.417,3.5,43.5
1.5,0.5,44.0
1.583,1.5,45.5
1.667,3.5,49.0
1.75,3.5,52.5
1.833,3.0,55.5
1.917,1.5,57.0
2.0,2.0,59.0
2.083,4.0,63.0
2.167,3.0,66.0
2.25,2.0,68.0
2.333,2.5,70.5
2.417,4.0,74.5
2.5,0.5,75.0
2.583,3.0,78.0
2.667,3.5,81.5
2.75,3.0,84.5
2.833,2.5,87.0
2.917,3.0,90.0
3.0,2.0,92.0
3.083,2.5,94.5
3.167,2.5,97.0
3.25,1.5,98.5
3.333,3.5,102.0
3.417,2.5,104.5
3.5,2.5,107.0
3.583,2.5,109.5
3.667,3.0,112.5
3.75,2.5,115.0
3.833,2.5,117.5
3.917,2.5,120.0
4.0,2.5,122.5
4.083,3.0,125.5
4.167,3.0,128.5
4.25,2.5,131.0
4.333,2.5,133.5
4.417,2.5,136.0
4.5,2.0,138.0
4.583,3.5,141.5
4.667,2.5,144.0
4.75,2.5,146.5
4.833,3.5,150.0
4.917,3.0,153.0
5.0,2.5,155.5
5.083,2.0,157.5
5.167,3.5,161.0
5.25,2.5,163.5
5.333,2.5,166.0
5.417,2.5,168.5
5.5,3.0,171.5
5.583,1.5,173.0
5.667,3.5,176.5
5.75,2.0,178.5
5.833,3.0,181.5
5.917,0.0,181.5
6.0,2.0,183.5
6.083,4.0,187.5
6.167,2.5,190.0
6.25,2.5,192.5
6.333,3.0,195.5
6.417,0.5,196.0
6.5,3.5,199.5
6.583,1.5,201.0
6.667,2.0,203.0
6.75,3.0,206.0
6.833,3.5,209.5
6.917,1.5,211.0
7.0,3.0,214.0
7.083,2.5,216.5
7.167,2.5,219.0
7.25,3.5,222.5
7.333,2.0,224.5
7.417,3.5,228.0
7.5,3.5,231.5
7.583,1.0,232.5
7.667,2.0,234.5
7.75,1.5,236.0
7.833,2.5,238.5
7.917,3.0,241.5
8.0,1.0,242.5
8.083,3.0,245.5
8.167,4.5,250.0
8.25,2.0,252.0
8.333,2.5,254.5
8.417,1.5,256.0
8.5,3.0,259.0
8.583,1.5,260.5
8.667,3.0,263.5
8.75,4.0,267.5
8.833,2.0,269.5
8.917,2.5,272.0
9.0,2.0,274.0
9.083,3.0,277.0
9.167,2.0,279.0
9.25,2.5,281.5
9.333,3.0,284.5
9.417,2.5,287.0
9.5,2.0,289.0
9.583,3.5,292.5
9.667,3.5,296.0
9.75,1.5,297.5
9.833,2.5,300.0
9.917,4.0,304.0
10.0,2.5,306.5
10.083,2.5,309.0
10.167,1.5,310.5
10.25,2.5,313.0
10.333,2.0,315.0
10.417,3.0,318.0
10.5,4.5,322.5
10.583,2.5,325.0
10.667,1.0,326.0
10.75,2.0,328.0
10.833,4.0,332.0
10.917,3.0,335.0
11.0,3.0,338.0
11.083,1.0,339.0
11.167,4.5,343.5
11.25,1.5,345.0
11.333,2.5,347.5
11.417,4.0,351.5
11.5,3.0,354.5
11.583,1.5,356.0
11.667,3.0,359.0
11.75,3.5,362.5
11.833,2.0,364.5
11.917,2.5,367.0
12.0,4.5,371.5
12.083,3.0,374.5
12.167,1.5,376.0
12.25,3.0,379.0
12.333,2.5,381.5
12.417,0.5,382.0
12.5,4.0,386.0
12.583,1.5,387.5
12.667,3.0,390.5
12.75,3.5,394.0
12.833,2.5,396.5
12.917,2.5,399.0
13.0,2.0,401.0
13.083,2.5,403.5
13.167,2.0,405.5
13.25,2.0,407.5
13.333,4.0,411.5
13.417,2.0,413.5
13.5,2.5,416.0
13.583,3.0,419.0
13.667,2.0,421.0
13.75,4.0,425.0
13.833,2.0,427.0
13.917,1.5,428.5
14.0,3.5,432.0
14.083,2.5,434.5
14.167,3.0,437.5
14.25,2.0,439.5
14.333,4.0,443.5
14.417,3.5,447.0
14.5,1.0,448.0
14.583,3.0,451.0
14.667,2.5,453.5
14.75,2.5,456.0
14.833,1.5,457.5
14.917,2.5,460.0
15.0,4.5,464.5
15.083,2.5,467.0
15.167,0.5,467.5
15.25,2.0,469.5
15.333,4.5,474.0
15.417,3.5,477.5
15.5,0.5,478.0
15.583,2.0,480.0
15.667,2.5,482.5
15.75,1.0,483.5
15.833,2.5,486.0
15.917,3.0,489.0
16.0,4.0,493.0
16.083,1.0,494.0
16.167,3.0,497.0
16.25,3.0,500.0
16.333,2.0,502.0
16.417,3.0,505.0
16.5,3.0,508.0
16.583,1.0,509.0
16.667,2.0,511.0
16.75,2.5,513.5
16.833,3.0,516.5
16.917,3.5,520.0
17.0,2.0,522.0
17.083,2.0,524.0
17.167,3.5,527.5
17.25,2.5,530.0
17.333,3.5,533.5
17.417,2.5,536.0
17.5,1.5,537.5
17.583,2.0,539.5
17.667,3.5,543.0
17.75,2.5,545.5
17.833,3.5,549.0
17.917,2.5,551.5
18.0,2.5,554.0
18.083,1.0,555.0
18.167,4.5,559.5
18.25,2.0,561.5
18.333,2.0,563.5
18.417,2.5,566.0
18.5,1.5,567.5
18.583,3.0,570.5
18.667,2.0,572.5
18.75,2.5,575.0
18.833,2.5,577.5
18.917,4.0,581.5
19.0,2.5,584.0
19.083,1.0,585.0
19.167,3.5,588.5
19.25,2.0,590.5
19.333,3.5,594.0
19.417,3.5,597.5
19.5,2.0,599.5
19.583,2.0,601.5
19.667,1.0,602.5
19.75,3.0,605.5
19.833,2.5,608.0
19.917,3.5,611.5
20.0,2.5,614.0
20.083,2.0,616.0
20.167,2.0,618.0
20.25,3.5,621.5
20.333,3.0,624.5
20.417,1.5,626.0
20.5,2.5,628.5
20.583,3.5,632.0
20.667,2.0,634.0
20.75,3.0,637.0
20.833,3.0,640.0
20.917,3.5,643.5
21.0,2.0,645.5
21.083,3.0,648.5
21.167,3.0,651.5
21.25,2.0,653.5
21.333,3.0,656.5
21.417,2.5,659.0
21.5,3.5,662.5
21.583,2.5,665.0
21.667,1.5,666.5
21.75,3.5,670.0
21.833,3.0,673.0
21.917,2.0,675.0
22.0,3.5,678.5
22.083,2.5,681.0
22.167,2.5,683.5
22.25,1.0,684.5
22.333,3.0,687.5
22.417,3.0,690.5
22.5,3.5,694.0
22.583,1.5,695.5
22.667,4.0,699.5
22.75,3.0,702.5
22.833,1.0,703.5
22.917,2.0,705.5
23.0,2.5,708.0
23.083,3.5,711.5
23.167,3.0,714.5
23.25,1.5,716.0
23.333,1.5,717.5
23.417,2.0,719.5
23.5,3.5,723.0
23.583,3.5,726.5
23.667,2.0,728.5
23.75,2.5,731.0
23.833,2.5,733.5
23.917,1.0,734.5
24.0,3.5,738.0
24.083,2.0,740.0
24.167,2.5,742.5
24.25,3.0,745.5
24.333,3.5,749.0
24.417,3.0,752.0
24.5,1.0,753.0
24.583,3.5,756.5
24.667,2.5,759.0
24.75,4.0,763.0
24.833,0.5,763.5
24.917,2.5,766.0
25.0,2.5,768.5
25.083,3.5,772.0
25.167,2.5,774.5
25.25,4.0,778.5
25.333,1.0,779.5
25.417,2.5,782.0
25.5,0.5,782.5
25.583,2.5,785.0
25.667,4.5,789.5
25.75,2.5,792.0
25.833,2.0,794.0
25.917,3.0,797.0
26.0,3.5,800.5
26.083,1.0,801.5
26.167,4.0,805.5
26.25,1.5,807.0
26.333,2.0,809.0
26.417,2.5,811.5
26.5,2.0,813.5
26.583,2.5,816.0
26.667,2.5,818.5
26.75,1.5,820.0
26.833,3.0,823.0
26.917,2.0,825.0
27.0,3.0,828.0
27.083,3.5,831.5
27.167,3.5,835.0
27.25,2.0,837.0
27.333,1.5,838.5
27.417,2.0,840.5
27.5,3.5,844.0
27.583,3.0,847.0
27.667,1.5,848.5
27.75,1.5,850.0
27.833,2.5,852.5
27.917,3.0,855.5
28.0,3.5,859.0
28.083,2.0,861.0
28.167,2.0,863.0
28.25,3.0,866.0
28.333,2.5,868.5
28.417,3.0,871.5
28.5,3.5,875.0
28.583,2.5,877.5
28.667,2.5,880.0
28.75,3.5,883.5
28.833,2.0,885.5
28.917,2.5,888.0
29.0,2.5,890.5
29.083,3.0,893.5
29.167,3.5,897.0
29.25,2.5,899.5
29.333,2.0,901.5
29.417,3.0,904.5
29.5,1.5,906.0
29.583,2.0,908.0
29.667,3.0,911.0
29.75,2.0,913.0
29.833,3.5,916.5
29.917,2.5,919.0
30.0,1.0,920.0
30.083,4.0,924.0
30.167,2.5,926.5
30.25,1.5,928.0
30.333,4.0,932.0
30.417,2.0,934.0
30.5,1.5,935.5
30.583,4.0,939.5
30.667,2.0,941.5
30.75,2.5,944.0
30.833,1.0,945.0
30.917,2.0,947.0
31.0,4.0,951.0
31.083,2.0,953.0
31.167,2.5,955.5
31.25,3.0,958.5
31.333,2.5,961.0
31.417,3.0,964.0
31.5,3.0,967.0
31.583,1.5,968.5
31.667,2.0,970.5
31.75,4.0,974.5
31.833,1.0,975.5
31.917,1.5,977.0
32.0,3.5,980.5
32.083,2.0,982.5
32.167,2.0,984.5
32.25,4.0,988.5
32.333,3.5,992.0
32.417,1.0,993.0
32.5,2.5,995.5
32.583,2.5,998.0
32.667,2.5,1000.5
32.75,3.0,1003.5
32.833,2.5,1006.0
32.917,2.5,1008.5
33.0,3.0,1011.5
33.083,2.5,1014.0
33.167,3.0,1017.0
33.25,2.0,1019.0
33.333,2.5,1021.5
33.417,3.5,1025.0
33.5,1.5,1026.5
33.583,3.0,1029.5
33.667,1.0,1030.5
33.75,2.0,1032.5
33.833,2.0,1034.5
33.917,3.0,1037.5
34.0,3.0,1040.5
34.083,2.5,1043.0
34.167,3.5,1046.5
34.25,2.5,1049.0
34.333,2.0,1051.0
34.417,3.5,1054.5
34.5,1.5,1056.0
34.583,1.5,1057.5
34.667,2.0,1059.5
34.75,3.5,1063.0
34.833,3.0,1066.0
34.917,3.0,1069.0
35.0,1.5,1070.5
35.083,3.5,1074.0
35.167,3.5,1077.5
35.25,2.0,1079.5
35.333,3.5,1083.0
35.417,2.5,1085.5
35.5,2.0,1087.5
35.583,3.0,1090.5
35.667,3.5,1094.0
35.75,2.5,1096.5
35.833,2.5,1099.0
35.917,3.5,1102.5
36.0,3.0,1105.5
36.083,3.5,1109.0
36.167,1.5,1110.5
36.25,3.0,1113.5
36.333,2.5,1116.0
36.417,3.0,1119.0
36.5,3.0,1122.0
36.583,2.0,1124.0
36.667,3.0,1127.0
36.75,1.0,1128.0
36.833,2.0,1130.0
36.917,2.0,1132.0
37.0,2.0,1134.0
37.083,2.5,1136.5
37.167,3.5,1140.0
37.25,2.0,1142.0
37.333,4.0,1146.0
37.417,2.0,1148.0
37.5,2.0,1150.0
37.583,2.5,1152.5
37.667,2.0,1154.5
37.75,3.5,1158.0
37.833,2.5,1160.5
37.917,2.0,1162.5
38.0,3.0,1165.5
38.083,1.5,1167.0
38.167,2.0,1169.0
38.25,2.5,1171.5
38.333,2.5,1174.0
38.417,4.0,1178.0
38.5,2.5,1180.5
38.583,2.0,1182.5
38.667,2.0,1184.5
38.75,4.5,1189.0
38.833,1.0,1190.0
38.917,2.0,1192.0
39.0,4.0,1196.0
39.083,2.5,1198.5
39.167,2.5,1201.0
39.25,1.5,1202.5
39.333,2.5,1205.0
39.417,3.5,1208.5
39.5,3.5,1212.0
39.583,2.5,1214.5
39.667,3.5,1218.0
39.75,1.0,1219.0
39.833,3.5,1222.5
39.917,0.5,1223.0
40.0,3.5,1226.5
40.083,2.5,1229.0
40.167,4.5,1233.5
40.25,2.0,1235.5
40.333,0.5,1236.0
40.417,3.5,1239.5
40.5,3.5,1243.0
40.583,2.0,1245.0
40.667,2.0,1247.0
40.75,2.5,1249.5
40.833,2.0,1251.5
40.917,4.5,1256.0
41.0,2.0,1258.0
41.083,1.0,1259.0
41.167,1.5,1260.5
41.25,3.5,1264.0
41.333,3.5,1267.5
41.417,3.5,1271.0
41.5,2.0,1273.0
41.583,3.5,1276.5
41.667,3.0,1279.5
41.75,2.0,1281.5
41.833,3.5,1285.0
41.917,3.5,1288.5
42.0,2.0,1290.5
42.083,3.5,1294.0
42.167,2.5,1296.5
42.25,1.5,1298.0
42.333,2.5,1300.5
42.417,4.5,1305.0
42.5,2.5,1307.5
42.583,2.0,1309.5
42.667,3.0,1312.5
42.75,3.0,1315.5
42.833,1.5,1317.0
42.917,2.5,1319.5
43.0,2.5,1322.0
43.083,4.0,1326.0
43.167,2.5,1328.5
43.25,1.0,1329.5
43.333,3.0,1332.5
43.417,4.0,1336.5
43.5,2.0,1338.5
