step,reward,cumulate reward
0.25,1.0,10.0
0.333,4.0,14.0
0.417,2.5,16.5
0.5,0.5,17.0
0.583,4.5,21.5
0.667,3.0,24.5
0.75,1.5,26.0
0.833,2.5,28.5
0.917,2.0,30.5
1.0,2.0,32.5
1.083,2.0,34.5
1.167,3.0,37.5
1.25,2.0,39.5
1.333,3.0,42.5
1.417,1.5,44.0
1.5,2.0,46.0
1.583,5.0,51.0
1.667,2.5,53.5
1.75,1.5,55.0
1.833,2.5,57.5
1.917,4.0,61.5
2.0,1.0,62.5
2.083,2.5,65.0
2.167,4.0,69.0
2.25,3.0,72.0
2.333,2.5,74.5
2.417,1.5,76.0
2.5,3.5,79.5
2.583,1.5,81.0
2.667,1.5,82.5
2.75,3.0,85.5
2.833,3.0,88.5
2.917,3.0,91.5
3.0,3.0,94.5
3.083,2.5,97.0
3.167,2.0,99.0
3.25,4.5,103.5
3.333,2.0,105.5
3.417,2.0,107.5
3.5,3.5,111.0
3.583,1.5,112.5
3.667,3.5,116.0
3.75,4.0,120.0
3.833,2.5,122.5
3.917,2.0,124.5
4.0,1.5,126.0
4.083,4.0,130.0
4.167,2.5,132.5
4.25,2.0,134.5
4.333,4.0,138.5
4.417,2.0,140.5
4.5,3.0,143.5
4.583,2.0,145.5
4.667,2.5,148.0
4.75,3.5,151.5
4.833,1.0,152.5
4.917,3.0,155.5
5.0,1.0,156.5
5.083,2.5,159.0
5.167,2.0,161.0
5.25,2.0,163.0
5.333,4.0,167.0
5.417,1.5,168.5
5.5,2.5,171.0
5.583,2.0,173.0
5.667,2.0,175.0
5.75,3.5,178.5
5.833,4.0,182.5
5.917,1.0,183.5
6.0,2.0,185.5
6.083,3.0,188.5
6.167,3.5,192.0
6.25,2.0,194.0
6.333,1.5,195.5
6.417,1.0,196.5
6.5,2.0,198.5
6.583,2.5,201.0
6.667,2.0,203.0
6.75,3.0,206.0
6.833,2.5,208.5
6.917,2.5,211.0
7.0,2.0,213.0
7.083,3.0,216.0
7.167,3.5,219.5
7.25,1.0,220.5
7.333,2.0,222.5
7.417,3.5,226.0
7.5,2.5,228.5
7.583,3.5,232.0
7.667,2.0,234.0
7.75,2.5,236.5
7.833,2.5,239.0
7.917,2.0,241.0
8.0,1.5,242.5
8.083,3.5,246.0
8.167,2.0,248.0
8.25,2.5,250.5
8.333,2.0,252.5
8.417,3.0,255.5
8.5,3.5,259.0
8.583,0.5,259.5
8.667,2.5,262.0
8.75,2.0,264.0
8.833,1.5,265.5
8.917,2.5,268.0
9.0,4.0,272.0
9.083,1.5,273.5
9.167,2.0,275.5
9.25,3.5,279.0
9.333,2.5,281.5
9.417,1.0,282.5
9.5,3.0,285.5
9.583,2.5,288.0
9.667,1.0,289.0
9.75,4.0,293.0
9.833,2.5,295.5
9.917,2.0,297.5
10.0,1.5,299.0
10.083,3.0,302.0
10.167,2.5,304.5
10.25,2.5,307.0
10.333,2.0,309.0
10.417,4.0,313.0
10.5,1.5,314.5
10.583,2.0,316.5
10.667,2.5,319.0
10.75,2.5,321.5
10.833,2.0,323.5
10.917,2.5,326.0
11.0,3.0,329.0
11.083,2.0,331.0
11.167,1.5,332.5
11.25,0.5,333.0
11.333,3.5,336.5
11.417,0.0,336.5
11.5,2.5,339.0
11.583,3.5,342.5
11.667,3.0,345.5
11.75,1.0,346.5
11.833,1.0,347.5
11.917,3.0,350.5
12.0,2.0,352.5
12.083,0.0,352.5
12.167,3.0,355.5
12.25,1.0,356.5
12.333,1.5,358.0
12.417,1.5,359.5
12.5,1.5,361.0
12.583,2.5,363.5
12.667,2.5,366.0
12.75,3.5,369.5
12.833,1.5,371.0
12.917,2.0,373.0
13.0,2.5,375.5
13.083,2.0,377.5
13.167,2.5,380.0
13.25,1.0,381.0
13.333,2.5,383.5
13.417,2.0,385.5
13.5,2.5,388.0
13.583,1.5,389.5
13.667,3.5,393.0
13.75,2.0,395.0
13.833,2.5,397.5
13.917,1.5,399.0
14.0,2.5,401.5
14.083,1.5,403.0
14.167,2.0,405.0
14.25,2.5,407.5
14.333,2.0,409.5
14.417,3.0,412.5
14.5,1.5,414.0
14.583,2.0,416.0
14.667,2.0,418.0
14.75,3.0,421.0
14.833,2.5,423.5
14.917,1.5,425.0
15.0,1.5,426.5
15.083,3.0,429.5
15.167,1.5,431.0
15.25,3.0,434.0
15.333,1.0,435.0
15.417,3.0,438.0
15.5,1.5,439.5
15.583,3.0,442.5
15.667,2.5,445.0
15.75,2.5,447.5
15.833,1.5,449.0
15.917,3.0,452.0
16.0,1.0,453.0
16.083,2.5,455.5
16.167,2.5,458.0
16.25,2.0,460.0
16.333,2.0,462.0
16.417,1.0,463.0
16.5,2.0,465.0
16.583,3.0,468.0
16.667,2.0,470.0
16.75,1.5,471.5
16.833,1.5,473.0
16.917,1.5,474.5
17.0,1.0,475.5
17.083,1.5,477.0
17.167,2.0,479.0
17.25,3.0,482.0
17.333,1.5,483.5
17.417,1.0,484.5
17.5,2.0,486.5
17.583,1.5,488.0
17.667,1.5,489.5
17.75,1.0,490.5
17.833,2.5,493.0
17.917,1.0,494.0
18.0,1.0,495.0
18.083,2.0,497.0
18.167,2.5,499.5
18.25,2.0,501.5
18.333,1.5,503.0
18.417,2.0,505.0
18.5,2.0,507.0
18.583,1.5,508.5
18.667,1.5,510.0
18.75,2.0,512.0
18.833,3.0,515.0
18.917,1.5,516.5
19.0,1.0,517.5
19.083,1.5,519.0
19.167,1.5,520.5
19.25,2.0,522.5
19.333,2.0,524.5
19.417,1.0,525.5
19.5,2.0,527.5
19.583,3.0,530.5
19.667,0.5,531.0
19.75,2.0,533.0
19.833,1.5,534.5
19.917,2.0,536.5
20.0,1.5,538.0
20.083,1.0,539.0
20.167,2.0,541.0
20.25,1.5,542.5
20.333,1.0,543.5
20.417,1.5,545.0
20.5,1.5,546.5
20.583,1.5,548.0
20.667,0.5,548.5
20.75,1.5,550.0
20.833,1.5,551.5
20.917,2.0,553.5
21.0,2.0,555.5
21.083,2.0,557.5
21.167,1.0,558.5
21.25,1.0,559.5
21.333,1.5,561.0
21.417,2.0,563.0
21.5,2.0,565.0
21.583,1.0,566.0
21.667,1.5,567.5
21.75,1.5,569.0
21.833,1.0,570.0
21.917,1.0,571.0
22.0,1.0,572.0
22.083,1.0,573.0
22.167,2.0,575.0
22.25,0.5,575.5
22.333,1.0,576.5
22.417,1.5,578.0
22.5,1.0,579.0
22.583,1.0,580.0
22.667,2.0,582.0
22.75,1.5,583.5
22.833,1.0,584.5
22.917,1.5,586.0
23.0,0.5,586.5
23.083,1.0,587.5
23.167,2.5,590.0
23.25,0.5,590.5
23.333,1.5,592.0
23.417,1.0,593.0
23.5,1.5,594.5
23.583,0.5,595.0
23.667,0.5,595.5
23.75,1.0,596.5
23.833,1.5,598.0
23.917,1.0,599.0
24.0,1.5,600.5
24.083,0.0,600.5
24.167,0.0,600.5
24.25,0.0,600.5
24.333,0.0,600.5
24.417,0.0,600.5
24.5,0.0,600.5
24.583,0.0,600.5
24.667,0.0,600.5
24.75,0.0,600.5
24.833,0.0,600.5
24.917,0.0,600.5
25.0,0.5,601.0
25.083,0.5,601.5
25.167,0.0,601.5
25.25,0.0,601.5
25.333,0.0,601.5
25.417,0.0,601.5
25.5,0.0,601.5
25.583,0.5,602.0
25.667,1.0,603.0
25.75,0.0,603.0
25.833,0.5,603.5
25.917,0.0,603.5
26.0,0.5,604.0
26.083,0.5,604.5
26.167,0.0,604.5
26.25,0.5,605.0
26.333,1.0,606.0
26.417,1.0,607.0
26.5,1.0,608.0
26.583,0.0,608.0
26.667,0.0,608.0
26.75,0.0,608.0
26.833,0.5,608.5
26.917,1.0,609.5
27.0,1.5,611.0
27.083,0.5,611.5
27.167,0.5,612.0
27.25,1.0,613.0
27.333,0.0,613.0
27.417,0.5,613.5
27.5,1.0,614.5
27.583,0.5,615.0
27.667,1.5,616.5
27.75,0.5,617.0
27.833,1.0,618.0
27.917,1.0,619.0
28.0,0.5,619.5
28.083,0.0,619.5
28.167,0.0,619.5
28.25,0.5,620.0
28.333,1.0,621.0
28.417,0.5,621.5
28.5,2.0,623.5
28.583,1.5,625.0
28.667,0.0,625.0
28.75,1.0,626.0
28.833,1.0,627.0
28.917,1.0,628.0
29.0,0.5,628.5
29.083,1.0,629.5
29.167,1.0,630.5
29.25,3.0,633.5
29.333,1.0,634.5
29.417,2.0,636.5
29.5,1.0,637.5
29.583,1.0,638.5
29.667,1.5,640.0
29.75,2.5,642.5
29.833,1.5,644.0
29.917,2.0,646.0
30.0,1.5,647.5
30.083,1.0,648.5
30.167,1.5,650.0
30.25,2.0,652.0
30.333,1.5,653.5
30.417,1.0,654.5
30.5,1.0,655.5
30.583,1.5,657.0
30.667,2.0,659.0
30.75,2.0,661.0
30.833,0.5,661.5
30.917,1.0,662.5
31.0,2.0,664.5
31.083,2.0,666.5
31.167,1.5,668.0
31.25,1.5,669.5
31.333,1.0,670.5
31.417,1.5,672.0
31.5,1.5,673.5
31.583,2.0,675.5
31.667,0.5,676.0
31.75,2.0,678.0
31.833,1.0,679.0
31.917,1.0,680.0
32.0,1.5,681.5
32.083,1.0,682.5
32.167,1.0,683.5
32.25,1.0,684.5
32.333,1.5,686.0
32.417,2.0,688.0
32.5,1.0,689.0
32.583,0.5,689.5
32.667,2.0,691.5
