time,lorry id,MDP,state
1201.0,lorry_0,6,maintenance
1201.0,lorry_1,6,maintenance
1201.0,lorry_4,6,maintenance
1201.0,lorry_7,6,maintenance
1201.0,lorry_8,6,maintenance
1201.0,lorry_9,6,maintenance
1801.0,lorry_5,6,maintenance
2401.0,lorry_2,6,maintenance
2401.0,lorry_7,0,recover after maintenance
2401.0,lorry_8,0,recover after maintenance
3001.0,lorry_6,6,maintenance
3601.0,lorry_3,6,maintenance
3601.0,lorry_7,6,maintenance
3601.0,lorry_8,6,maintenance
6601.0,lorry_6,0,recover after maintenance
7801.0,lorry_6,6,maintenance
15601.0,lorry_6,0,recover after maintenance
16201.0,lorry_6,6,maintenance
16801.0,lorry_0,0,recover after maintenance
17401.0,lorry_0,6,maintenance
20401.0,lorry_8,0,recover after maintenance
21001.0,lorry_3,0,recover after maintenance
21001.0,lorry_4,0,recover after maintenance
21001.0,lorry_7,0,recover after maintenance
21601.0,lorry_3,6,maintenance
21601.0,lorry_7,6,maintenance
21601.0,lorry_8,6,maintenance
22201.0,lorry_1,0,recover after maintenance
22801.0,lorry_0,0,recover after maintenance
22801.0,lorry_1,6,maintenance
22801.0,lorry_4,6,maintenance
23401.0,lorry_0,6,maintenance
24001.0,lorry_9,0,recover after maintenance
25801.0,lorry_4,0,recover after maintenance
25801.0,lorry_9,6,maintenance
26401.0,lorry_4,6,maintenance
26401.0,lorry_8,0,recover after maintenance
27001.0,lorry_2,0,recover after maintenance
27601.0,lorry_2,6,maintenance
27601.0,lorry_5,0,recover after maintenance
27601.0,lorry_8,6,maintenance
28201.0,lorry_5,6,maintenance
28801.0,lorry_7,0,recover after maintenance
29401.0,lorry_5,0,recover after maintenance
30001.0,lorry_3,0,recover after maintenance
30001.0,lorry_5,6,maintenance
30601.0,lorry_5,0,recover after maintenance
31201.0,lorry_7,6,maintenance
31801.0,lorry_5,6,maintenance
32401.0,lorry_3,8,maintenance
33001.0,lorry_0,0,recover after maintenance
33601.0,lorry_0,7,maintenance
33601.0,lorry_9,0,recover after maintenance
34201.0,lorry_9,6,maintenance
34801.0,lorry_0,0,recover after maintenance
36001.0,lorry_0,6,maintenance
36001.0,lorry_5,0,recover after maintenance
36601.0,lorry_5,6,maintenance
38401.0,lorry_3,1,recover after maintenance
39001.0,lorry_1,0,recover after maintenance
39001.0,lorry_3,7,maintenance
39601.0,lorry_3,0,recover after maintenance
40201.0,lorry_1,6,maintenance
40201.0,lorry_3,6,maintenance
42601.0,lorry_9,0,recover after maintenance
43201.0,lorry_6,0,recover after maintenance
43201.0,lorry_9,6,maintenance
44401.0,lorry_4,0,recover after maintenance
45001.0,lorry_4,6,maintenance
45001.0,lorry_6,6,maintenance
46201.0,lorry_8,0,recover after maintenance
46201.0,lorry_9,0,recover after maintenance
46801.0,lorry_8,6,maintenance
46801.0,lorry_9,6,maintenance
49201.0,lorry_9,0,recover after maintenance
49801.0,lorry_9,6,maintenance
51001.0,lorry_0,0,recover after maintenance
51587.0,lorry_11,4,broken
52201.0,lorry_0,6,maintenance
54001.0,lorry_1,0,recover after maintenance
54001.0,lorry_3,0,recover after maintenance
54001.0,lorry_7,0,recover after maintenance
54601.0,lorry_1,6,maintenance
54601.0,lorry_3,6,maintenance
54601.0,lorry_7,6,maintenance
58801.0,lorry_8,0,recover after maintenance
59401.0,lorry_8,6,maintenance
62401.0,lorry_9,0,recover after maintenance
63001.0,lorry_9,6,maintenance
64201.0,lorry_0,0,recover after maintenance
64801.0,lorry_0,6,maintenance
66001.0,lorry_9,0,recover after maintenance
67801.0,lorry_0,0,recover after maintenance
67801.0,lorry_9,6,maintenance
68401.0,lorry_8,0,recover after maintenance
69001.0,lorry_0,6,maintenance
