time,A,B,P12,P23,current_lorry
1.167,9.75,8.0,12.0,9.25,4
1.333,9.75,10.25,12.0,10.75,4
1.5,10.75,10.25,12.0,10.75,4
1.667,10.75,10.25,12.5,10.75,2
1.833,12.0,10.25,12.5,10.75,2
2.0,12.5,10.75,13.0,10.75,3
2.167,13.0,10.75,13.5,10.75,3
2.333,13.0,11.5,14.25,11.5,2
2.5,13.0,11.5,14.25,12.5,2
2.667,13.0,12.5,14.25,12.5,2
2.833,13.0,12.5,14.75,13.0,2
3.0,13.5,13.0,14.75,13.0,2
3.167,13.5,13.0,15.25,13.0,2
3.333,14.25,13.5,15.25,13.5,2
3.5,14.25,13.5,15.25,13.5,2
3.667,14.75,13.5,15.75,13.5,2
3.833,15.75,13.5,15.75,13.5,3
4.0,17.0,13.5,17.5,13.5,4
4.167,17.5,13.5,18.0,13.5,2
4.333,19.0,13.5,18.5,13.5,5
4.5,20.25,14.75,19.75,14.25,5
4.667,20.75,15.25,19.75,14.25,3
4.833,20.75,15.75,19.75,15.25,3
5.0,20.75,16.25,20.25,15.25,3
5.167,21.25,16.25,20.25,15.25,2
5.333,21.25,17.5,20.75,16.25,3
5.5,21.75,17.5,20.75,16.25,2
5.667,21.75,17.5,21.25,16.25,2
5.833,22.5,17.5,21.75,16.25,2
6.0,23.5,17.5,23.0,16.25,3
6.167,24.0,17.5,23.5,16.25,2
6.333,25.25,17.5,24.5,16.25,2
6.5,25.75,17.5,25.25,16.25,2
6.667,25.75,17.5,25.75,16.25,2
6.833,25.75,17.5,25.75,16.25,1
7.0,26.25,17.5,25.75,16.25,1
7.167,26.25,17.5,25.75,16.25,1
7.333,26.25,17.5,25.75,16.25,1
7.5,26.25,17.5,25.75,16.25,1
7.667,26.25,17.5,25.75,16.25,2
7.833,26.75,17.5,25.75,16.25,3
8.0,27.25,17.5,26.75,16.25,3
8.167,28.5,17.5,26.75,16.25,2
8.333,28.5,17.5,26.75,16.25,1
8.5,28.5,18.0,27.25,17.0,3
8.667,29.0,18.0,28.0,17.5,2
8.833,29.0,18.5,28.0,17.5,2
9.0,29.0,19.0,28.0,18.5,2
9.167,29.0,19.75,28.0,18.5,1
9.333,29.0,19.75,28.0,18.5,1
9.5,29.5,19.75,28.0,18.5,1
9.667,29.5,19.75,28.0,18.5,1
9.833,29.5,19.75,28.0,18.5,1
10.0,29.5,19.75,28.0,18.5,1
10.167,29.5,19.75,28.5,18.5,2
10.333,30.0,19.75,28.5,18.5,3
10.5,30.75,19.75,28.5,19.0,3
10.667,30.75,20.75,29.0,19.75,3
10.833,31.25,21.25,29.0,19.75,1
11.0,31.25,21.25,29.0,20.25,1
11.167,31.25,21.75,29.0,20.25,1
11.333,31.25,21.75,29.0,20.75,1
11.5,31.25,22.5,29.0,20.75,0
11.667,31.25,22.5,29.0,20.75,0
11.833,31.25,22.5,29.0,20.75,0
12.0,31.25,22.5,29.0,20.75,0
12.167,31.25,22.75,29.0,21.25,1
12.333,31.25,23.0,29.0,21.25,1
12.5,31.25,23.0,29.0,21.25,0
12.667,31.25,23.0,29.0,21.25,0
12.833,31.25,23.0,29.0,21.25,0
13.0,31.25,23.0,29.0,21.25,0
13.167,31.25,23.0,29.0,21.25,0
13.333,31.25,23.0,29.5,21.25,2
13.5,31.25,23.0,29.5,21.25,0
13.667,31.25,23.0,29.5,21.25,2
13.833,31.25,23.5,30.0,21.75,2
14.0,31.75,23.5,30.0,21.75,1
14.167,31.75,23.5,30.75,21.75,1
14.333,31.75,23.5,31.25,21.75,1
14.5,31.75,23.5,31.25,21.75,1
14.667,31.75,23.5,31.25,21.75,0
14.833,31.75,23.5,31.25,21.75,0
15.0,31.75,23.5,31.25,21.75,0
15.167,31.75,23.5,31.75,21.75,1
15.333,32.25,23.5,31.75,21.75,1
15.5,32.25,23.5,31.75,21.75,0
15.667,32.75,23.5,31.75,21.75,2
15.833,33.5,23.5,31.75,21.75,1
16.0,34.0,23.5,31.75,21.75,1
16.167,34.0,23.5,32.25,21.75,2
16.333,34.0,23.5,32.25,21.75,2
16.5,34.0,23.5,32.25,21.75,0
16.667,34.0,23.5,32.25,21.75,1
16.833,34.0,23.5,32.25,21.75,1
17.0,34.0,23.5,32.25,21.75,1
17.167,34.5,23.5,32.25,21.75,2
17.333,34.5,23.5,32.25,21.75,1
17.5,34.5,23.5,32.25,21.75,1
17.667,34.5,23.5,32.25,21.75,0
17.833,34.5,23.5,32.25,21.75,0
18.0,34.5,23.5,32.25,21.75,1
18.167,34.5,23.5,32.25,21.75,1
18.333,34.5,23.5,32.25,21.75,0
18.5,34.5,23.5,32.25,21.75,0
18.667,34.5,23.5,32.25,21.75,0
18.833,34.5,23.5,32.25,21.75,0
19.0,34.5,23.5,32.25,21.75,0
19.167,34.5,23.5,32.25,21.75,0
19.333,34.5,23.5,32.25,21.75,0
19.5,34.5,23.5,32.25,21.75,1
19.667,34.5,23.5,32.25,21.75,0
