step,reward,cumulate reward
0.25,1.0,9.5
0.333,4.0,13.5
0.417,2.5,16.0
0.5,1.5,17.5
0.583,4.0,21.5
0.667,2.5,24.0
0.75,2.5,26.5
0.833,3.0,29.5
0.917,2.5,32.0
1.0,3.0,35.0
1.083,3.0,38.0
1.167,3.5,41.5
1.25,3.0,44.5
1.333,1.5,46.0
1.417,3.5,49.5
1.5,3.5,53.0
1.583,3.5,56.5
1.667,2.0,58.5
1.75,4.0,62.5
1.833,0.5,63.0
1.917,1.5,64.5
2.0,4.0,68.5
2.083,3.5,72.0
2.167,2.5,74.5
2.25,3.0,77.5
2.333,4.0,81.5
2.417,1.5,83.0
2.5,4.5,87.5
2.583,3.0,90.5
2.667,2.5,93.0
2.75,3.0,96.0
2.833,1.5,97.5
2.917,3.5,101.0
3.0,2.5,103.5
3.083,2.5,106.0
3.167,2.0,108.0
3.25,3.5,111.5
3.333,2.0,113.5
3.417,4.0,117.5
3.5,3.5,121.0
3.583,2.5,123.5
3.667,2.5,126.0
3.75,4.0,130.0
3.833,1.5,131.5
3.917,3.5,135.0
4.0,4.0,139.0
4.083,1.0,140.0
4.167,4.0,144.0
4.25,3.5,147.5
4.333,1.5,149.0
4.417,4.0,153.0
4.5,3.0,156.0
4.583,4.0,160.0
4.667,1.5,161.5
4.75,2.5,164.0
4.833,4.5,168.5
4.917,2.5,171.0
5.0,1.5,172.5
5.083,4.5,177.0
5.167,3.5,180.5
5.25,2.0,182.5
5.333,3.0,185.5
5.417,3.5,189.0
5.5,2.0,191.0
5.583,2.5,193.5
5.667,3.5,197.0
5.75,2.5,199.5
5.833,3.5,203.0
5.917,3.0,206.0
6.0,3.5,209.5
6.083,2.5,212.0
6.167,1.0,213.0
6.25,2.5,215.5
6.333,5.0,220.5
6.417,3.5,224.0
6.5,1.5,225.5
6.583,4.0,229.5
6.667,2.5,232.0
6.75,1.5,233.5
6.833,2.0,235.5
6.917,3.0,238.5
7.0,4.0,242.5
7.083,2.0,244.5
7.167,3.5,248.0
7.25,1.5,249.5
7.333,2.5,252.0
7.417,4.5,256.5
7.5,1.0,257.5
7.583,3.5,261.0
7.667,3.0,264.0
7.75,3.0,267.0
7.833,2.5,269.5
7.917,2.0,271.5
8.0,3.5,275.0
8.083,1.5,276.5
8.167,4.5,281.0
8.25,2.0,283.0
8.333,4.5,287.5
8.417,1.5,289.0
8.5,2.5,291.5
8.583,4.5,296.0
8.667,2.5,298.5
8.75,2.0,300.5
8.833,2.5,303.0
8.917,3.5,306.5
9.0,3.0,309.5
9.083,2.5,312.0
9.167,3.5,315.5
9.25,3.5,319.0
9.333,1.0,320.0
9.417,2.5,322.5
9.5,3.5,326.0
9.583,1.0,327.0
9.667,3.5,330.5
9.75,3.5,334.0
9.833,2.0,336.0
9.917,3.5,339.5
10.0,2.0,341.5
10.083,3.0,344.5
10.167,2.5,347.0
10.25,3.0,350.0
10.333,2.5,352.5
10.417,2.5,355.0
10.5,2.5,357.5
10.583,2.5,360.0
10.667,2.5,362.5
10.75,4.0,366.5
10.833,2.0,368.5
10.917,4.0,372.5
11.0,1.5,374.0
11.083,3.0,377.0
11.167,1.5,378.5
11.25,3.5,382.0
11.333,2.5,384.5
11.417,4.0,388.5
11.5,2.0,390.5
11.583,2.0,392.5
11.667,3.5,396.0
11.75,2.0,398.0
11.833,4.5,402.5
11.917,1.5,404.0
12.0,2.0,406.0
12.083,5.0,411.0
12.167,1.5,412.5
12.25,2.0,414.5
12.333,2.0,416.5
12.417,2.5,419.0
12.5,1.5,420.5
12.583,4.0,424.5
12.667,1.5,426.0
12.75,2.5,428.5
12.833,3.0,431.5
12.917,3.0,434.5
