time,lorry id,MDP,state
25915.0,lorry_2,8,broken
43701.0,lorry_9,8,broken
46288.0,lorry_5,8,broken
53154.0,lorry_8,8,broken
55305.0,lorry_7,8,broken
60197.0,lorry_10,8,broken
68534.0,lorry_11,8,broken
72169.0,lorry_6,8,broken
81039.0,lorry_1,8,broken
87989.0,lorry_5,0,recover after broken
91670.0,lorry_6,0,recover after broken
94019.0,lorry_3,8,broken
95575.0,lorry_0,8,broken
97016.0,lorry_2,0,recover after broken
115402.0,lorry_9,0,recover after broken
151873.0,lorry_2,8,broken
156706.0,lorry_7,0,recover after broken
163715.0,lorry_9,8,broken
173559.0,lorry_6,9,broken
193983.0,lorry_5,8,broken
214537.0,lorry_7,8,broken
221958.0,lorry_4,8,broken
227535.0,lorry_11,0,recover after broken
244620.0,lorry_3,0,recover after broken
273074.0,lorry_2,0,recover after broken
279909.0,lorry_11,8,broken
291798.0,lorry_10,0,recover after broken
297559.0,lorry_4,0,recover after broken
301116.0,lorry_9,0,recover after broken
340684.0,lorry_5,0,recover after broken
349764.0,lorry_3,8,broken
357115.0,lorry_9,8,broken
361161.0,lorry_5,8,broken
376238.0,lorry_7,0,recover after broken
387160.0,lorry_6,0,recover after broken
389748.0,lorry_10,8,broken
392516.0,lorry_9,0,recover after broken
402375.0,lorry_2,8,broken
408619.0,lorry_4,8,broken
412249.0,lorry_10,0,recover after broken
416065.0,lorry_3,0,recover after broken
449911.0,lorry_6,8,broken
480047.0,lorry_7,8,broken
483076.0,lorry_2,0,recover after broken
493227.0,lorry_9,9,broken
498755.0,lorry_10,8,broken
570812.0,lorry_6,0,recover after broken
596326.0,lorry_3,8,broken
